Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-212.00,-386.00,11.54,-43.00,-470.00
00:15 - 00:30,-113.00,-362.00,11.54,-37.00,-270.00
00:30 - 00:45,-18.00,-260.00,11.06,-32.00,-200.00
00:45 - 01:00,-38.00,-197.00,11.06,-29.00,-190.00
01:00 - 01:15,-83.00,-58.00,11.06,-46.00,-60.00
01:15 - 01:30,-117.00,-25.00,11.06,-48.00,-40.00
01:30 - 01:45,-134.00,-12.00,11.06,-49.00,67.33
01:45 - 02:00,-168.00,0.00,11.06,-48.00,76.94
02:00 - 02:15,35.59,16.35,8.66,-52.00,38.47
02:15 - 02:30,38.47,25.01,8.66,-51.00,48.09
02:30 - 02:45,64.44,0.00,12.50,-51.00,47.13
02:45 - 03:00,68.29,-30.00,12.50,-50.00,75.02
03:00 - 03:15,176.97,-29.00,11.54,-53.00,-8.00
03:15 - 03:30,161.59,-16.00,11.54,-52.00,23.08
03:30 - 03:45,126.00,-16.00,11.54,-52.00,9.62
03:45 - 04:00,102.91,-9.00,11.54,-51.00,15.39
04:00 - 04:15,81.75,-38.00,10.39,-52.00,-17.00
04:15 - 04:30,70.21,-15.00,10.39,-50.00,27.89
04:30 - 04:45,51.93,-14.00,10.39,-52.00,21.16
04:45 - 05:00,22.12,-7.00,10.39,-53.00,29.81
05:00 - 05:15,6.73,-15.00,10.39,-55.00,50.01
05:15 - 05:30,-17.00,-9.00,10.39,-53.00,46.16
05:30 - 05:45,0.00,-21.00,13.47,-52.00,40.39
05:45 - 06:00,-12.00,-16.00,14.43,-50.00,5.77
06:00 - 06:15,-12.00,-12.00,15.38,-50.00,13.47
06:15 - 06:30,5.77,0.00,16.35,-48.00,35.59
06:30 - 06:45,-12.00,-55.00,17.31,-45.00,42.32
06:45 - 07:00,0.00,-60.00,17.41,-51.00,7.69
07:00 - 07:15,46.17,-95.00,18.27,-53.00,-44.00
07:15 - 07:30,67.32,-103.00,18.76,-54.00,-10.00
07:30 - 07:45,6.73,-25.00,19.33,-56.00,14.43
07:45 - 08:00,34.62,-52.00,19.72,-58.00,-71.00
08:00 - 08:15,75.98,-82.00,17.31,-50.00,-39.00
08:15 - 08:30,91.37,-75.00,17.31,-56.00,-37.00
08:30 - 08:45,29.81,-20.00,18.76,-40.00,-33.00
08:45 - 09:00,25.00,-25.00,18.76,-23.00,-31.00
09:00 - 09:15,8.66,-24.00,23.08,-34.00,-29.00
09:15 - 09:30,76.95,-76.00,22.60,-23.00,-36.00
09:30 - 09:45,-7.00,-121.00,9.52,-16.00,-25.00
09:45 - 10:00,10.58,-125.00,8.85,-10.00,-10.00
10:00 - 10:15,45.20,-120.00,8.85,0.00,60.60
10:15 - 10:30,58.67,-117.00,9.04,0.00,75.98
10:30 - 10:45,100.02,-45.00,9.33,0.00,67.33
10:45 - 11:00,110.60,-51.00,9.91,0.00,67.33
11:00 - 11:15,72.14,-80.00,16.35,0.00,144.27
11:15 - 11:30,82.71,-80.00,16.35,0.00,144.28
11:30 - 11:45,32.70,-73.00,12.98,0.00,115.42
11:45 - 12:00,20.20,-83.00,13.47,0.00,120.22
12:00 - 12:15,25.97,-96.00,11.54,0.00,131.77
12:15 - 12:30,27.89,-93.00,11.73,0.00,144.28
12:30 - 12:45,40.40,-64.00,15.87,0.00,149.07
12:45 - 13:00,39.43,-62.00,15.87,0.00,125.04
13:00 - 13:15,120.23,-53.00,15.87,0.00,70.21
13:15 - 13:30,111.57,-54.00,15.87,0.00,74.06
13:30 - 13:45,103.87,-42.00,15.87,0.00,134.66
13:45 - 14:00,140.42,-51.00,15.87,0.00,120.23
14:00 - 14:15,74.06,-53.00,15.10,0.00,76.94
14:15 - 14:30,111.57,-63.00,15.10,0.00,120.22
14:30 - 14:45,64.44,-68.00,14.72,0.00,86.56
14:45 - 15:00,92.34,-72.00,14.62,0.00,76.94
15:00 - 15:15,50.01,-110.00,14.72,0.00,62.52
15:15 - 15:30,0.00,-130.00,15.39,0.00,57.71
15:30 - 15:45,33.66,-124.00,15.39,0.00,48.09
15:45 - 16:00,20.20,-122.00,15.39,0.00,28.85
16:00 - 16:15,-69.00,-59.00,9.62,0.00,33.66
16:15 - 16:30,-73.00,-103.00,7.69,0.00,19.24
