Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,214.86,0.00,5.30,-19.00,0.00,-175.00
00:15 - 00:30,221.60,0.00,5.30,-19.00,0.00,-135.00
00:30 - 00:45,200.41,0.00,5.30,-19.00,0.00,-49.00
00:45 - 01:00,153.20,0.00,4.82,-19.00,0.00,3.85
01:00 - 01:15,133.92,0.00,4.82,-15.00,0.00,-25.00
01:15 - 01:30,128.14,0.00,4.82,-15.00,0.00,-50.00
01:30 - 01:45,119.47,43.36,4.82,-15.00,0.00,-30.00
01:45 - 02:00,112.73,38.54,4.82,-15.00,0.00,-50.00
02:00 - 02:15,133.92,46.25,4.82,-15.00,0.00,-46.00
02:15 - 02:30,131.03,29.87,4.82,-15.00,0.00,-69.00
02:30 - 02:45,165.72,12.53,3.85,-15.00,0.00,-75.00
02:45 - 03:00,162.84,-3.00,3.85,-15.00,0.00,-75.00
03:00 - 03:15,137.78,0.00,3.85,-15.00,0.00,-70.00
03:15 - 03:30,125.26,0.00,3.85,-15.00,0.00,-70.00
03:30 - 03:45,125.26,14.45,3.85,-15.00,0.00,-60.00
03:45 - 04:00,118.52,8.67,3.85,-22.00,0.00,-60.00
04:00 - 04:15,218.72,30.83,3.85,-22.00,0.00,38.54
04:15 - 04:30,202.34,19.27,2.89,-22.00,0.00,19.27
04:30 - 04:45,195.59,18.31,2.89,-22.00,0.00,4.82
04:45 - 05:00,181.14,17.34,2.89,-22.00,0.00,-10.00
05:00 - 05:15,191.74,0.00,2.89,-22.00,0.00,-10.00
05:15 - 05:30,184.99,31.80,2.89,-22.00,0.00,-20.00
05:30 - 05:45,237.99,33.72,2.89,-22.00,0.00,-6.00
05:45 - 06:00,285.20,32.76,2.89,-22.00,0.00,-5.00
06:00 - 06:15,264.00,0.00,11.56,-22.00,0.00,-8.00
06:15 - 06:30,263.03,0.00,12.53,-22.00,1.93,-8.00
06:30 - 06:45,132.00,0.00,12.04,-16.00,0.96,24.09
06:45 - 07:00,94.43,-15.00,12.04,-16.00,0.00,14.45
07:00 - 07:15,63.59,-28.00,11.56,-16.00,0.00,0.00
07:15 - 07:30,24.08,-92.00,10.60,-16.00,0.00,9.64
07:30 - 07:45,-40.00,-6.00,10.60,-16.00,0.00,0.00
07:45 - 08:00,-9.00,-10.00,9.64,-16.00,0.00,38.54
08:00 - 08:15,87.67,-11.00,9.64,-16.00,0.00,67.45
08:15 - 08:30,59.74,-52.00,7.71,-16.00,0.00,77.08
08:30 - 08:45,0.00,-94.00,9.64,-44.00,0.00,67.44
08:45 - 09:00,-28.00,-103.00,9.64,-63.00,0.00,57.81
09:00 - 09:15,-43.00,-78.00,7.71,-64.00,0.00,62.63
09:15 - 09:30,-74.00,-49.00,6.74,-63.00,0.00,62.63
09:30 - 09:45,-106.00,-21.00,6.74,-62.00,0.00,28.91
09:45 - 10:00,-124.00,-49.00,5.78,-61.00,0.00,28.91
10:00 - 10:15,-23.19,-33.00,5.78,0.00,0.00,-152.00
10:15 - 10:30,-15.98,-54.00,5.78,0.00,0.00,-232.00
10:30 - 10:45,-61.46,-81.00,2.41,0.00,0.00,-230.00
10:45 - 11:00,-60.72,-87.00,2.12,0.00,0.00,-230.00
11:00 - 11:15,-43.00,-134.00,0.96,0.00,0.00,-225.00
11:15 - 11:30,-31.00,-143.00,0.00,-49.00,0.00,-230.00
11:30 - 11:45,-30.00,-140.00,0.00,-50.00,0.00,-230.00
11:45 - 12:00,-8.00,-133.00,0.00,-49.00,0.00,-230.00
12:00 - 12:15,-83.00,-52.00,-4.00,-47.00,0.00,-240.00
12:15 - 12:30,-78.00,-52.00,-4.50,-47.00,0.00,-240.00
12:30 - 12:45,-82.00,-39.00,-4.50,-52.00,0.00,-230.00
12:45 - 13:00,-68.00,-36.00,-5.00,-54.00,0.00,-220.00
13:00 - 13:15,-124.00,-15.00,4.82,-33.76,0.00,-235.00
13:15 - 13:30,-105.00,0.00,4.82,-49.00,0.00,-220.00
13:30 - 13:45,-58.00,-34.00,4.82,-47.00,0.00,-220.00
13:45 - 14:00,-34.00,-20.00,4.82,-48.00,0.00,-200.00
14:00 - 14:15,0.00,-14.00,4.82,-53.00,0.00,-180.00
14:15 - 14:30,0.00,0.00,4.82,-52.00,0.00,-170.00
14:30 - 14:45,-11.00,0.00,4.82,-50.00,0.00,-215.00
14:45 - 15:00,5.78,0.00,4.82,-52.00,0.00,-50.00
15:00 - 15:15,0.00,0.00,3.85,-56.00,0.00,-205.00
15:15 - 15:30,0.00,-25.00,3.85,-58.00,0.00,-25.00
15:30 - 15:45,-28.00,-8.00,3.85,-59.00,0.00,-55.00
15:45 - 16:00,-31.00,-12.00,3.85,-60.00,0.00,-35.00
16:00 - 16:15,-59.00,-23.00,3.85,-61.00,0.00,-20.00
16:15 - 16:30,-49.00,-41.00,3.85,-63.00,0.00,-25.00
16:30 - 16:45,-31.00,0.00,2.89,-53.00,0.00,-20.00
16:45 - 17:00,-24.00,38.54,4.82,-51.00,0.00,-20.00
17:00 - 17:15,4.82,109.84,-3.00,-51.00,0.00,-55.00
17:15 - 17:30,17.34,117.55,-2.00,-52.00,0.00,-55.00
17:30 - 17:45,45.28,78.05,-2.00,-53.00,0.00,-50.00
17:45 - 18:00,51.07,57.81,-2.00,-54.00,0.00,-45.00
18:00 - 18:15,101.17,103.10,-2.00,-67.00,0.00,26.01
18:15 - 18:30,83.83,80.93,0.00,-66.00,0.00,-13.00
18:30 - 18:45,66.48,25.05,1.93,-64.00,0.00,-70.00
18:45 - 19:00,53.00,27.94,3.85,-59.00,0.00,-110.00
19:00 - 19:15,166.68,24.09,6.74,-52.00,0.00,28.91
19:15 - 19:30,210.04,28.91,6.74,-50.00,0.00,38.54
19:30 - 19:45,251.47,24.09,4.82,-48.00,0.00,43.36
19:45 - 20:00,237.98,24.09,4.82,-47.00,0.00,38.54
20:00 - 20:15,226.42,67.45,3.85,-45.00,0.00,19.27
20:15 - 20:30,273.64,94.42,3.85,-45.00,0.00,19.27
20:30 - 20:45,308.32,0.00,3.85,-44.00,0.00,-90.00
20:45 - 21:00,317.96,0.00,3.85,-43.00,0.00,-45.00
21:00 - 21:15,328.55,0.00,5.78,-46.00,0.00,-39.00
21:15 - 21:30,344.93,0.00,5.78,-49.00,0.00,-23.00
21:30 - 21:45,326.63,17.34,5.78,-52.00,0.00,-67.00
21:45 - 22:00,343.01,54.92,5.78,-59.00,0.00,-85.00
22:00 - 22:15,343.97,38.54,5.78,-33.00,0.00,-110.00
22:15 - 22:30,349.75,38.54,5.78,-36.00,0.00,-122.00
22:30 - 22:45,348.79,-38.00,5.78,-35.00,0.00,-96.00
22:45 - 23:00,350.71,-19.00,4.82,-35.00,0.00,-97.00
23:00 - 23:15,281.34,25.05,4.82,-35.00,0.00,-21.00
23:15 - 23:30,112.73,30.83,4.82,-34.00,0.00,50.10
23:30 - 23:45,92.50,-22.00,3.85,-38.00,0.00,72.26
23:45 - 24:00,87.69,-15.00,3.85,-37.00,0.00,72.26
