Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,2.33,4.04,0.00,0.81,-56.00,0.38,0.00,-66.00
00:15 - 00:30,2.09,1.45,0.00,0.78,-65.00,0.21,0.00,-66.00
00:30 - 00:45,21.94,14.63,0.00,0.93,-30.00,0.28,0.00,-50.00
00:45 - 01:00,22.72,15.15,0.00,0.97,-30.00,0.25,0.00,-50.00
01:00 - 01:15,61.90,28.66,0.00,1.72,-30.00,0.34,0.00,-50.00
01:15 - 01:30,73.30,33.94,0.00,1.90,-30.00,0.19,0.00,-50.00
01:30 - 01:45,64.48,80.59,0.00,3.50,-30.00,0.08,0.00,-50.00
01:45 - 02:00,80.48,68.09,0.00,4.18,-30.00,0.00,0.00,-48.00
02:00 - 02:15,42.33,17.70,0.00,4.68,-52.00,0.00,-10.00,-47.00
02:15 - 02:30,42.71,13.35,0.00,5.79,-42.00,0.00,-10.00,-47.00
02:30 - 02:45,48.84,11.50,0.00,7.47,-46.00,0.00,-10.00,-50.00
02:45 - 03:00,52.82,12.88,0.00,8.38,-47.00,0.00,-10.00,-50.00
03:00 - 03:15,32.23,27.15,0.00,11.03,-49.00,0.00,-30.00,-30.00
03:15 - 03:30,27.42,30.96,0.00,10.61,-55.00,0.00,-30.00,-30.00
03:30 - 03:45,-52.00,24.07,0.00,11.56,-54.00,0.00,0.00,-27.00
03:45 - 04:00,-78.00,-47.00,0.00,11.56,-54.00,0.00,0.00,-93.00
04:00 - 04:15,-16.00,-19.00,0.00,11.56,-53.00,0.00,0.00,-90.00
04:15 - 04:30,-36.00,11.56,0.00,11.55,-53.00,0.00,0.00,-3.00
04:30 - 04:45,-87.00,39.48,0.00,11.56,-51.00,0.00,0.00,-23.00
04:45 - 05:00,-59.00,41.41,0.00,11.56,-49.00,0.00,0.00,-24.00
05:00 - 05:15,-274.00,-11.00,0.00,12.52,-48.00,0.00,0.00,-146.00
05:15 - 05:30,0.00,44.30,0.00,12.52,-46.00,0.00,0.00,12.52
05:30 - 05:45,-47.00,-47.00,0.00,12.52,-62.00,0.00,0.00,-156.00
05:45 - 06:00,-40.00,-75.00,0.00,12.52,-57.00,0.00,0.00,-62.00
06:00 - 06:15,-45.00,-47.00,0.00,12.52,-53.00,0.00,0.00,-63.00
06:15 - 06:30,-57.00,-72.00,0.00,12.52,-43.00,0.00,0.00,-60.00
06:30 - 06:45,-82.00,-8.00,0.00,13.48,-43.00,0.00,0.00,-65.00
06:45 - 07:00,-111.00,12.52,0.00,13.48,-45.00,0.00,0.00,-5.00
07:00 - 07:15,-28.00,15.41,0.00,15.41,-7.00,0.00,0.00,3.85
07:15 - 07:30,6.74,-33.00,0.00,16.37,-8.00,0.00,0.00,5.78
07:30 - 07:45,13.48,12.52,0.00,17.33,-15.00,0.00,0.00,5.78
07:45 - 08:00,19.25,4.82,0.00,18.30,-16.00,0.00,0.00,-94.00
08:00 - 08:15,-26.00,-7.00,0.00,11.56,-11.00,0.00,0.00,-67.00
08:15 - 08:30,-24.00,9.63,0.00,13.48,-9.00,0.00,0.00,-15.00
08:30 - 08:45,-36.00,0.00,0.00,14.45,-33.00,0.00,0.00,-24.00
08:45 - 09:00,-35.00,0.00,0.00,15.41,-32.00,0.00,0.00,-28.00
09:00 - 09:15,-40.00,8.67,0.00,13.48,-104.00,0.00,0.00,10.59
09:15 - 09:30,-21.00,16.38,0.00,13.48,-85.00,0.00,0.00,13.48
09:30 - 09:45,-28.00,31.77,0.00,14.45,-71.00,0.00,0.00,-4.00
09:45 - 10:00,-8.00,32.74,0.00,14.45,-60.00,0.00,0.00,-10.00
10:00 - 10:15,0.00,38.52,0.00,13.48,-52.00,0.00,0.00,32.74
10:15 - 10:30,0.00,38.52,0.00,13.48,-44.00,0.00,0.00,48.15
10:30 - 10:45,16.37,27.93,0.00,13.48,-39.00,0.00,0.00,33.71
10:45 - 11:00,23.11,26.00,0.00,13.48,-37.00,0.00,0.00,52.97
11:00 - 11:15,14.45,38.52,0.00,13.48,-32.00,0.00,0.00,38.52
11:15 - 11:30,19.26,34.67,0.00,13.48,-30.00,0.00,0.00,19.26
11:30 - 11:45,-30.00,-5.00,0.00,13.48,-27.00,0.00,0.00,14.45
11:45 - 12:00,-35.00,-9.00,0.00,13.48,-26.00,0.00,0.00,28.89
12:00 - 12:15,-50.00,-20.00,0.00,14.45,-26.00,0.00,0.00,28.89
12:15 - 12:30,-64.00,-27.00,0.00,14.45,-25.00,0.00,0.00,33.70
12:30 - 12:45,-21.00,-26.00,0.00,14.92,-25.00,0.00,0.00,14.45
12:45 - 13:00,-10.00,-14.00,0.00,14.93,-24.00,0.00,0.00,28.89
13:00 - 13:15,-15.00,-6.00,0.00,14.93,-22.00,0.00,0.00,-25.00
13:15 - 13:30,-21.00,-8.00,0.00,15.41,-22.00,0.00,0.00,-25.00
13:30 - 13:45,0.00,0.00,0.00,15.41,-27.00,0.00,0.00,43.33
13:45 - 14:00,17.33,0.00,0.00,15.41,-30.00,0.00,0.00,77.04
14:00 - 14:15,13.48,0.00,0.00,17.82,-31.00,0.00,0.00,28.89
14:15 - 14:30,37.55,0.00,0.00,17.82,-32.00,0.00,0.00,19.26
14:30 - 14:45,51.03,21.19,0.00,18.30,-30.00,0.00,0.00,0.00
14:45 - 15:00,94.37,23.11,0.00,18.30,-28.00,0.00,0.00,28.89
15:00 - 15:15,3.85,89.56,0.00,22.15,-25.00,0.00,0.00,43.34
15:15 - 15:30,32.74,26.00,0.00,22.15,-26.00,0.00,0.00,-20.00
15:30 - 15:45,15.41,14.45,0.00,22.14,-28.00,0.00,0.00,-88.00
15:45 - 16:00,35.63,10.59,0.00,19.26,-30.00,0.00,0.00,-103.00
16:00 - 16:15,48.15,27.93,0.00,19.26,-37.00,0.00,0.00,38.52
16:15 - 16:30,49.11,26.96,0.00,18.30,-40.00,0.00,0.00,48.15
16:30 - 16:45,21.19,-21.00,0.00,17.33,-45.00,0.00,0.00,4.82
16:45 - 17:00,22.15,-18.00,0.00,17.33,-52.00,0.00,0.00,19.26
17:00 - 17:15,46.22,-24.00,0.00,22.15,-7.00,0.00,0.00,-15.00
17:15 - 17:30,50.08,-13.00,0.00,20.70,-21.00,0.00,0.00,-15.00
17:30 - 17:45,54.88,4.82,0.00,18.78,-33.00,0.00,0.00,24.08
17:45 - 18:00,47.19,9.63,0.00,17.33,-48.00,0.00,0.00,19.26
18:00 - 18:15,-41.00,73.18,0.00,16.85,-100.00,0.00,0.00,-30.00
18:15 - 18:30,-95.00,76.08,0.00,16.85,-95.00,0.00,0.00,-25.00
18:30 - 18:45,180.08,133.86,0.00,16.85,-93.00,0.00,0.00,-90.00
18:45 - 19:00,68.37,101.12,0.00,16.85,-61.00,0.00,0.00,-10.00
19:00 - 19:15,66.45,35.63,0.00,17.33,-47.00,4.24,0.00,-5.00
19:15 - 19:30,32.60,36.12,0.00,15.86,-47.00,2.64,-8.00,13.21
19:30 - 19:45,-22.00,15.06,-1.00,11.84,-43.00,2.64,-8.00,0.00
19:45 - 20:00,-51.00,7.91,-1.00,9.16,-42.00,2.83,-8.00,0.00
20:00 - 20:15,-84.00,-12.00,-1.00,5.44,-42.00,1.11,-8.00,-10.00
20:15 - 20:30,-83.00,-9.00,-1.00,4.78,-42.00,1.43,-8.00,-10.00
20:30 - 20:45,-112.00,-10.00,-1.00,2.97,-42.00,0.90,-8.00,-35.00
20:45 - 21:00,-108.00,-10.00,-1.00,2.96,-42.00,0.79,-8.00,-45.00
21:00 - 21:15,-83.00,0.00,-1.00,2.31,-41.00,0.63,-8.00,-70.00
