Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-42.00,0.00,-0.50,13.53,-22.00,0.00
00:15 - 00:30,-41.00,0.00,-0.50,13.53,-23.00,0.00
00:30 - 00:45,-42.00,-31.00,-0.50,12.56,-24.00,24.15
00:45 - 01:00,-167.00,-53.00,-0.50,12.56,-25.00,9.66
01:00 - 01:15,-45.00,-65.00,-0.50,12.56,-25.00,38.64
01:15 - 01:30,-50.00,-51.00,-0.50,12.56,-26.00,77.29
01:30 - 01:45,-71.00,-71.00,-0.50,11.59,-25.00,82.12
01:45 - 02:00,-71.00,-83.00,-0.50,11.59,-26.00,86.95
02:00 - 02:15,-89.00,-62.00,-0.50,11.59,-26.00,120.77
02:15 - 02:30,-89.00,-78.00,-0.50,11.59,-24.00,106.27
02:30 - 02:45,-57.00,-76.00,-0.50,11.59,-15.00,57.97
02:45 - 03:00,-55.00,-110.00,-0.50,10.63,-15.00,9.66
03:00 - 03:15,0.00,-91.00,-0.50,10.63,-15.00,53.13
03:15 - 03:30,0.00,-89.00,-0.50,10.63,-16.00,82.12
03:30 - 03:45,13.53,-77.00,-0.50,10.63,-17.00,82.11
03:45 - 04:00,15.46,-79.00,-0.34,10.63,-17.00,82.11
04:00 - 04:15,-16.00,-64.00,-0.50,10.63,-17.00,67.62
04:15 - 04:30,-12.00,-67.00,-0.50,10.63,-16.00,67.62
04:30 - 04:45,-6.00,-68.00,-0.50,9.66,-17.00,57.97
04:45 - 05:00,-34.00,-67.00,-0.50,9.66,-15.00,57.97
05:00 - 05:15,-6.00,-120.00,0.00,9.66,-18.00,67.63
05:15 - 05:30,12.56,-98.00,0.00,9.66,-19.00,67.63
05:30 - 05:45,-36.00,-95.00,0.00,9.66,0.00,67.63
05:45 - 06:00,-77.00,-100.00,-0.03,9.66,-26.00,62.80
06:00 - 06:15,-67.00,-75.00,-0.50,10.63,-26.00,57.96
06:15 - 06:30,-111.00,-78.00,-0.50,10.63,-23.00,57.96
06:30 - 06:45,-171.00,-11.00,-0.22,10.63,-19.00,57.96
