Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,27.48,-12.00,0.00,-45.00,0.00,0.00,-60.00
00:15 - 00:30,-21.00,-7.00,0.00,-45.00,0.00,0.00,-55.00
00:30 - 00:45,-92.00,-7.00,0.00,-45.00,0.00,0.00,-50.00
00:45 - 01:00,-112.00,-8.00,0.00,-45.00,0.00,0.00,-45.00
01:00 - 01:15,56.95,0.00,0.00,-45.00,0.00,0.00,144.78
01:15 - 01:30,49.23,0.00,0.00,-61.00,0.00,0.00,125.47
01:30 - 01:45,55.02,-18.00,0.00,-61.00,0.00,0.00,72.39
01:45 - 02:00,22.20,-9.00,0.00,0.00,0.00,0.00,77.22
02:00 - 02:15,58.88,99.41,0.00,-62.00,0.00,0.00,-25.00
02:15 - 02:30,93.63,87.83,0.00,-61.00,0.00,0.00,-30.00
02:30 - 02:45,102.31,38.61,1.25,-62.00,0.00,0.00,-30.00
02:45 - 03:00,126.44,33.78,0.97,-62.00,0.00,0.00,-40.00
03:00 - 03:15,110.03,33.78,0.97,-63.00,0.00,0.00,24.13
03:15 - 03:30,38.61,47.28,0.97,-62.00,0.00,0.00,28.96
03:30 - 03:45,4.83,47.29,0.00,-64.00,0.00,0.00,33.78
03:45 - 04:00,21.23,28.96,0.00,-64.00,0.00,0.00,38.61
04:00 - 04:15,55.98,51.16,-0.30,-50.00,0.00,0.00,48.26
04:15 - 04:30,30.89,53.08,-0.50,-51.00,0.00,0.00,38.61
04:30 - 04:45,38.61,49.22,-1.00,-50.00,0.00,0.00,28.96
04:45 - 05:00,14.48,53.08,-1.30,-51.00,0.00,0.00,24.13
05:00 - 05:15,-35.00,63.70,-1.60,0.00,0.00,0.00,24.13
05:15 - 05:30,-70.00,63.71,-2.00,-13.20,0.00,0.00,19.30
05:30 - 05:45,-24.00,96.52,-2.50,-50.00,0.00,0.00,4.83
