Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,65.97,0.00,0.68,-1.50,0.00,0.29,19.40
00:15 - 00:30,0.00,0.00,0.68,-1.50,0.00,0.29,19.40
00:30 - 00:45,0.00,0.00,0.68,-1.50,16.69,0.29,72.75
00:45 - 01:00,-12.00,0.00,0.68,-1.50,16.39,0.29,58.21
01:00 - 01:15,0.00,0.00,0.68,-1.50,16.30,0.29,126.11
01:15 - 01:30,0.00,0.00,0.68,-1.50,16.20,0.29,106.71
01:30 - 01:45,0.00,0.00,0.68,-1.50,16.10,0.29,79.55
01:45 - 02:00,33.95,0.00,0.68,-1.50,16.01,0.29,62.09
02:00 - 02:15,29.10,0.00,0.68,-1.50,15.81,0.29,59.18
02:15 - 02:30,46.56,0.00,0.68,-1.50,15.62,0.29,62.09
02:30 - 02:45,64.03,0.00,0.68,-1.50,15.91,0.29,78.57
02:45 - 03:00,90.22,0.00,0.68,-1.50,15.91,0.29,60.15
03:00 - 03:15,63.05,0.00,0.68,-1.50,15.91,0.29,50.45
03:15 - 03:30,63.06,0.00,0.68,-1.50,15.91,0.29,25.22
03:30 - 03:45,62.09,0.00,0.68,-1.50,15.91,0.29,-44.00
03:45 - 04:00,70.82,0.00,0.68,-1.50,15.91,0.29,-63.00
04:00 - 04:15,64.03,0.00,0.68,-1.50,15.91,0.29,-39.00
04:15 - 04:30,54.33,0.00,0.68,-1.50,15.91,0.29,-60.00
04:30 - 04:45,62.09,0.00,0.68,-1.50,15.91,0.29,-66.00
04:45 - 05:00,65.97,0.00,0.68,-1.50,15.91,0.29,-64.00
05:00 - 05:15,70.82,0.00,0.68,-1.50,15.91,0.29,-66.00
05:15 - 05:30,46.56,0.00,0.68,-1.50,15.91,0.29,-39.00
05:30 - 05:45,66.94,0.00,0.68,-1.50,15.91,0.29,-55.00
05:45 - 06:00,52.39,0.00,0.68,-1.50,15.91,0.29,-75.00
