Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,43.48,41.56,0.68,-1.50,9.47,-24.00,0.00,0.29,-12.00
00:15 - 00:30,62.81,39.62,0.68,-1.50,9.28,-24.00,0.00,0.29,-10.00
00:30 - 00:45,93.74,51.22,0.68,-1.50,9.08,-24.00,0.00,0.29,-7.00
00:45 - 01:00,126.60,51.22,0.68,-1.50,8.89,-24.00,0.00,0.29,57.98
01:00 - 01:15,168.15,74.41,0.68,-1.50,8.70,-29.00,0.00,0.29,62.82
01:15 - 01:30,92.77,71.51,0.68,-1.50,8.50,-29.00,0.00,0.29,62.82
01:30 - 01:45,88.91,112.10,0.68,-1.50,8.50,-28.00,0.00,0.29,72.48
01:45 - 02:00,82.14,97.61,0.68,-1.50,8.31,-29.00,0.00,0.29,67.65
02:00 - 02:15,98.57,87.94,0.68,-1.50,8.12,-28.00,0.00,0.29,72.48
02:15 - 02:30,98.57,73.45,0.68,-1.50,8.02,-29.00,0.00,0.29,77.31
02:30 - 02:45,100.50,78.28,0.68,-1.50,7.92,-28.00,0.00,0.29,62.82
02:45 - 03:00,92.76,65.72,0.68,-1.50,7.83,-29.00,0.00,0.29,38.66
03:00 - 03:15,101.47,69.58,0.68,-1.50,7.73,-29.00,0.00,0.29,-25.00
03:15 - 03:30,101.47,68.61,0.68,-1.50,7.63,-29.00,0.00,0.29,62.82
03:30 - 03:45,100.50,62.82,0.68,-1.50,7.63,-29.00,0.00,0.29,62.82
03:45 - 04:00,96.63,56.05,0.68,-1.50,7.54,-29.00,0.00,0.29,67.65
04:00 - 04:15,91.80,43.49,0.68,-1.50,7.54,-29.00,0.00,0.29,67.65
04:15 - 04:30,94.70,32.86,0.68,-1.50,7.54,-29.00,0.00,0.29,67.65
04:30 - 04:45,95.67,20.29,0.68,-1.50,7.54,-29.00,0.00,0.29,67.65
04:45 - 05:00,111.13,15.46,0.68,-1.50,7.73,-29.00,0.00,0.29,67.65
