Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-36.00,-15.00,-1.30,-43.00,0.00,0.00,0.00
00:15 - 00:30,-18.00,-15.00,-1.50,-46.00,0.00,0.00,0.00
00:30 - 00:45,-46.00,-63.00,-1.70,-50.00,0.00,0.00,-7.00
00:45 - 01:00,-77.00,-137.00,-1.70,-52.00,0.00,0.00,-18.00
01:00 - 01:15,-82.00,-133.00,-2.30,-55.00,0.00,0.00,-15.00
01:15 - 01:30,-118.00,-133.00,-2.50,-58.00,0.00,0.00,-38.00
01:30 - 01:45,-98.00,-30.00,-2.70,-61.00,0.00,0.00,-28.00
01:45 - 02:00,-123.00,20.27,-3.00,-59.00,0.00,0.00,-40.00
02:00 - 02:15,-95.00,67.56,-5.50,-58.00,0.00,0.00,4.83
02:15 - 02:30,-122.00,57.91,-6.00,-60.00,0.00,0.00,1.93
02:30 - 02:45,-112.00,96.52,-6.00,-60.00,0.00,0.00,4.83
02:45 - 03:00,-130.00,96.52,-6.00,-61.00,0.00,0.00,1.93
03:00 - 03:15,-128.00,62.74,-6.30,-61.00,0.00,0.00,-4.00
03:15 - 03:30,-129.00,43.43,-6.40,-63.00,0.00,0.00,6.76
03:30 - 03:45,-32.00,48.26,-6.50,-64.00,0.00,0.00,-1.00
03:45 - 04:00,-48.00,77.22,-6.60,-66.00,0.00,0.00,-4.00
04:00 - 04:15,-49.00,41.50,-6.60,-67.00,0.00,0.00,-17.00
04:15 - 04:30,-54.00,38.61,-6.60,-68.00,0.00,0.00,-17.00
04:30 - 04:45,-34.00,48.26,-6.60,-67.00,0.00,0.00,-23.00
04:45 - 05:00,-39.00,43.43,-6.60,-67.00,0.00,0.00,-44.00
05:00 - 05:15,-50.00,28.96,-6.60,-67.00,0.00,0.00,-18.00
05:15 - 05:30,-58.00,34.75,-5.50,-69.00,0.00,0.00,-18.00
05:30 - 05:45,-79.00,26.06,-5.00,-72.00,0.00,0.00,-55.00
05:45 - 06:00,-84.00,24.13,-4.00,-72.00,0.00,0.00,-10.00
06:00 - 06:15,-102.00,21.23,-3.00,-71.00,0.00,0.00,-42.00
06:15 - 06:30,-117.00,69.49,-2.00,-67.00,0.00,0.00,-48.00
06:30 - 06:45,-102.00,40.54,0.00,-64.00,0.00,0.00,-70.00
06:45 - 07:00,-99.00,55.02,0.48,-60.00,0.00,0.00,-20.00
