Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,144.20,36.53,-1.50,9.61,-15.00,-6.00
00:15 - 00:30,79.79,81.71,-1.50,9.42,-15.00,-7.00
00:30 - 00:45,116.33,84.59,-1.50,9.32,-15.00,-10.00
00:45 - 01:00,122.09,83.63,-1.50,9.13,-15.00,-11.00
01:00 - 01:15,55.76,89.39,-1.50,9.04,-15.00,-19.00
01:15 - 01:30,60.56,85.56,-1.50,8.94,-15.00,-19.00
01:30 - 01:45,50.95,93.25,-1.50,8.84,-15.00,-17.00
01:45 - 02:00,83.63,90.36,-1.50,8.75,-15.00,-17.00
02:00 - 02:15,60.56,98.06,-1.50,8.65,-15.00,-14.00
02:15 - 02:30,52.87,95.17,-1.50,8.65,-15.00,-11.00
02:30 - 02:45,45.18,97.09,-1.50,8.65,-14.00,-6.00
02:45 - 03:00,40.37,94.21,-1.50,8.65,-15.00,-6.00
03:00 - 03:15,39.41,105.75,-1.50,8.65,-15.00,-11.00
03:15 - 03:30,67.29,107.67,-1.50,8.65,-15.00,-12.00
03:30 - 03:45,64.41,68.25,-1.50,8.65,-15.00,-11.00
03:45 - 04:00,72.10,108.62,-1.50,8.94,-15.00,-17.00
04:00 - 04:15,89.40,112.47,-1.50,9.23,-15.00,6.73
04:15 - 04:30,104.78,96.13,-1.50,9.42,-15.00,7.69
04:30 - 04:45,102.86,86.52,-1.50,9.71,-15.00,-1.00
04:45 - 05:00,58.64,76.90,-1.50,10.19,-15.00,-1.00
05:00 - 05:15,54.79,26.92,-1.50,11.25,-15.00,-2.00
05:15 - 05:30,0.00,11.54,-1.50,12.01,-15.00,-52.00
05:30 - 05:45,-9.00,33.64,-1.50,12.50,-15.00,11.54
05:45 - 06:00,44.21,-45.00,-1.50,12.98,-15.00,12.50
06:00 - 06:15,-128.00,29.80,-1.50,13.46,-15.00,20.19
06:15 - 06:30,-129.00,24.03,-1.50,13.94,-15.00,12.50
06:30 - 06:45,-152.00,17.30,-1.50,14.42,-14.00,0.00
06:45 - 07:00,-93.00,23.07,-1.50,14.90,-9.00,-23.00
07:00 - 07:15,-47.00,-18.00,-1.50,15.57,0.00,-39.00
07:15 - 07:30,-43.00,-25.00,-1.50,16.34,0.00,-40.00
07:30 - 07:45,-89.00,9.61,-1.50,16.92,0.00,-40.00
07:45 - 08:00,-90.00,9.61,-1.50,17.50,0.00,-40.00
08:00 - 08:15,-19.00,0.00,-1.50,18.07,0.00,-12.00
08:15 - 08:30,-126.00,0.00,-1.50,18.55,0.00,-95.00
08:30 - 08:45,24.03,0.00,-1.50,19.23,0.00,-29.00
08:45 - 09:00,-130.00,0.00,-1.50,19.51,0.00,25.00
09:00 - 09:15,-176.00,-45.00,-1.10,19.71,-21.00,-21.00
09:15 - 09:30,-199.00,-28.00,-1.10,19.71,-21.00,38.45
09:30 - 09:45,-134.00,-67.00,-1.10,19.71,-21.00,-13.00
09:45 - 10:00,-81.00,0.00,-1.10,19.41,-19.00,3.85
10:00 - 10:15,-88.00,9.61,-0.50,19.23,-20.00,-5.00
10:15 - 10:30,-58.00,0.00,-0.50,19.03,-20.00,-8.00
10:30 - 10:45,-14.00,0.00,-0.50,18.75,-22.00,-11.00
10:45 - 11:00,5.77,0.00,-0.50,18.45,-23.00,-8.00
11:00 - 11:15,-56.00,33.65,-0.50,18.26,-18.00,-37.00
11:15 - 11:30,-56.00,48.06,-0.50,17.98,-18.00,-35.00
11:30 - 11:45,-49.00,51.91,-0.50,17.59,-18.00,-52.00
11:45 - 12:00,-55.00,56.72,-0.50,17.30,-19.00,-58.00
12:00 - 12:15,-66.00,58.64,-0.50,14.42,-20.00,-89.00
12:15 - 12:30,-13.00,67.29,-0.50,13.46,-20.00,-95.00
12:30 - 12:45,-16.00,63.44,-0.50,13.46,-21.00,-120.00
12:45 - 13:00,-55.00,68.25,-0.50,12.50,-23.00,-122.00
13:00 - 13:15,-84.00,70.17,-0.50,12.50,-23.00,-190.00
13:15 - 13:30,-68.00,70.17,-0.50,11.54,-24.00,-149.00
13:30 - 13:45,-89.00,76.91,0.00,10.57,0.00,-120.00
