Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,156.15,5.78,13.49,-13.00,0.00,28.91
00:15 - 00:30,30.84,7.71,13.30,-13.00,0.00,24.10
00:30 - 00:45,-93.00,25.06,13.11,-13.00,0.00,48.19
00:45 - 01:00,-95.00,22.17,12.82,-13.00,0.00,84.81
01:00 - 01:15,-34.00,24.10,12.53,-13.00,0.00,72.28
01:15 - 01:30,22.17,23.13,12.24,-13.00,0.00,67.46
01:30 - 01:45,78.07,173.48,12.05,-13.00,0.00,62.65
01:45 - 02:00,121.44,173.48,11.76,-13.00,0.00,31.81
02:00 - 02:15,153.24,187.94,11.57,0.00,0.00,28.91
02:15 - 02:30,153.24,181.20,11.28,0.00,0.00,27.95
02:30 - 02:45,228.42,220.71,11.08,-15.00,0.00,22.17
02:45 - 03:00,234.20,219.75,10.89,-15.00,0.00,18.31
03:00 - 03:15,249.63,234.20,10.60,-15.00,0.00,25.06
03:15 - 03:30,195.65,219.75,10.60,-15.00,0.00,27.95
03:30 - 03:45,132.04,187.95,10.60,-15.00,0.00,38.55
03:45 - 04:00,124.33,171.55,10.31,-15.00,0.00,36.62
04:00 - 04:15,90.60,192.75,9.64,-15.00,0.00,100.24
04:15 - 04:30,118.55,179.27,8.96,-15.00,0.00,98.31
04:30 - 04:45,156.14,161.91,8.19,-15.00,0.00,106.02
04:45 - 05:00,109.87,156.14,7.42,-15.00,0.00,86.74
05:00 - 05:15,76.14,98.30,6.75,-17.11,0.00,68.43
05:15 - 05:30,99.27,51.08,6.75,-20.00,0.00,60.72
05:30 - 05:45,106.98,36.62,6.75,-20.00,0.00,53.01
05:45 - 06:00,129.15,38.55,7.04,-20.00,0.00,53.01
06:00 - 06:15,98.31,36.62,7.42,-20.00,0.00,43.37
06:15 - 06:30,123.36,47.23,8.48,-20.00,0.00,48.19
06:30 - 06:45,89.62,53.01,9.16,-20.00,0.00,59.76
06:45 - 07:00,165.77,48.19,9.64,-20.00,0.00,61.68
07:00 - 07:15,109.88,48.19,10.60,-25.00,0.00,46.26
07:15 - 07:30,87.71,67.47,10.60,-25.00,0.00,30.84
07:30 - 07:45,34.70,117.58,10.60,-10.00,0.00,19.28
07:45 - 08:00,17.35,94.45,10.60,-10.00,0.00,22.17
08:00 - 08:15,40.48,126.26,1.45,-6.00,0.00,8.67
08:15 - 08:30,34.70,127.22,0.00,-6.00,0.00,14.46
08:30 - 08:45,41.44,125.29,3.86,-6.00,0.00,0.00
08:45 - 09:00,36.62,119.51,3.86,-6.00,0.00,7.71
09:00 - 09:15,134.93,140.72,1.93,-35.00,0.00,5.78
09:15 - 09:30,155.15,149.39,0.00,-30.00,0.00,18.31
09:30 - 09:45,176.37,143.61,0.00,-25.00,0.00,42.41
09:45 - 10:00,206.24,152.28,0.00,-20.00,0.00,60.72
10:00 - 10:15,235.17,166.74,0.00,0.00,0.00,7.71
10:15 - 10:30,233.24,173.48,0.00,0.00,0.00,-4.00
10:30 - 10:45,266.01,183.12,0.00,0.00,0.00,14.46
10:45 - 11:00,278.54,195.65,0.00,0.00,0.00,15.42
11:00 - 11:15,321.91,178.30,0.00,0.00,0.00,14.46
11:15 - 11:30,331.55,183.12,0.00,0.00,0.00,9.64
11:30 - 11:45,337.33,167.70,0.00,0.00,0.00,12.53
11:45 - 12:00,344.07,168.67,0.00,0.00,0.00,12.53
12:00 - 12:15,275.65,134.93,-10.00,0.00,0.00,-13.00
12:15 - 12:30,275.65,134.93,-10.00,0.00,0.00,-13.00
12:30 - 12:45,311.31,194.69,-10.00,0.00,0.00,48.19
12:45 - 13:00,301.67,201.43,-10.50,0.00,0.00,48.19
13:00 - 13:15,178.30,96.38,0.00,0.00,0.00,24.10
13:15 - 13:30,128.18,72.29,0.00,0.00,0.00,14.46
13:30 - 13:45,80.96,137.82,5.78,0.00,0.00,57.83
13:45 - 14:00,52.05,126.25,5.78,0.00,0.00,57.83
14:00 - 14:15,79.99,70.36,0.00,0.00,0.00,0.00
14:15 - 14:30,79.03,73.25,0.00,0.00,0.00,0.00
14:30 - 14:45,12.53,65.54,1.93,0.00,0.00,-15.00
14:45 - 15:00,76.13,72.29,1.93,0.00,0.00,-20.00
15:00 - 15:15,97.35,56.86,0.00,0.00,0.00,12.53
15:15 - 15:30,72.29,61.68,0.00,0.00,0.00,12.53
15:30 - 15:45,52.05,136.86,0.00,0.00,0.00,33.73
15:45 - 16:00,43.37,146.50,0.00,0.00,0.00,33.73
16:00 - 16:15,-17.00,163.85,-1.00,0.00,0.00,77.10
16:15 - 16:30,-18.00,137.83,-1.00,0.00,0.00,77.10
16:30 - 16:45,37.59,195.65,-2.00,-20.00,0.00,67.47
16:45 - 17:00,138.79,206.25,-1.00,-20.00,0.00,53.01
17:00 - 17:15,174.45,196.61,7.71,-20.00,0.00,-40.00
17:15 - 17:30,159.03,197.58,5.78,-31.00,0.00,-45.00
17:30 - 17:45,79.03,176.38,0.00,-42.00,0.00,-50.00
17:45 - 18:00,75.18,185.05,0.00,-56.00,0.00,-60.00
18:00 - 18:15,188.90,156.14,0.00,-39.00,0.00,9.64
18:15 - 18:30,182.16,134.93,0.00,-42.00,0.00,-5.00
18:30 - 18:45,276.61,168.67,0.00,-15.00,0.00,38.55
18:45 - 19:00,443.35,173.48,0.00,-16.00,0.00,4.82
19:00 - 19:15,421.19,167.70,0.96,-6.00,0.00,144.57
19:15 - 19:30,371.07,169.63,0.96,-6.00,0.00,77.10
19:30 - 19:45,414.44,178.30,15.42,-6.00,0.00,57.83
19:45 - 20:00,386.47,168.67,15.42,-6.00,0.00,72.29
20:00 - 20:15,287.22,143.61,16.38,-13.00,0.00,77.10
20:15 - 20:30,311.32,147.46,16.38,-13.00,0.00,86.74
20:30 - 20:45,289.15,97.34,16.38,-14.00,0.00,106.02
20:45 - 21:00,296.85,108.91,16.38,-6.00,0.00,106.02
21:00 - 21:15,319.03,160.95,16.38,-6.00,0.00,154.21
21:15 - 21:30,348.90,194.69,16.38,-6.00,-7.80,139.75
21:30 - 21:45,406.72,212.04,16.38,-6.00,-7.80,149.39
21:45 - 22:00,428.89,206.25,16.38,-6.00,0.00,168.67
22:00 - 22:15,457.81,200.47,15.42,-6.00,0.00,144.57
22:15 - 22:30,495.39,211.07,15.42,-6.00,0.00,154.21
22:30 - 22:45,446.24,207.22,14.46,-6.00,0.00,134.93
22:45 - 23:00,452.98,207.22,14.46,-6.00,0.00,134.93
23:00 - 23:15,291.07,183.12,13.49,-6.00,0.00,115.66
23:15 - 23:30,263.12,173.48,13.49,-6.00,0.00,115.66
23:30 - 23:45,210.11,186.01,12.53,0.00,0.00,72.29
23:45 - 24:00,174.45,181.19,12.53,0.00,0.00,72.29
