Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,31.54,0.00,14.34,0.00,4.78
00:15 - 00:30,33.46,0.00,13.38,0.00,-20.00
00:30 - 00:45,-53.00,14.34,10.51,0.00,-40.00
00:45 - 01:00,-53.00,19.12,10.42,0.00,-55.00
01:00 - 01:15,-36.00,-15.00,10.32,0.00,-30.00
01:15 - 01:30,-39.00,-20.00,10.23,0.00,-30.00
01:30 - 01:45,-35.00,-5.00,10.13,0.00,-20.00
01:45 - 02:00,-35.00,-9.00,10.04,0.00,-20.00
02:00 - 02:15,-28.00,-6.00,9.94,0.00,-20.00
02:15 - 02:30,-29.00,-5.00,9.85,0.00,-20.00
02:30 - 02:45,-54.00,0.00,9.75,0.00,-15.00
02:45 - 03:00,-56.00,0.00,9.65,0.00,-15.00
03:00 - 03:15,-78.00,-13.00,9.75,0.00,-25.00
03:15 - 03:30,-78.00,0.00,9.85,0.00,-25.00
03:30 - 03:45,-56.00,-18.00,10.04,0.00,-25.00
03:45 - 04:00,-90.00,0.00,10.51,0.00,-25.00
04:00 - 04:15,-57.00,0.00,11.47,0.00,-25.00
04:15 - 04:30,-51.00,0.00,11.95,0.00,-25.00
04:30 - 04:45,-27.00,0.00,12.43,0.00,-15.00
04:45 - 05:00,-21.00,0.00,13.38,0.00,-15.00
05:00 - 05:15,-30.00,0.00,7.65,0.00,-5.00
05:15 - 05:30,-24.00,0.00,8.60,0.00,0.00
05:30 - 05:45,13.39,-15.00,10.51,0.00,6.69
05:45 - 06:00,21.02,-15.00,12.43,0.00,19.12
06:00 - 06:15,-54.00,6.69,14.34,0.00,66.91
06:15 - 06:30,-87.00,-27.00,17.21,0.00,-25.00
06:30 - 06:45,-96.99,-55.00,19.12,1.63,66.91
06:45 - 07:00,-102.00,-58.00,21.03,2.29,47.80
07:00 - 07:15,-65.00,-64.00,22.94,0.00,-30.00
07:15 - 07:30,4.78,-54.00,24.86,0.38,-75.00
07:30 - 07:45,29.63,-3.00,26.77,0.00,-100.00
07:45 - 08:00,62.13,26.77,27.72,0.00,-190.00
08:00 - 08:15,72.65,-110.00,28.68,0.00,-190.00
08:15 - 08:30,158.68,-106.00,28.68,1.53,-145.00
08:30 - 08:45,153.91,-62.00,29.63,0.57,-90.00
08:45 - 09:00,71.69,-45.00,29.63,1.82,-70.00
09:00 - 09:15,150.08,-73.00,29.25,3.44,-130.00
09:15 - 09:30,66.91,-63.00,29.35,2.29,-240.00
09:30 - 09:45,47.79,-66.00,30.59,0.10,-250.00
09:45 - 10:00,80.30,-42.00,31.83,0.00,-280.00
10:00 - 10:15,67.87,-72.00,30.97,0.00,-275.00
10:15 - 10:30,77.43,-74.00,30.30,0.00,-255.00
10:30 - 10:45,65.01,-63.00,27.72,0.76,-210.00
10:45 - 11:00,67.87,-68.00,29.35,0.00,-189.98
11:00 - 11:15,36.32,-113.00,27.15,0.00,-40.00
11:15 - 11:30,104.19,-109.00,26.48,0.00,38.24
11:30 - 11:45,149.12,-120.00,26.00,0.00,138.61
11:45 - 12:00,205.52,-115.00,24.85,0.00,129.05
12:00 - 12:15,56.40,-80.00,22.94,0.00,-57.00
12:15 - 12:30,64.04,-75.00,21.99,0.00,-60.00
12:30 - 12:45,-9.00,-106.00,21.03,0.00,-71.00
12:45 - 13:00,-14.00,-93.00,20.07,0.00,-77.00
13:00 - 13:15,21.98,-115.00,19.12,0.00,-181.00
13:15 - 13:30,9.56,-100.00,18.16,0.00,-189.00
13:30 - 13:45,31.54,0.00,17.21,0.00,-151.00
13:45 - 14:00,21.03,0.00,16.25,0.00,-151.00
14:00 - 14:15,0.00,0.00,16.25,0.00,-142.00
14:15 - 14:30,0.00,0.00,16.25,0.00,-146.00
