Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,21.40,82.81,10.70,-70.00,0.07,0.00,52.44
00:15 - 00:30,18.25,87.46,11.41,-67.00,1.07,0.00,57.04
00:30 - 00:45,11.84,67.04,11.84,-67.00,0.00,-30.00,55.22
00:45 - 01:00,21.09,59.75,13.18,-67.00,0.00,-30.00,61.52
01:00 - 01:15,-12.00,57.78,13.96,-66.00,0.00,0.00,74.15
01:15 - 01:30,-54.00,57.78,13.48,-67.00,0.00,0.00,70.30
01:30 - 01:45,-93.00,56.82,13.48,-67.00,0.00,0.00,39.48
01:45 - 02:00,-124.00,57.78,13.00,-67.00,0.00,0.00,34.67
02:00 - 02:15,-74.00,81.86,13.00,-67.00,0.00,0.00,52.00
02:15 - 02:30,-107.00,78.00,12.52,-67.00,0.00,0.00,54.89
02:30 - 02:45,-31.00,83.78,12.52,-58.00,0.00,0.00,54.89
02:45 - 03:00,-40.00,81.85,12.04,-59.00,0.00,0.00,71.26
03:00 - 03:15,45.26,93.40,11.56,-58.00,0.00,0.00,88.60
03:15 - 03:30,78.97,28.89,11.07,-57.00,0.00,0.00,90.52
03:30 - 03:45,37.56,0.00,10.59,-56.00,0.00,0.00,125.19
03:45 - 04:00,96.30,0.00,10.59,-56.00,0.00,0.00,-15.00
04:00 - 04:15,25.04,-17.00,10.59,-51.00,0.00,0.00,48.15
04:15 - 04:30,23.11,-21.00,10.59,-53.00,0.87,0.00,120.38
04:30 - 04:45,24.08,11.56,10.59,-52.00,2.50,0.00,68.37
04:45 - 05:00,-33.00,0.00,10.59,-52.00,3.85,0.00,63.56
05:00 - 05:15,-29.00,0.00,10.59,-51.00,0.00,0.00,-42.00
05:15 - 05:30,-73.00,0.00,11.08,-50.00,2.31,0.00,10.59
05:30 - 05:45,5.78,-7.00,11.55,-50.00,6.84,0.00,-11.00
05:45 - 06:00,-10.00,-11.00,12.04,-50.00,5.10,0.00,74.15
06:00 - 06:15,-15.00,43.34,12.52,-49.00,3.56,0.00,48.15
06:15 - 06:30,-7.00,45.26,13.00,-49.00,3.27,0.00,51.04
06:30 - 06:45,-40.00,-11.00,13.48,-49.00,3.47,0.00,-73.00
06:45 - 07:00,-50.00,50.08,14.45,-48.00,0.00,0.00,84.74
07:00 - 07:15,-44.00,20.22,15.41,-58.00,0.00,0.00,78.00
07:15 - 07:30,22.15,43.34,16.37,-57.00,0.00,0.00,-31.00
07:30 - 07:45,28.89,48.14,17.05,-57.00,0.00,0.00,25.04
07:45 - 08:00,2.89,52.97,17.72,-57.00,0.00,0.00,104.96
08:00 - 08:15,0.00,48.15,10.59,-75.00,0.00,0.00,103.04
08:15 - 08:30,0.00,52.97,11.27,-77.00,0.00,0.00,99.18
08:30 - 08:45,13.48,36.59,12.04,-79.00,0.00,0.00,83.78
08:45 - 09:00,19.26,39.48,12.52,-78.00,0.00,0.00,67.41
09:00 - 09:15,53.92,32.74,11.56,-81.00,0.00,0.00,53.93
09:15 - 09:30,71.25,33.71,12.52,-83.00,0.00,0.00,40.45
09:30 - 09:45,0.00,14.45,13.48,-85.00,0.00,0.00,73.19
09:45 - 10:00,0.00,4.82,13.48,-86.00,0.00,0.00,36.59
10:00 - 10:15,-54.00,4.82,12.52,-81.00,0.00,0.00,37.55
10:15 - 10:30,-36.00,0.00,12.52,-71.00,0.00,0.00,43.33
10:30 - 10:45,-42.00,0.00,12.52,-58.00,0.00,0.00,55.85
10:45 - 11:00,-34.00,0.00,12.52,-50.00,0.00,0.00,55.85
11:00 - 11:15,0.00,63.56,11.56,-44.00,0.00,0.00,23.11
11:15 - 11:30,0.00,65.48,11.56,-39.00,0.00,0.00,36.59
11:30 - 11:45,14.45,64.51,11.56,-32.00,0.00,0.00,38.52
11:45 - 12:00,11.56,72.22,11.56,-31.00,0.00,0.00,44.30
12:00 - 12:15,-66.00,72.23,13.48,-28.00,0.00,0.00,54.89
12:15 - 12:30,-72.00,68.37,13.48,-29.00,0.00,0.00,59.71
12:30 - 12:45,-92.00,65.48,13.48,-29.00,0.00,0.00,108.83
12:45 - 13:00,-95.00,67.41,13.48,-33.00,0.00,0.00,75.12
13:00 - 13:15,-62.00,62.60,13.48,-31.00,4.82,0.00,26.96
13:15 - 13:30,-59.00,61.62,13.48,-31.00,4.82,0.00,43.34
13:30 - 13:45,-26.00,81.86,13.48,-31.00,4.82,0.00,93.40
13:45 - 14:00,-31.00,67.41,13.48,-32.00,4.82,0.00,113.63
14:00 - 14:15,12.52,91.48,16.37,-31.00,4.82,0.00,30.82
14:15 - 14:30,11.56,91.48,16.37,-30.00,4.82,0.00,-19.00
14:30 - 14:45,56.82,105.93,17.33,-30.00,4.82,0.00,-19.00
14:45 - 15:00,62.60,110.74,17.33,-31.00,4.82,0.00,22.15
15:00 - 15:15,8.67,57.78,22.15,-25.00,4.82,0.00,75.11
15:15 - 15:30,-21.00,72.23,22.15,-25.00,4.82,0.00,89.55
