Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,105.82,48.10,7.02,4.43,-56.00
00:15 - 00:30,121.21,58.68,6.35,4.14,-56.00
00:30 - 00:45,80.81,24.05,6.06,1.06,-60.00
00:45 - 01:00,48.11,10.58,5.77,0.38,-61.00
01:00 - 01:15,76.96,14.43,5.48,0.00,-79.00
01:15 - 01:30,58.68,14.43,5.10,0.00,-56.00
01:30 - 01:45,44.25,10.58,4.04,0.00,-64.00
01:45 - 02:00,32.70,12.51,3.85,0.00,-65.00
02:00 - 02:15,25.01,0.00,3.85,0.00,-58.00
02:15 - 02:30,25.01,0.00,3.85,0.00,-61.00
02:30 - 02:45,29.82,0.00,3.85,0.00,-71.00
02:45 - 03:00,26.93,0.00,3.85,0.77,-69.00
03:00 - 03:15,23.08,0.00,3.85,3.08,-64.00
03:15 - 03:30,21.17,10.58,3.85,4.23,-67.00
03:30 - 03:45,0.00,23.08,3.85,2.31,-61.00
03:45 - 04:00,0.00,20.20,4.23,4.33,-61.00
04:00 - 04:15,12.51,-5.00,4.33,2.69,-50.00
04:15 - 04:30,31.75,0.00,5.00,4.81,-53.00
04:30 - 04:45,33.67,-10.00,5.58,4.81,-47.00
04:45 - 05:00,2.89,0.00,6.92,4.81,-40.00
05:00 - 05:15,5.77,-7.00,5.58,4.81,-67.00
05:15 - 05:30,74.07,-7.00,8.47,4.81,-60.00
05:30 - 05:45,35.60,-9.00,0.48,4.81,-12.00
05:45 - 06:00,83.69,-14.00,2.89,4.81,-12.00
06:00 - 06:15,-87.00,-10.00,5.77,4.81,-23.00
06:15 - 06:30,79.84,-45.00,8.66,4.81,-27.00
06:30 - 06:45,21.17,-8.00,10.58,4.81,-19.00
06:45 - 07:00,-73.00,-35.00,12.03,4.81,-40.00
07:00 - 07:15,-134.00,-68.00,12.22,4.81,-32.00
07:15 - 07:30,-248.00,-49.00,12.51,6.06,-15.00
07:30 - 07:45,-160.00,-43.00,12.57,5.66,-26.00
07:45 - 08:00,-56.00,-41.00,12.69,5.32,-48.00
08:00 - 08:15,-166.00,-40.00,11.26,4.38,-59.00
08:15 - 08:30,-144.00,-30.00,11.32,3.55,-43.00
08:30 - 08:45,20.62,-45.00,16.96,3.92,-58.00
08:45 - 09:00,62.78,-58.00,17.59,4.48,-62.00
09:00 - 09:15,23.94,-56.00,13.58,3.23,-56.00
09:15 - 09:30,27.07,-51.00,12.92,3.08,-50.00
09:30 - 09:45,88.51,-11.00,19.72,4.81,-44.00
09:45 - 10:00,117.37,14.43,19.91,4.81,-27.00
10:00 - 10:15,112.56,77.92,17.89,4.81,-20.00
10:15 - 10:30,123.13,120.25,17.80,4.81,-20.00
10:30 - 10:45,172.19,96.20,16.84,4.81,-52.00
10:45 - 11:00,174.13,96.20,16.16,3.75,-35.00
11:00 - 11:15,210.67,106.78,18.28,0.87,-100.00
11:15 - 11:30,184.70,40.40,18.28,1.64,-37.00
11:30 - 11:45,118.33,11.54,16.35,3.37,24.05
11:45 - 12:00,21.16,9.62,15.39,4.81,55.80
12:00 - 12:15,191.44,0.00,17.32,4.81,77.92
12:15 - 12:30,202.97,0.00,17.32,4.81,75.04
12:30 - 12:45,91.39,38.48,16.35,4.81,119.29
12:45 - 13:00,55.80,28.86,16.35,4.81,120.25
13:00 - 13:15,104.86,33.67,16.35,4.81,115.44
13:15 - 13:30,71.19,33.67,16.35,4.81,115.44
13:30 - 13:45,94.28,39.44,16.35,4.81,110.63
13:45 - 14:00,93.31,35.59,15.39,4.04,120.26
14:00 - 14:15,191.44,43.29,18.28,4.81,139.49
14:15 - 14:30,174.12,53.87,18.28,4.81,139.49
14:30 - 14:45,50.02,55.80,18.28,4.81,125.06
14:45 - 15:00,12.51,62.53,18.28,4.81,120.24
15:00 - 15:15,-42.00,62.53,16.35,4.81,62.53
15:15 - 15:30,-30.00,59.65,16.35,4.81,-35.00
15:30 - 15:45,50.99,74.07,16.35,4.81,-30.00
15:45 - 16:00,75.04,75.04,16.35,4.81,-15.00
16:00 - 16:15,65.42,33.67,16.35,4.81,-5.00
16:15 - 16:30,41.37,33.67,16.35,4.81,-10.00
16:30 - 16:45,101.65,43.69,15.20,4.75,-225.00
16:45 - 17:00,78.44,28.75,10.46,3.27,9.80
17:00 - 17:15,6.55,27.31,7.65,4.10,9.83
17:15 - 17:30,64.31,28.79,6.71,6.86,69.60
17:30 - 17:45,17.41,6.03,3.57,2.91,41.74
17:45 - 18:00,0.44,3.65,2.91,1.38,19.56
18:00 - 18:15,2.98,89.53,2.09,0.98,43.17
18:15 - 18:30,1.28,87.13,2.16,0.87,40.41
18:30 - 18:45,0.96,77.31,2.47,0.99,10.74
18:45 - 19:00,-34.00,98.25,3.58,1.23,1.56
19:00 - 19:15,-33.00,108.04,19.87,4.32,-35.00
19:15 - 19:30,-29.00,95.63,20.94,4.55,-30.00
19:30 - 19:45,25.97,92.35,22.13,4.81,7.70
19:45 - 20:00,30.78,100.05,21.16,4.91,-133.00
20:00 - 20:15,0.00,101.98,21.16,4.81,-86.00
20:15 - 20:30,0.00,101.97,21.16,4.91,-88.00
20:30 - 20:45,-30.00,100.05,20.20,4.81,28.86
20:45 - 21:00,-32.00,101.01,20.20,4.81,-2.00
21:00 - 21:15,-50.00,84.65,18.95,4.81,20.20
21:15 - 21:30,51.95,73.11,18.09,4.81,29.82
21:30 - 21:45,102.93,51.95,16.84,4.81,35.59
21:45 - 22:00,101.02,69.26,15.10,4.81,28.86
22:00 - 22:15,-1.00,87.55,17.12,4.81,19.24
22:15 - 22:30,-6.00,97.16,16.45,4.81,24.05
22:30 - 22:45,-22.00,91.39,14.05,4.81,15.39
22:45 - 23:00,-18.00,84.66,12.60,4.81,15.39
23:00 - 23:15,18.28,84.66,11.64,4.81,16.35
23:15 - 23:30,28.86,67.34,11.26,4.81,15.39
23:30 - 23:45,29.82,67.34,10.10,4.81,9.62
23:45 - 24:00,18.28,62.52,9.24,4.81,9.62
