Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-63.00,0.00,13.26,0.00,36.51
00:15 - 00:30,-74.00,0.00,12.87,0.00,27.87
00:30 - 00:45,-132.00,0.00,12.01,0.00,9.61
00:45 - 01:00,-133.00,4.80,11.82,0.00,-8.00
01:00 - 01:15,-6.00,8.65,11.72,0.00,-55.00
01:15 - 01:30,-4.00,13.45,11.05,0.00,-67.00
01:30 - 01:45,-21.00,28.82,10.57,0.00,-91.00
01:45 - 02:00,-20.00,24.02,10.28,0.00,-88.00
02:00 - 02:15,-68.00,-11.00,10.18,0.00,-98.00
02:15 - 02:30,-65.00,-25.00,10.09,0.00,-103.00
02:30 - 02:45,-67.00,0.00,9.90,0.00,-126.00
02:45 - 03:00,-65.00,0.00,9.80,0.00,-120.00
03:00 - 03:15,28.82,0.00,9.80,0.00,-86.00
03:15 - 03:30,59.57,0.00,9.80,0.00,-86.00
03:30 - 03:45,49.96,0.00,9.80,0.00,-68.00
03:45 - 04:00,28.83,0.00,10.18,0.00,-68.00
04:00 - 04:15,0.00,0.00,10.57,0.00,-65.00
04:15 - 04:30,0.00,0.00,10.76,0.00,-65.00
04:30 - 04:45,5.76,0.00,11.34,0.00,-73.00
04:45 - 05:00,-11.00,0.00,12.01,0.00,-75.00
05:00 - 05:15,-61.00,0.00,6.05,0.00,-66.00
05:15 - 05:30,-67.00,0.00,8.07,0.00,-31.00
05:30 - 05:45,-81.00,0.00,9.51,0.00,-21.00
05:45 - 06:00,-78.00,0.00,11.53,0.00,-38.00
06:00 - 06:15,-115.00,0.00,13.64,0.00,9.61
06:15 - 06:30,-59.00,0.00,15.76,0.00,-12.00
06:30 - 06:45,-67.00,-15.00,18.45,0.00,-38.00
06:45 - 07:00,-54.00,-25.00,19.89,0.00,-130.00
07:00 - 07:15,-60.00,-20.00,20.85,0.00,-70.00
07:15 - 07:30,-17.00,9.61,22.87,0.00,-85.00
07:30 - 07:45,0.00,9.61,24.98,0.00,-125.00
07:45 - 08:00,0.00,9.61,25.65,0.00,-54.00
08:00 - 08:15,2.88,-25.00,26.62,0.00,-70.00
08:15 - 08:30,5.76,-24.00,27.58,0.00,-64.00
08:30 - 08:45,55.73,-23.00,27.67,0.00,-31.00
08:45 - 09:00,0.96,-21.00,28.06,0.00,-17.00
09:00 - 09:15,-60.00,-25.00,26.71,0.00,-17.00
09:15 - 09:30,-48.00,-17.00,27.77,0.00,-11.00
09:30 - 09:45,0.00,-56.00,28.44,0.00,-27.00
09:45 - 10:00,39.39,-67.00,28.06,0.00,-38.00
10:00 - 10:15,56.68,9.61,27.77,0.00,-50.00
10:15 - 10:30,58.61,11.53,28.15,0.00,-37.00
10:30 - 10:45,51.88,39.39,28.73,0.00,-29.00
10:45 - 11:00,60.53,46.12,27.96,0.00,-15.00
11:00 - 11:15,73.99,61.49,25.65,0.00,-71.00
11:15 - 11:30,83.59,57.65,25.17,0.00,-64.00
11:30 - 11:45,49.96,36.51,24.50,0.00,106.65
11:45 - 12:00,108.57,40.35,23.64,0.00,178.71
12:00 - 12:15,-85.00,12.49,23.06,0.00,195.04
12:15 - 12:30,-84.00,17.29,22.10,0.00,198.89
12:30 - 12:45,-66.00,18.26,22.10,0.00,177.74
12:45 - 13:00,-38.00,24.02,22.10,0.00,13.45
13:00 - 13:15,-15.00,30.74,21.62,0.00,-78.00
13:15 - 13:30,7.69,37.46,19.70,0.00,-106.00
13:30 - 13:45,22.10,28.82,19.22,0.00,-105.00
13:45 - 14:00,24.03,15.37,17.77,0.00,-101.00
14:00 - 14:15,61.49,-43.00,16.33,0.00,-19.00
14:15 - 14:30,56.69,-42.00,16.33,0.00,-10.00
14:30 - 14:45,37.47,0.00,14.41,0.00,-16.00
14:45 - 15:00,40.35,0.00,13.45,0.00,9.61
15:00 - 15:15,12.49,0.00,13.45,0.00,52.85
15:15 - 15:30,-30.00,0.00,13.45,0.00,78.79
15:30 - 15:45,-32.00,16.33,13.45,0.00,0.00
15:45 - 16:00,-44.00,28.83,13.45,0.00,-77.00
16:00 - 16:15,0.00,0.00,15.37,0.00,-10.00
16:15 - 16:30,0.00,0.00,15.37,0.00,-23.00
16:30 - 16:45,0.00,0.00,16.81,0.00,-20.00
16:45 - 17:00,37.48,0.00,17.77,0.00,28.82
17:00 - 17:15,98.96,0.00,19.70,0.00,38.43
17:15 - 17:30,77.83,-15.00,20.66,0.00,28.82
17:30 - 17:45,69.18,-27.00,21.62,0.00,48.04
17:45 - 18:00,50.71,-31.00,15.08,0.38,38.51
18:00 - 18:15,0.00,13.10,9.36,0.75,63.60
18:15 - 18:30,31.34,13.18,7.62,0.44,58.58
18:30 - 18:45,102.47,13.20,6.87,0.53,66.03
18:45 - 19:00,120.38,12.34,6.42,0.22,61.67
19:00 - 19:15,135.45,31.25,13.55,0.00,83.36
19:15 - 19:30,137.06,44.87,21.21,0.00,97.90
19:30 - 19:45,124.91,49.96,24.02,4.80,62.45
19:45 - 20:00,90.32,41.31,24.02,4.80,72.06
20:00 - 20:15,106.65,55.73,24.02,4.80,62.45
20:15 - 20:30,110.50,62.45,24.02,4.80,76.86
20:30 - 20:45,122.98,70.14,24.02,4.80,24.02
20:45 - 21:00,122.02,70.14,22.77,4.80,33.63
21:00 - 21:15,-30.00,78.79,22.10,4.80,105.69
21:15 - 21:30,181.59,91.28,22.10,4.80,115.30
21:30 - 21:45,63.41,98.00,20.66,4.80,148.93
21:45 - 22:00,206.57,112.41,18.74,4.80,163.34
22:00 - 22:15,55.73,87.43,18.06,4.80,163.34
22:15 - 22:30,70.14,84.55,16.33,4.80,168.15
22:30 - 22:45,73.98,82.63,14.41,4.80,167.19
22:45 - 23:00,49.00,67.26,14.03,4.80,160.45
23:00 - 23:15,75.90,64.37,12.78,4.80,125.87
23:15 - 23:30,74.94,49.00,10.86,4.80,98.97
23:30 - 23:45,66.30,47.08,10.57,4.80,67.25
23:45 - 24:00,82.63,20.18,9.61,4.80,35.55
