Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-46.00,-31.00,-1.00,5.28,0.00,0.00,-93.00
00:15 - 00:30,-43.00,-35.00,-1.00,4.80,0.00,0.00,-92.00
00:30 - 00:45,-36.00,-17.00,-1.00,4.80,0.00,0.00,-91.00
00:45 - 01:00,-36.00,-17.00,-1.00,4.51,0.00,0.00,-42.00
01:00 - 01:15,-30.00,-12.00,-1.00,4.22,0.00,0.00,-82.00
01:15 - 01:30,-31.00,-12.00,-1.00,3.84,0.00,0.00,-81.00
01:30 - 01:45,-39.00,-20.00,-1.00,3.84,0.00,0.00,-40.00
01:45 - 02:00,-39.00,-18.00,-1.00,3.84,0.00,0.00,-40.00
02:00 - 02:15,-37.00,-20.00,-1.00,3.84,0.00,0.00,-48.00
02:15 - 02:30,-36.00,-22.00,-1.00,3.84,0.00,0.00,-48.00
02:30 - 02:45,-32.00,-20.00,-1.00,3.84,0.00,0.00,-76.00
02:45 - 03:00,-33.00,-16.00,-1.00,3.84,0.00,0.00,-76.00
03:00 - 03:15,-40.00,0.00,-1.00,3.84,0.00,0.00,-73.00
03:15 - 03:30,-42.00,0.00,-1.00,3.84,0.00,0.00,-73.00
03:30 - 03:45,-49.00,0.00,-1.00,3.84,0.00,0.00,-73.00
03:45 - 04:00,-49.00,0.00,-1.00,4.22,0.00,0.00,-73.00
04:00 - 04:15,-50.00,0.00,-1.00,4.80,0.00,0.00,-69.00
04:15 - 04:30,-44.00,0.00,-1.00,5.76,0.00,0.00,-69.00
04:30 - 04:45,-41.00,0.00,-1.00,6.34,0.00,0.00,-70.00
04:45 - 05:00,-43.00,0.00,-1.00,7.39,0.00,0.00,17.28
05:00 - 05:15,-48.00,0.00,-1.00,9.60,0.00,0.00,-26.00
05:15 - 05:30,-117.00,0.00,-1.00,12.96,0.00,0.00,-64.00
05:30 - 05:45,-15.00,-58.00,-1.00,14.40,0.00,0.00,-56.00
05:45 - 06:00,32.65,-28.00,-1.00,18.24,0.00,0.00,-108.00
06:00 - 06:15,48.01,-76.00,-1.00,16.99,0.00,0.00,-168.00
06:15 - 06:30,82.57,-70.00,-1.00,18.72,0.00,0.00,-90.00
06:30 - 06:45,52.81,-5.00,-1.00,20.16,0.00,0.00,-265.00
06:45 - 07:00,36.49,-5.00,-1.00,20.64,0.00,0.00,-304.00
07:00 - 07:15,45.48,-64.00,-1.00,14.50,0.00,0.66,-153.00
07:15 - 07:30,-21.00,-68.00,-1.00,9.08,0.00,1.51,-153.00
07:30 - 07:45,0.00,-12.00,-1.00,2.29,0.00,0.48,-128.00
07:45 - 08:00,4.31,-3.00,-1.00,2.77,0.00,0.32,-127.00
08:00 - 08:15,197.45,-33.00,-1.00,9.12,0.00,1.13,-130.00
08:15 - 08:30,332.62,-31.00,-1.00,10.46,0.00,0.00,-118.00
08:30 - 08:45,160.77,-25.00,-1.00,17.28,0.00,0.00,-132.00
08:45 - 09:00,71.65,-31.00,-1.00,19.80,0.00,0.00,-136.00
