Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-186.00,-80.00,10.58,-10.00,0.00,-90.00
00:15 - 00:30,-141.00,-64.00,10.58,-10.00,0.00,-90.00
00:30 - 00:45,-107.00,25.02,9.62,-10.00,0.00,-164.00
00:45 - 01:00,-62.00,8.66,9.62,-10.00,0.00,-110.00
01:00 - 01:15,0.00,26.94,9.62,-10.00,0.00,-67.00
01:15 - 01:30,48.10,11.55,9.62,-10.00,0.00,-71.00
01:30 - 01:45,86.59,0.00,9.62,-10.00,0.00,-45.00
01:45 - 02:00,136.62,-15.00,8.66,-10.00,0.00,-45.00
02:00 - 02:15,206.85,-34.00,8.66,-15.00,0.00,-35.00
02:15 - 02:30,185.68,-29.00,8.66,-15.00,0.00,-35.00
02:30 - 02:45,134.69,-29.00,8.66,-15.00,0.00,-30.00
02:45 - 03:00,123.15,-37.00,8.66,-25.00,0.00,-35.00
03:00 - 03:15,105.83,17.32,7.70,-26.00,0.00,-15.00
03:15 - 03:30,92.36,20.20,7.70,-25.00,0.00,-15.00
03:30 - 03:45,94.28,23.09,7.70,-24.00,0.00,8.66
03:45 - 04:00,76.96,22.13,7.70,-25.00,0.00,2.89
04:00 - 04:15,39.45,13.47,7.70,-16.00,0.00,51.95
04:15 - 04:30,33.66,16.36,7.70,-15.00,0.00,8.66
04:30 - 04:45,64.46,21.17,7.70,-15.00,0.00,5.77
04:45 - 05:00,61.58,24.05,7.70,-16.00,0.00,6.73
05:00 - 05:15,58.69,25.01,7.70,-16.00,0.00,6.73
05:15 - 05:30,57.72,25.98,7.70,-16.00,0.00,6.73
05:30 - 05:45,78.89,-13.00,7.70,-25.00,0.00,-24.00
05:45 - 06:00,75.04,-30.00,7.70,-25.00,0.00,-17.00
06:00 - 06:15,0.00,6.73,16.36,-25.00,0.00,33.67
06:15 - 06:30,0.00,13.47,17.32,-25.00,0.00,33.67
06:30 - 06:45,-47.00,0.00,16.93,-25.00,0.00,29.83
06:45 - 07:00,-65.00,0.00,16.36,-25.00,0.00,22.12
07:00 - 07:15,-66.00,-18.00,16.36,-25.00,0.00,30.78
07:15 - 07:30,-29.00,13.47,16.35,-24.00,0.00,16.36
07:30 - 07:45,105.83,-34.00,16.36,-24.00,0.00,-15.00
07:45 - 08:00,104.87,55.80,16.36,-24.00,0.00,8.66
08:00 - 08:15,210.70,71.20,13.47,-32.00,0.00,43.29
08:15 - 08:30,217.43,71.20,11.16,-25.00,0.00,48.11
08:30 - 08:45,267.46,76.01,12.12,-19.00,0.00,91.40
08:45 - 09:00,275.16,109.68,12.51,-19.00,0.00,86.59
09:00 - 09:15,241.48,57.73,13.08,-10.00,0.00,80.82
09:15 - 09:30,277.09,69.27,12.51,-10.00,0.00,88.51
09:30 - 09:45,324.23,101.02,14.05,-10.00,0.00,88.51
09:45 - 10:00,355.97,112.57,13.47,-10.00,0.00,100.06
10:00 - 10:15,489.70,213.59,14.05,-10.00,0.00,125.07
10:15 - 10:30,473.35,228.98,15.01,-10.00,0.00,125.07
10:30 - 10:45,502.21,296.33,13.47,-10.00,0.00,81.78
10:45 - 11:00,482.97,306.91,12.51,-10.00,0.00,81.78
