Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-263.00,-168.00,10.60,-8.99,-165.00
00:15 - 00:30,-327.00,-174.00,10.60,-10.00,-155.00
00:30 - 00:45,-301.00,-174.00,10.31,-10.00,-135.00
00:45 - 01:00,-330.00,-189.00,10.31,-10.00,-130.00
01:00 - 01:15,-376.53,-142.00,10.12,0.00,-145.00
01:15 - 01:30,-340.01,-157.00,10.12,0.00,-235.00
01:30 - 01:45,-379.00,-155.00,9.64,0.00,-225.00
01:45 - 02:00,-401.00,-165.00,9.64,0.00,-220.00
02:00 - 02:15,-431.17,-138.00,9.64,0.00,-213.00
02:15 - 02:30,-449.00,-135.00,9.64,0.00,-213.00
02:30 - 02:45,-478.81,-127.00,9.64,0.00,-213.00
02:45 - 03:00,-486.89,-125.00,9.64,0.00,-213.00
03:00 - 03:15,-432.00,-90.00,9.64,0.00,-213.00
03:15 - 03:30,-430.00,-123.00,9.64,0.00,-195.00
03:30 - 03:45,-390.00,-114.00,9.64,0.00,-195.00
03:45 - 04:00,-384.00,-130.00,9.64,0.00,-185.00
04:00 - 04:15,-374.00,-83.00,8.67,0.00,-180.00
04:15 - 04:30,-373.00,-103.00,8.67,0.00,-170.00
04:30 - 04:45,-340.00,-111.00,8.67,0.00,-175.00
04:45 - 05:00,-337.00,-91.00,8.67,0.00,-165.00
05:00 - 05:15,-355.00,-30.00,14.46,0.00,-155.00
05:15 - 05:30,-335.00,-32.00,14.46,0.00,-145.00
05:30 - 05:45,-399.00,-67.00,14.46,0.00,-120.00
05:45 - 06:00,-394.00,-54.00,14.46,0.00,-120.00
06:00 - 06:15,-408.00,-79.00,15.42,0.00,-50.00
06:15 - 06:30,-391.00,-60.00,16.38,0.00,-30.00
06:30 - 06:45,-376.00,-56.00,16.38,0.00,-13.00
06:45 - 07:00,-410.00,-60.00,16.38,0.00,-40.00
07:00 - 07:15,-463.00,-50.00,17.35,0.00,-30.00
07:15 - 07:30,-496.00,-68.00,17.35,0.00,-30.00
07:30 - 07:45,-409.00,-99.00,17.34,0.00,14.46
07:45 - 08:00,-442.00,-122.00,17.35,0.00,-10.00
08:00 - 08:15,-427.00,-76.00,17.35,0.00,-5.00
08:15 - 08:30,-448.00,-105.00,17.35,0.00,-5.00
08:30 - 08:45,-471.80,-128.00,20.24,0.00,-13.00
08:45 - 09:00,-485.72,-141.00,21.20,0.00,-13.00
09:00 - 09:15,-366.24,-124.00,22.16,0.00,12.53
09:15 - 09:30,-344.22,-122.00,21.20,0.00,12.53
09:30 - 09:45,-144.79,0.00,21.20,0.00,12.53
09:45 - 10:00,-130.59,0.00,20.24,0.00,20.24
10:00 - 10:15,-165.59,-95.00,20.24,0.00,48.18
10:15 - 10:30,-171.76,-74.00,20.24,0.00,48.18
10:30 - 10:45,-353.48,-84.00,16.38,0.00,18.31
10:45 - 11:00,-219.27,-83.00,15.42,0.00,0.96
11:00 - 11:15,-243.60,-79.00,13.88,0.00,43.36
11:15 - 11:30,-246.22,-73.00,12.53,0.00,28.91
11:30 - 11:45,-346.69,-91.00,11.28,0.00,28.91
11:45 - 12:00,-343.92,-84.00,10.02,0.00,26.02
12:00 - 12:15,-465.00,-53.00,10.60,0.00,43.37
12:15 - 12:30,-461.00,-52.00,10.60,0.00,43.37
12:30 - 12:45,-373.00,46.26,10.60,0.00,16.38
12:45 - 13:00,-377.00,32.77,10.12,0.00,11.56
13:00 - 13:15,-438.00,24.09,17.35,0.00,-25.00
13:15 - 13:30,-431.00,19.27,17.35,0.00,-35.00
13:30 - 13:45,-390.00,0.00,17.35,0.00,-10.00
13:45 - 14:00,-328.00,0.00,17.35,0.00,-5.00
14:00 - 14:15,0.00,0.00,0.00,0.00,0.00
14:15 - 14:30,0.00,0.00,0.00,0.00,0.00
14:30 - 14:45,0.00,0.00,0.00,0.00,0.00
14:45 - 15:00,0.00,0.00,0.00,0.00,0.00
15:00 - 15:15,0.00,0.00,0.00,0.00,0.00
15:15 - 15:30,0.00,0.00,0.00,0.00,0.00
15:30 - 15:45,0.00,0.00,0.00,0.00,0.00
15:45 - 16:00,0.00,0.00,0.00,0.00,0.00
16:00 - 16:15,0.00,0.00,0.00,0.00,0.00
16:15 - 16:30,0.00,0.00,0.00,0.00,0.00
16:30 - 16:45,0.00,0.00,0.00,0.00,0.00
16:45 - 17:00,0.00,0.00,0.00,0.00,0.00
17:00 - 17:15,0.00,0.00,0.00,0.00,0.00
17:15 - 17:30,0.00,0.00,0.00,0.00,0.00
17:30 - 17:45,0.00,0.00,0.00,0.00,0.00
17:45 - 18:00,0.00,0.00,0.00,0.00,0.00
18:00 - 18:15,0.00,0.00,0.00,0.00,0.00
18:15 - 18:30,0.00,0.00,0.00,0.00,0.00
18:30 - 18:45,0.00,0.00,0.00,0.00,0.00
18:45 - 19:00,0.00,0.00,0.00,0.00,0.00
19:00 - 19:15,0.00,0.00,0.00,0.00,0.00
19:15 - 19:30,0.00,0.00,0.00,0.00,0.00
19:30 - 19:45,0.00,0.00,0.00,0.00,0.00
19:45 - 20:00,0.00,0.00,0.00,0.00,0.00
20:00 - 20:15,0.00,0.00,0.00,0.00,0.00
20:15 - 20:30,0.00,0.00,0.00,0.00,0.00
20:30 - 20:45,0.00,0.00,0.00,0.00,0.00
20:45 - 21:00,0.00,0.00,0.00,0.00,0.00
21:00 - 21:15,0.00,0.00,0.00,0.00,0.00
21:15 - 21:30,0.00,0.00,0.00,0.00,0.00
21:30 - 21:45,0.00,0.00,0.00,0.00,0.00
21:45 - 22:00,0.00,0.00,0.00,0.00,0.00
22:00 - 22:15,0.00,0.00,0.00,0.00,0.00
22:15 - 22:30,0.00,0.00,0.00,0.00,0.00
22:30 - 22:45,0.00,0.00,0.00,0.00,0.00
22:45 - 23:00,0.00,0.00,0.00,0.00,0.00
23:00 - 23:15,0.00,0.00,0.00,0.00,0.00
23:15 - 23:30,0.00,0.00,0.00,0.00,0.00
23:30 - 23:45,0.00,0.00,0.00,0.00,0.00
23:45 - 24:00,0.00,0.00,0.00,0.00,0.00
