Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-129.00,-62.00,-1.00,6.35,-10.00,0.00,-49.00
00:15 - 00:30,-151.00,-60.00,-1.00,5.96,-10.00,0.00,-48.00
00:30 - 00:45,-88.00,-36.00,-1.00,5.48,-10.00,0.00,-47.00
00:45 - 01:00,-89.00,-32.00,-1.00,5.48,-10.00,0.00,-45.00
01:00 - 01:15,-108.00,-59.00,-1.00,4.81,-19.00,0.00,-42.00
01:15 - 01:30,-105.00,-60.00,-1.00,4.71,-19.00,0.00,-42.00
01:30 - 01:45,-117.00,-53.00,-1.00,4.62,-19.00,0.00,-59.00
01:45 - 02:00,-113.00,-56.00,-1.00,4.52,-19.00,0.00,-55.00
02:00 - 02:15,-118.00,-59.00,-1.00,4.42,-19.00,0.00,-52.00
02:15 - 02:30,-114.00,-61.00,-1.00,4.42,-19.00,0.00,-61.00
02:30 - 02:45,-107.00,-66.00,-1.00,4.42,-19.00,0.00,-54.00
02:45 - 03:00,-98.00,-64.00,-1.00,4.42,-19.00,0.00,-52.00
03:00 - 03:15,-79.00,-53.00,-1.00,4.42,-20.00,0.00,-47.00
03:15 - 03:30,-75.00,-54.00,-1.00,4.42,-20.00,0.00,-47.00
03:30 - 03:45,-76.00,-34.00,-1.00,3.85,-20.00,0.00,-50.00
03:45 - 04:00,-74.00,-36.00,-1.00,4.04,-20.00,0.00,-76.00
04:00 - 04:15,-126.00,-25.00,-1.00,4.33,-20.00,0.00,-50.00
04:15 - 04:30,-127.00,-22.00,-1.00,4.81,-20.00,0.00,-45.00
04:30 - 04:45,-128.00,-32.00,-1.00,5.38,-20.00,0.00,-45.00
04:45 - 05:00,-136.00,-32.00,-1.00,5.77,-20.00,0.00,-148.00
05:00 - 05:15,-126.00,-40.00,-1.00,7.21,-20.00,0.00,-50.00
05:15 - 05:30,-125.00,-43.00,-1.00,8.94,-20.00,0.00,-51.00
05:30 - 05:45,-127.00,-45.00,-1.00,10.39,-20.00,0.00,-50.00
05:45 - 06:00,-69.00,-39.00,-1.00,12.50,-20.00,0.00,-43.00
06:00 - 06:15,-56.00,-51.00,-1.00,9.04,-15.00,0.00,-34.00
06:15 - 06:30,-28.00,-83.00,-1.00,9.04,-10.00,0.00,-34.00
06:30 - 06:45,-78.00,-5.00,-1.00,10.29,-10.00,0.00,-58.00
06:45 - 07:00,-101.00,-45.00,-1.00,11.73,-10.00,0.00,90.39
07:00 - 07:15,-132.00,-44.00,-1.00,12.79,0.00,0.00,0.00
07:15 - 07:30,-111.00,-126.00,-1.00,14.23,0.00,0.00,-25.00
07:30 - 07:45,-72.00,-129.00,-1.00,14.90,0.00,0.00,-101.00
07:45 - 08:00,-60.00,-119.00,-1.00,15.19,0.00,0.00,-94.00
08:00 - 08:15,-19.00,-119.00,-1.00,15.67,0.00,0.00,-75.00
08:15 - 08:30,22.12,-120.00,-1.00,16.15,0.00,0.00,-63.00
08:30 - 08:45,25.97,-62.00,-1.00,13.46,0.00,0.00,-33.00
08:45 - 09:00,36.55,20.19,-1.00,13.46,0.00,0.00,-29.00
09:00 - 09:15,53.85,25.00,-1.00,14.42,-30.00,0.00,41.35
09:15 - 09:30,67.31,4.81,-1.00,14.71,-30.00,0.00,48.08
09:30 - 09:45,170.20,0.00,-1.00,14.71,-25.00,0.00,59.62
09:45 - 10:00,37.50,0.00,-1.00,13.85,-20.00,0.00,90.39
10:00 - 10:15,-5.00,-10.00,-0.50,17.69,-25.00,0.00,91.36
10:15 - 10:30,67.31,-21.00,-0.50,16.83,-25.00,0.00,95.20
10:30 - 10:45,99.04,-40.00,-0.50,16.06,-25.00,0.00,101.93
10:45 - 11:00,100.01,-42.00,-0.50,15.58,-25.00,0.00,97.12
11:00 - 11:15,148.09,19.23,-0.50,15.10,-25.00,0.00,104.81
11:15 - 11:30,150.01,19.23,-0.50,14.14,-25.00,0.00,99.04
11:30 - 11:45,108.66,0.00,-0.50,13.65,-25.00,0.00,70.20
11:45 - 12:00,102.90,0.00,-0.50,13.17,-25.00,0.00,66.35
12:00 - 12:15,102.89,0.00,-0.50,12.21,-25.00,0.00,46.16
12:15 - 12:30,99.04,0.00,-0.50,11.06,-30.20,0.00,46.16
12:30 - 12:45,82.69,0.00,-0.50,9.81,-30.20,0.00,22.12
12:45 - 13:00,80.77,0.00,-0.50,9.81,-30.20,0.00,9.62
13:00 - 13:15,95.19,0.00,-0.50,9.14,-30.20,0.00,-44.00
13:15 - 13:30,97.12,0.00,-0.50,8.46,-30.20,0.00,-60.00
13:30 - 13:45,38.47,0.00,-0.50,8.46,-30.20,0.00,-6.00
13:45 - 14:00,42.31,0.00,-0.50,7.60,-35.00,0.00,17.31
14:00 - 14:15,33.66,-5.00,-0.50,13.46,-35.00,0.00,26.92
14:15 - 14:30,24.04,-5.00,-0.50,13.46,-35.00,0.00,-12.00
14:30 - 14:45,63.47,-24.00,-0.50,12.98,-35.00,0.00,0.00
14:45 - 15:00,38.47,-20.00,-0.50,12.50,-35.00,0.00,7.69
15:00 - 15:15,0.00,-27.00,-0.50,11.54,-35.00,0.00,19.23
15:15 - 15:30,0.00,-23.00,-0.50,10.58,-35.00,0.00,-8.00
15:30 - 15:45,-14.00,-25.00,-0.50,10.58,-35.00,0.00,-45.00
15:45 - 16:00,-16.00,-33.00,-0.50,10.58,-35.00,0.00,-30.00
16:00 - 16:15,-80.00,-25.00,-0.50,11.54,-35.00,0.00,-77.00
16:15 - 16:30,-96.00,-27.00,-0.50,12.50,-35.00,0.00,-65.00
16:30 - 16:45,-71.00,-112.00,-0.50,13.46,-35.00,0.00,-67.00
16:45 - 17:00,-56.00,-83.00,-0.50,14.42,-35.00,0.00,-37.00
17:00 - 17:15,-59.00,-82.00,-0.50,10.58,0.00,0.00,-16.00
17:15 - 17:30,-59.00,-71.00,-0.50,11.06,0.00,0.00,-3.00
17:30 - 17:45,-109.00,-70.00,-0.50,12.02,0.00,0.00,-59.00
17:45 - 18:00,-107.00,-59.00,-0.50,12.79,0.00,0.00,-67.00
18:00 - 18:15,-51.00,0.00,-0.50,13.46,0.00,0.00,-75.00
18:15 - 18:30,-20.00,-20.00,-0.50,14.42,0.00,0.00,-15.00
18:30 - 18:45,0.00,4.81,-0.50,15.38,0.00,0.00,-22.00
18:45 - 19:00,9.62,15.39,-0.50,16.34,0.00,0.00,-26.00
19:00 - 19:15,0.00,0.00,-0.50,17.31,0.00,5.67,-46.00
19:15 - 19:30,-47.00,0.00,-0.50,17.31,0.00,9.42,-64.00
19:30 - 19:45,0.00,28.85,-0.50,17.31,0.00,6.92,-4.00
19:45 - 20:00,0.00,43.27,-0.50,17.31,0.00,0.00,-6.00
