Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,14.40,-1.50,10.46,-15.00,0.00,0.00
00:15 - 00:30,0.00,10.56,-1.50,10.17,-15.00,0.00,0.00
00:30 - 00:45,35.51,14.40,-1.50,10.08,-15.00,0.00,0.00
00:45 - 01:00,23.03,7.68,-1.50,9.89,-15.00,0.00,0.00
01:00 - 01:15,16.32,20.16,-1.50,9.79,-15.00,0.00,21.11
01:15 - 01:30,50.86,20.16,-1.50,9.60,-15.00,0.00,22.08
01:30 - 01:45,77.74,19.20,-1.50,9.50,-15.00,0.00,7.68
01:45 - 02:00,94.07,0.00,-1.50,9.50,-15.00,0.00,28.79
02:00 - 02:15,103.66,-11.00,-1.50,9.50,-18.00,0.00,-50.00
02:15 - 02:30,101.74,-18.00,-1.50,9.50,-18.00,0.00,5.76
02:30 - 02:45,55.67,-15.00,-1.50,9.50,-18.00,0.00,0.00
02:45 - 03:00,55.67,-20.00,-1.50,9.50,-18.00,0.00,0.96
03:00 - 03:15,70.07,-40.00,-1.50,9.50,-18.00,0.00,6.72
03:15 - 03:30,67.19,-39.00,-1.50,9.50,-18.00,0.00,8.64
03:30 - 03:45,51.83,-28.00,-0.10,9.60,-18.00,0.00,7.68
03:45 - 04:00,44.15,-30.00,-0.10,9.60,-18.00,0.00,-52.00
04:00 - 04:15,-48.00,-18.00,-0.10,9.60,-18.00,0.00,-113.00
04:15 - 04:30,-52.00,-10.00,-0.10,9.79,-18.00,0.00,52.79
04:30 - 04:45,-47.00,-25.00,-0.10,10.56,-18.00,0.00,44.15
04:45 - 05:00,-33.00,-21.00,-0.10,11.52,-18.00,0.00,36.47
05:00 - 05:15,-15.00,-11.00,-0.10,12.48,-18.00,0.86,-7.00
05:15 - 05:30,13.44,-14.00,-0.10,15.07,-18.00,0.48,-9.00
05:30 - 05:45,37.43,-10.00,-0.10,16.22,-18.00,1.25,-16.00
05:45 - 06:00,26.87,-16.00,-0.10,18.24,-10.00,0.86,-48.00
06:00 - 06:15,-162.00,-7.00,-0.10,20.74,-10.00,1.82,-46.00
06:15 - 06:30,-158.00,-4.00,-0.10,20.92,-5.00,4.51,-40.00
06:30 - 06:45,-150.00,-6.00,-0.10,23.03,-5.00,5.28,-65.00
06:45 - 07:00,-122.00,-5.00,-0.10,25.82,-5.00,2.21,-68.00
07:00 - 07:15,-96.00,-7.00,-0.10,26.68,-5.00,0.00,-93.00
07:15 - 07:30,-83.00,0.00,-0.10,26.78,-5.00,0.00,-71.00
07:30 - 07:45,-15.00,0.00,-0.50,27.55,-5.00,0.00,-250.00
07:45 - 08:00,-26.00,0.00,-0.50,27.16,-5.00,0.00,-162.00
08:00 - 08:15,-89.00,0.00,-0.50,24.57,-5.00,0.00,-97.00
08:15 - 08:30,-20.00,0.00,-0.50,23.80,0.00,0.00,-83.00
08:30 - 08:45,0.00,0.00,-0.50,23.52,0.00,0.00,-29.00
08:45 - 09:00,-13.00,0.00,-0.50,22.65,0.00,0.00,-59.00
09:00 - 09:15,-26.00,-30.00,-0.50,22.36,-10.00,0.00,-45.00
09:15 - 09:30,-21.00,-30.00,-0.50,22.08,-10.00,0.00,-23.00
09:30 - 09:45,-31.00,-27.00,-0.50,21.40,-10.00,0.00,0.00
09:45 - 10:00,-28.00,-26.00,-0.50,21.11,-10.00,0.00,20.16
10:00 - 10:15,-31.00,-79.00,-0.10,20.82,-10.00,0.00,15.36
10:15 - 10:30,-49.00,-71.00,-0.10,20.25,-10.00,0.00,38.39
10:30 - 10:45,-40.00,-69.00,-0.10,19.96,-10.00,0.00,26.88
10:45 - 11:00,-56.00,-92.00,-0.10,19.58,-10.00,0.00,23.04
11:00 - 11:15,-14.00,-90.00,-0.10,19.19,-10.00,0.00,14.40
11:15 - 11:30,-23.00,-89.00,-0.10,18.71,-10.00,0.00,12.48
11:30 - 11:45,-39.00,-63.00,-0.10,17.85,-10.00,0.00,24.96
11:45 - 12:00,-56.00,-44.00,-0.10,17.47,-10.00,0.00,14.40
12:00 - 12:15,0.00,-81.00,-0.10,18.23,-10.00,0.00,14.40
12:15 - 12:30,0.00,-66.00,-0.10,17.27,-10.00,0.00,10.56
12:30 - 12:45,-32.00,-63.00,-0.10,17.28,-10.00,0.00,75.82
12:45 - 13:00,-49.00,-65.00,-0.10,17.28,-10.00,0.00,81.58
13:00 - 13:15,9.60,-71.00,-0.10,16.79,-10.00,0.00,0.00
13:15 - 13:30,30.71,-77.00,-0.10,16.80,-10.00,0.00,0.00
13:30 - 13:45,44.15,-63.00,-0.10,16.32,-10.00,0.00,29.75
13:45 - 14:00,45.11,-60.00,-0.10,15.36,-10.00,0.00,61.42
14:00 - 14:15,12.48,-56.00,-0.10,15.36,-10.00,0.00,59.50
14:15 - 14:30,5.76,-52.00,-0.10,15.36,-10.00,0.00,35.51
14:30 - 14:45,-18.00,-57.00,-0.10,14.40,-10.00,0.00,16.31
14:45 - 15:00,-11.00,-54.00,-0.10,14.40,-10.00,0.00,-18.00
