Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-19.00,55.99,11.58,-52.00,1.45,-30.00,43.44
00:15 - 00:30,76.26,76.26,11.58,-52.00,0.39,0.00,86.87
00:30 - 00:45,91.70,123.57,11.58,-52.00,0.00,0.00,77.22
00:45 - 01:00,52.13,102.32,11.58,-52.00,0.00,0.00,19.31
01:00 - 01:15,-26.00,73.37,12.55,-85.00,0.00,0.00,62.74
01:15 - 01:30,-152.00,19.31,12.55,-85.00,0.00,0.00,53.09
01:30 - 01:45,-185.00,55.02,12.55,-84.00,0.00,0.00,38.61
01:45 - 02:00,-177.00,47.30,12.55,-85.00,0.00,0.00,38.61
02:00 - 02:15,-66.00,115.83,12.26,-90.00,0.00,0.00,28.96
02:15 - 02:30,-62.00,107.14,12.07,-89.00,0.00,0.00,19.31
02:30 - 02:45,-59.00,83.02,11.58,-88.00,0.00,0.00,26.06
02:45 - 03:00,-86.00,76.26,11.29,-88.00,0.00,0.00,20.27
03:00 - 03:15,-33.00,79.16,11.29,-91.00,0.00,0.00,24.13
03:15 - 03:30,-52.00,79.15,11.10,-91.00,0.00,0.00,33.79
03:30 - 03:45,-10.00,77.22,10.62,-91.00,0.00,0.00,-10.00
03:45 - 04:00,-33.00,61.78,10.62,-92.00,0.00,0.00,-36.00
04:00 - 04:15,-44.00,76.26,10.62,-92.00,0.00,0.00,-20.00
04:15 - 04:30,-42.00,65.64,10.62,-91.99,0.00,0.00,-50.00
04:30 - 04:45,-19.00,74.33,11.10,-92.99,0.00,0.00,-60.00
04:45 - 05:00,-23.00,72.40,11.58,-92.00,0.00,0.00,-58.00
05:00 - 05:15,0.00,50.20,11.87,-93.00,0.00,0.00,-55.00
05:15 - 05:30,-12.00,66.60,12.07,-93.00,0.00,0.00,-55.00
05:30 - 05:45,-17.00,79.16,12.26,-93.00,8.01,0.00,-50.00
05:45 - 06:00,-25.00,75.29,12.84,-92.00,5.31,0.00,-45.00
06:00 - 06:15,38.61,68.54,12.84,-92.00,0.77,0.00,-40.00
06:15 - 06:30,29.92,68.55,13.22,-92.00,0.00,0.00,-35.00
06:30 - 06:45,-38.00,57.92,13.22,-91.00,0.00,0.00,-60.00
06:45 - 07:00,-44.00,11.58,13.22,-91.00,0.39,0.00,-75.00
07:00 - 07:15,-102.00,-21.00,13.51,-90.00,0.00,0.00,-70.00
07:15 - 07:30,-91.00,56.96,13.51,-90.00,0.00,0.00,-60.00
07:30 - 07:45,-110.00,20.27,14.19,-89.00,0.00,0.00,-90.00
07:45 - 08:00,-90.00,20.27,14.77,-88.00,0.00,0.00,-90.00
08:00 - 08:15,-93.00,36.69,8.49,-88.00,0.00,0.00,-80.00
08:15 - 08:30,-78.00,38.61,9.17,-87.00,0.00,0.00,-90.00
08:30 - 08:45,-52.00,38.61,9.94,-87.00,0.00,0.00,-90.00
08:45 - 09:00,-48.00,41.51,10.91,-87.00,0.00,0.00,-120.00
09:00 - 09:15,-30.00,7.72,9.66,-85.00,0.00,0.00,-120.00
09:15 - 09:30,-9.00,52.13,9.65,-84.00,0.00,0.00,-90.00
09:30 - 09:45,0.00,13.51,10.62,-84.00,0.00,0.00,-117.00
09:45 - 10:00,0.00,26.06,11.10,-85.00,0.00,0.00,-115.00
10:00 - 10:15,9.65,22.21,9.65,-84.00,0.00,0.00,-108.00
10:15 - 10:30,17.38,44.40,9.65,-83.00,0.00,0.00,-100.00
10:30 - 10:45,0.00,75.30,9.65,-94.00,0.00,0.00,-95.00
10:45 - 11:00,0.00,66.61,9.65,-88.00,0.00,0.00,-103.00
11:00 - 11:15,-31.00,45.37,8.69,-80.00,0.00,0.00,-100.00
11:15 - 11:30,-36.00,37.64,8.69,-74.00,0.00,0.00,-100.00
11:30 - 11:45,-19.00,0.00,6.76,-68.00,0.00,0.00,-120.00
