Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,79.03,17.35,1.06,-1.50,7.52,0.00,0.29,-30.00
00:15 - 00:30,77.10,17.35,1.06,-1.50,7.23,0.00,0.29,-33.00
00:30 - 00:45,79.03,26.99,1.06,-1.50,6.94,0.00,0.29,-34.00
00:45 - 01:00,80.96,24.10,1.06,-1.50,6.84,0.00,0.29,-33.00
01:00 - 01:15,82.88,17.35,1.06,-1.50,6.65,0.00,0.29,-50.00
01:15 - 01:30,83.85,11.57,1.06,-1.50,6.55,0.00,0.29,-43.00
01:30 - 01:45,60.71,14.46,1.06,-1.50,5.98,0.00,0.29,-58.00
01:45 - 02:00,60.72,10.60,1.06,-1.50,5.88,0.00,0.29,-62.00
02:00 - 02:15,53.97,0.00,1.06,-1.50,5.88,0.00,0.29,-62.00
02:15 - 02:30,64.57,9.64,1.06,-1.50,5.88,0.00,0.29,-68.00
02:30 - 02:45,62.65,0.00,1.06,-1.50,5.88,0.00,0.29,0.00
02:45 - 03:00,65.54,0.00,1.06,-1.50,5.78,0.00,0.29,0.00
03:00 - 03:15,77.10,0.00,1.06,-1.50,4.82,0.00,0.29,30.84
03:15 - 03:30,73.25,0.00,1.06,-1.50,4.82,0.00,0.29,66.50
03:30 - 03:45,62.64,0.00,1.06,-1.50,4.82,0.00,0.29,50.12
03:45 - 04:00,52.05,0.00,1.06,-1.50,4.82,0.00,0.29,38.55
04:00 - 04:15,44.33,0.00,1.06,-1.50,4.82,0.00,0.29,42.41
04:15 - 04:30,41.44,0.00,1.06,-1.50,5.01,0.00,0.29,39.52
04:30 - 04:45,50.12,0.00,1.06,-1.50,5.20,0.00,0.29,25.06
04:45 - 05:00,50.11,0.00,1.06,-1.50,5.30,0.00,0.29,19.28
05:00 - 05:15,42.41,0.00,1.06,-1.50,5.78,0.00,0.29,14.46
05:15 - 05:30,44.34,0.00,1.06,-1.50,6.26,0.00,0.29,5.78
05:30 - 05:45,58.78,0.00,1.06,-1.50,6.46,0.00,0.29,11.57
05:45 - 06:00,55.90,0.00,1.06,-1.50,7.04,0.00,0.29,96.38
06:00 - 06:15,25.06,0.00,1.06,-1.50,7.42,0.00,0.29,41.44
06:15 - 06:30,23.13,0.00,1.06,-1.50,7.52,0.00,0.29,26.02
06:30 - 06:45,24.09,9.64,1.06,-1.50,7.81,0.00,0.29,12.53
06:45 - 07:00,9.64,9.64,1.06,-1.50,7.81,0.00,0.29,16.38
07:00 - 07:15,10.60,24.10,1.06,-1.50,7.61,0.00,0.29,69.39
07:15 - 07:30,39.52,28.91,1.06,-1.50,7.32,0.00,0.29,54.94
07:30 - 07:45,61.68,24.10,1.06,-1.50,7.13,0.00,0.29,39.52
07:45 - 08:00,60.71,24.10,1.06,-1.50,7.04,0.00,0.29,23.13
08:00 - 08:15,37.59,19.28,1.06,-1.50,6.55,0.00,0.29,7.71
08:15 - 08:30,9.64,19.28,1.06,-1.50,6.46,0.00,0.29,40.47
08:30 - 08:45,48.19,0.00,1.06,-1.50,6.07,0.00,0.29,43.37
08:45 - 09:00,35.66,0.00,1.06,-6.00,5.98,0.00,0.29,10.60
09:00 - 09:15,27.95,0.00,1.06,-6.00,5.11,0.00,0.29,32.77
09:15 - 09:30,60.72,0.00,1.06,-6.00,4.82,0.00,0.29,41.44
09:30 - 09:45,55.90,0.00,1.06,-6.00,4.63,0.00,0.29,79.03
09:45 - 10:00,50.12,0.00,1.06,-6.00,4.34,0.00,0.29,107.94
10:00 - 10:15,33.73,-42.00,1.06,-6.00,4.05,0.00,0.29,123.37
10:15 - 10:30,30.84,-35.00,1.06,-6.00,3.57,0.00,0.29,139.75
10:30 - 10:45,22.17,-42.00,1.06,-6.00,3.18,-10.00,0.29,75.17
10:45 - 11:00,25.06,-35.00,1.06,-6.00,3.08,-10.00,0.29,80.00
11:00 - 11:15,81.92,0.00,1.06,-6.00,2.89,-10.00,0.29,106.02
11:15 - 11:30,96.38,0.00,1.06,-6.00,2.70,-10.00,0.29,113.73
11:30 - 11:45,68.43,0.00,1.06,-6.00,2.41,-10.00,0.29,130.11
11:45 - 12:00,26.99,0.00,1.06,-6.00,2.31,-10.00,0.29,124.33
12:00 - 12:15,28.91,0.00,1.06,-6.00,1.73,-10.00,0.29,125.30
12:15 - 12:30,13.49,0.00,1.06,-6.00,1.73,-10.00,0.29,125.30
12:30 - 12:45,23.13,0.00,1.06,-6.00,1.54,-10.00,0.29,115.66
12:45 - 13:00,24.10,0.00,1.06,-6.00,1.25,-10.00,0.29,101.20
13:00 - 13:15,16.39,0.00,1.06,-5.17,0.67,-10.00,0.29,9.64
13:15 - 13:30,10.60,0.00,1.06,-6.00,0.77,-10.00,0.29,0.00
13:30 - 13:45,11.57,-34.00,1.06,-6.00,0.29,-10.00,0.29,19.27
13:45 - 14:00,11.56,-30.00,1.06,-6.00,0.00,-10.00,0.29,4.82
14:00 - 14:15,12.53,-17.00,1.06,-6.00,0.10,-10.00,0.29,0.00
14:15 - 14:30,7.71,-9.00,1.06,-6.00,0.39,-10.00,0.29,0.00
14:30 - 14:45,19.28,-31.00,1.06,-6.00,0.58,-10.00,0.29,67.46
14:45 - 15:00,20.24,-14.00,1.06,-6.00,0.96,-10.00,0.29,67.47
15:00 - 15:15,26.99,-15.00,1.06,-6.00,1.64,-10.00,0.29,96.37
15:15 - 15:30,26.99,-3.00,1.06,-6.00,2.51,-10.00,0.29,77.10
15:30 - 15:45,57.83,0.00,1.06,-6.00,3.86,-10.00,0.29,67.46
15:45 - 16:00,56.86,0.00,1.06,-6.00,4.82,-10.00,0.29,67.47
16:00 - 16:15,40.48,4.82,1.06,-6.00,5.59,-10.00,0.29,33.73
