Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,137.87,24.84,0.00,-33.00,0.10,0.00,-65.00
00:15 - 00:30,129.60,14.86,0.00,-37.00,0.00,0.00,-80.00
00:30 - 00:45,91.28,19.84,0.00,-20.00,0.00,0.00,-100.00
00:45 - 01:00,110.17,20.89,0.00,-20.00,0.00,0.00,-100.00
01:00 - 01:15,173.10,25.04,0.00,-20.00,0.00,0.00,53.65
01:15 - 01:30,137.38,20.69,0.00,-20.00,0.00,0.00,62.07
01:30 - 01:45,66.60,-10.00,0.00,-10.00,0.00,0.00,33.78
01:45 - 02:00,23.16,-7.00,-2.00,-10.00,0.00,0.00,28.96
02:00 - 02:15,156.36,16.41,-3.00,-20.00,0.00,0.00,38.61
02:15 - 02:30,66.60,11.58,-3.00,-20.00,0.00,0.00,-10.00
02:30 - 02:45,57.91,59.84,-4.00,-20.00,0.00,0.00,-10.00
02:45 - 03:00,25.10,62.73,-4.00,-20.00,0.00,0.00,-5.00
03:00 - 03:15,-33.00,40.54,-4.00,-20.00,0.00,0.00,-10.00
03:15 - 03:30,-76.00,42.47,-4.00,-20.00,0.00,0.00,-10.00
03:30 - 03:45,-123.00,21.23,-5.00,-20.00,0.00,0.00,-20.00
03:45 - 04:00,-152.00,21.23,-5.00,-20.00,0.00,0.00,-20.00
04:00 - 04:15,-63.00,25.10,-5.00,-20.00,0.00,0.00,9.65
04:15 - 04:30,-38.00,35.72,-5.00,-20.00,0.00,0.00,19.30
04:30 - 04:45,-98.00,91.70,-5.00,-20.00,0.00,0.00,33.78
04:45 - 05:00,-123.00,94.59,-5.00,-20.00,0.00,0.00,33.78
05:00 - 05:15,-125.00,35.71,-5.00,-20.00,0.00,0.00,14.48
05:15 - 05:30,-129.00,101.35,-5.00,-20.00,0.00,0.00,19.30
05:30 - 05:45,-145.00,100.38,-5.00,-30.00,0.00,0.00,9.65
05:45 - 06:00,-127.00,115.82,-5.00,-30.00,0.00,0.00,48.26
06:00 - 06:15,-129.00,94.59,-5.00,-30.00,0.00,0.00,33.78
06:15 - 06:30,-56.00,112.93,-5.00,-30.00,0.00,0.00,-5.00
06:30 - 06:45,-53.00,144.78,0.00,-30.00,0.00,0.00,4.83
06:45 - 07:00,-80.00,118.72,0.00,-30.00,0.00,0.00,-50.00
07:00 - 07:15,-81.00,123.55,0.00,-35.00,0.00,0.00,-40.00
07:15 - 07:30,-73.00,121.62,0.00,-35.00,0.00,0.00,-30.00
07:30 - 07:45,-74.00,118.72,0.00,-35.00,0.00,0.00,-30.00
07:45 - 08:00,-59.00,123.55,0.00,-35.00,0.00,0.00,-5.00
08:00 - 08:15,0.00,102.31,-9.00,-35.00,0.00,0.00,-15.00
08:15 - 08:30,0.00,100.38,-9.00,-35.00,0.00,0.00,-25.00
08:30 - 08:45,14.48,94.59,-9.00,-34.00,0.00,0.00,-25.00
08:45 - 09:00,31.85,101.35,-9.00,-34.00,0.00,0.00,-25.00
09:00 - 09:15,72.39,89.76,-2.00,-36.00,0.00,0.00,-30.00
09:15 - 09:30,88.80,92.66,-2.00,-35.00,0.00,0.00,-30.00
09:30 - 09:45,95.56,74.32,-2.00,-34.00,0.00,0.00,-30.00
09:45 - 10:00,83.00,64.67,-2.00,-33.00,0.10,0.00,-30.00
10:00 - 10:15,27.99,53.08,-4.00,-33.00,0.10,0.00,-15.00
10:15 - 10:30,30.89,43.43,-4.00,-32.00,0.00,0.00,-15.00
10:30 - 10:45,29.92,51.16,-4.00,-32.00,0.00,0.00,0.00
10:45 - 11:00,21.23,53.09,-4.00,-29.00,0.00,0.00,-5.00
11:00 - 11:15,115.83,67.56,-4.00,-25.00,0.00,0.00,14.48
11:15 - 11:30,123.55,54.05,-4.00,-22.00,0.00,0.00,9.65
11:30 - 11:45,170.84,115.82,-3.00,-19.00,0.00,0.00,48.26
11:45 - 12:00,128.38,115.82,-3.00,-26.00,0.00,0.00,33.78
12:00 - 12:15,127.41,104.24,0.00,-26.00,0.00,0.00,57.91
12:15 - 12:30,129.34,106.17,0.00,-25.00,0.00,0.00,89.76
12:30 - 12:45,140.92,129.34,6.27,-25.00,0.00,0.00,86.87
12:45 - 13:00,136.09,136.09,6.37,-26.00,0.10,0.00,86.87
13:00 - 13:15,80.12,78.18,6.37,-26.00,0.00,0.00,9.65
13:15 - 13:30,53.09,74.32,6.37,-27.00,0.00,0.00,9.65
13:30 - 13:45,-43.00,98.45,1.06,-27.00,0.00,0.00,28.96
13:45 - 14:00,-44.00,115.83,1.06,-29.00,0.00,0.00,72.39
14:00 - 14:15,-17.00,106.18,1.06,-30.00,0.00,0.00,35.71
14:15 - 14:30,-74.00,72.39,1.06,-31.00,0.00,0.00,14.48
14:30 - 14:45,-72.00,50.19,-0.90,-30.00,0.00,0.00,9.65
14:45 - 15:00,-17.00,27.99,-0.60,-30.00,0.00,0.00,9.65
15:00 - 15:15,-38.00,27.03,1.25,-31.00,0.00,0.00,0.00
15:15 - 15:30,0.00,18.34,1.25,-32.00,0.00,0.00,0.00
15:30 - 15:45,22.20,-10.00,2.61,-31.00,0.00,0.00,-5.00
15:45 - 16:00,25.10,-8.00,2.70,-33.00,0.00,0.00,-5.00
16:00 - 16:15,-63.00,0.00,-4.30,-35.00,0.00,0.00,-10.00
16:15 - 16:30,-62.00,0.00,-4.20,-41.00,0.00,0.00,-5.00
16:30 - 16:45,-66.00,-8.00,-4.10,-30.00,0.00,0.00,-15.00
16:45 - 17:00,-67.00,-10.00,-4.00,-38.00,0.00,0.00,-12.00
17:00 - 17:15,-58.00,0.00,1.16,-14.00,0.00,0.00,1.93
17:15 - 17:30,-39.00,0.00,1.45,-14.00,0.00,0.00,4.82
17:30 - 17:45,-88.00,-25.00,1.45,-6.00,0.00,0.00,38.61
17:45 - 18:00,-124.00,-57.00,1.45,-14.00,0.00,0.00,-12.00
18:00 - 18:15,-69.00,-66.00,2.90,-40.00,0.00,0.00,9.65
18:15 - 18:30,-112.00,-71.00,2.90,-42.00,0.00,0.00,9.65
18:30 - 18:45,-93.00,-73.00,2.89,-42.00,0.00,0.00,0.97
18:45 - 19:00,-96.00,-61.00,3.19,-44.00,0.00,0.00,98.45
19:00 - 19:15,-118.00,-78.00,3.38,-46.00,0.48,0.00,34.75
19:15 - 19:30,-128.00,-74.00,3.57,-47.00,1.45,0.00,-18.00
19:30 - 19:45,-72.00,-91.00,3.76,-47.00,5.02,0.00,-1.00
19:45 - 20:00,-28.00,-88.00,3.76,-46.00,7.53,0.00,3.86
20:00 - 20:15,65.62,-101.00,2.90,-47.00,3.67,0.00,0.97
20:15 - 20:30,107.13,-93.00,2.90,-47.00,4.15,0.00,5.79
20:30 - 20:45,29.92,-75.00,2.90,-25.00,4.44,0.00,26.06
20:45 - 21:00,-42.00,-77.00,2.90,-25.00,5.41,0.00,32.81
21:00 - 21:15,-23.00,-59.00,2.90,-15.00,1.64,0.00,36.67
21:15 - 21:30,0.00,-57.00,2.90,-15.00,5.31,0.00,41.50
21:30 - 21:45,0.00,-56.00,2.90,-15.00,1.35,-8.00,52.12
21:45 - 22:00,0.00,-62.00,2.90,-15.00,0.00,0.00,50.19
22:00 - 22:15,24.13,-37.00,2.90,-15.00,0.00,0.00,62.73
22:15 - 22:30,87.43,-37.00,2.67,-15.00,1.79,-8.00,57.99
22:30 - 22:45,44.69,-13.00,2.36,0.00,1.10,-8.00,70.56
22:45 - 23:00,26.06,-15.00,2.01,0.00,2.20,-8.00,66.83
23:00 - 23:15,89.25,0.00,2.14,0.00,1.28,-8.00,64.25
23:15 - 23:30,107.84,0.00,2.20,0.00,0.00,-8.00,66.03
23:30 - 23:45,142.35,-10.00,2.14,0.00,0.00,-8.00,53.65
23:45 - 24:00,139.05,-10.00,2.63,0.00,0.00,-8.00,61.21
