Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-71.00,-35.00,10.59,-42.00,33.69
00:15 - 00:30,-81.00,-25.00,10.59,-42.00,52.94
00:30 - 00:45,-64.00,-40.00,10.59,-97.00,86.62
00:45 - 01:00,-61.00,-40.00,10.59,-100.00,67.37
01:00 - 01:15,-72.00,-30.00,10.59,-103.00,48.12
01:15 - 01:30,-85.00,-30.00,10.59,-105.00,48.12
01:30 - 01:45,-115.00,-33.00,10.59,-106.00,38.50
01:45 - 02:00,-114.00,-40.00,10.59,-108.00,38.50
02:00 - 02:15,96.24,14.44,9.63,-60.00,28.88
02:15 - 02:30,95.28,0.00,9.63,-60.00,28.88
02:30 - 02:45,100.10,8.66,9.63,-61.00,19.25
02:45 - 03:00,142.45,34.65,9.63,-61.00,19.25
03:00 - 03:15,18.29,0.00,8.66,-61.00,9.63
03:15 - 03:30,12.51,0.00,8.66,-60.00,9.63
03:30 - 03:45,-23.00,0.00,8.66,-62.00,-10.00
03:45 - 04:00,-22.00,0.00,7.70,-62.00,-10.00
04:00 - 04:15,0.00,0.00,7.70,-62.00,-10.00
04:15 - 04:30,0.00,0.00,7.70,-62.00,-10.00
04:30 - 04:45,31.77,0.00,7.12,-62.00,-10.00
04:45 - 05:00,-19.00,0.00,7.12,-61.00,-10.00
05:00 - 05:15,-25.00,-10.00,6.74,-61.00,-10.00
05:15 - 05:30,-45.00,0.00,6.74,-60.00,-10.00
05:30 - 05:45,-47.00,0.00,6.16,-60.00,-10.00
05:45 - 06:00,-63.00,9.62,6.74,-61.00,-10.00
06:00 - 06:15,13.48,31.76,7.70,-60.00,-20.00
06:15 - 06:30,0.00,41.39,8.66,-60.00,-10.00
06:30 - 06:45,6.74,40.42,9.63,-59.00,4.81
06:45 - 07:00,9.63,43.30,10.59,-58.00,9.63
07:00 - 07:15,24.07,11.55,11.55,-56.00,4.81
07:15 - 07:30,26.95,13.48,12.51,-54.00,4.81
07:30 - 07:45,68.33,6.74,13.48,-59.00,62.56
07:45 - 08:00,97.20,10.59,14.44,-47.00,67.38
08:00 - 08:15,87.58,42.35,9.63,-59.00,67.38
08:15 - 08:30,100.10,44.28,9.91,-46.00,77.00
08:30 - 08:45,90.47,33.69,10.01,-32.00,67.38
08:45 - 09:00,92.40,33.69,9.63,-18.00,62.56
09:00 - 09:15,113.57,26.95,16.84,-55.00,48.13
09:15 - 09:30,113.57,17.33,17.52,-39.00,14.44
09:30 - 09:45,134.74,14.44,18.77,-27.00,14.44
09:45 - 10:00,108.76,9.63,19.44,-17.00,9.63
10:00 - 10:15,68.34,9.63,19.44,-8.00,-15.00
10:15 - 10:30,62.56,9.63,19.44,-8.00,0.00
10:30 - 10:45,59.68,15.40,19.44,0.00,4.81
10:45 - 11:00,53.90,5.78,19.44,0.00,-10.00
11:00 - 11:15,32.73,-10.00,19.44,0.00,4.81
11:15 - 11:30,26.95,-7.00,19.44,0.00,19.25
11:30 - 11:45,-56.00,0.00,19.44,0.00,57.75
11:45 - 12:00,-68.00,0.00,19.44,0.00,57.75
12:00 - 12:15,-35.00,36.58,19.25,0.00,91.43
12:15 - 12:30,-35.00,31.76,19.25,0.00,96.25
12:30 - 12:45,-39.00,54.86,19.25,0.00,86.63
12:45 - 13:00,-39.00,52.94,19.25,0.00,105.87
13:00 - 13:15,-36.00,51.01,12.51,0.00,48.13
13:15 - 13:30,-28.00,48.13,12.51,0.00,72.19
13:30 - 13:45,11.55,42.35,10.59,0.00,79.89
13:45 - 14:00,39.46,53.90,10.59,0.00,98.18
14:00 - 14:15,57.75,54.86,10.59,0.00,0.00
14:15 - 14:30,53.90,60.64,10.59,0.00,4.81
14:30 - 14:45,0.00,115.50,11.55,0.00,-40.00
14:45 - 15:00,17.33,111.65,11.55,0.00,-40.00
15:00 - 15:15,-37.00,82.78,11.55,-13.00,-25.00
15:15 - 15:30,-8.00,107.80,11.55,-13.00,-20.00
15:30 - 15:45,-6.00,115.50,19.25,-13.00,11.55
15:45 - 16:00,11.55,114.54,19.25,-13.00,29.84
16:00 - 16:15,11.55,78.93,12.51,-13.00,8.66
16:15 - 16:30,9.63,77.95,13.48,-18.00,2.89
16:30 - 16:45,42.35,59.67,13.48,-21.00,4.81
16:45 - 17:00,51.98,27.91,12.51,-24.00,4.81
17:00 - 17:15,70.26,45.24,11.55,-32.00,-5.00
17:15 - 17:30,80.85,53.90,10.59,-42.00,4.81
17:30 - 17:45,48.12,0.00,9.63,-54.00,-10.00
17:45 - 18:00,42.35,0.00,8.66,-66.00,-25.00
18:00 - 18:15,100.10,-19.00,7.70,-83.00,4.81
18:15 - 18:30,100.09,-10.00,6.74,-94.00,28.88
18:30 - 18:45,50.05,0.00,6.74,-109.00,38.50
18:45 - 19:00,52.93,0.00,6.74,-116.00,48.13
19:00 - 19:15,39.46,0.00,7.22,-122.00,110.69
19:15 - 19:30,38.50,0.00,7.41,-128.00,86.63
19:30 - 19:45,57.75,-30.00,7.70,-132.00,48.13
19:45 - 20:00,66.41,-17.00,8.18,-138.00,88.55
20:00 - 20:15,80.86,0.00,8.66,-95.00,70.26
20:15 - 20:30,82.78,0.00,8.66,-102.00,70.26
20:30 - 20:45,16.36,0.00,3.85,-102.00,-10.00
20:45 - 21:00,0.00,0.00,3.85,-86.00,-30.00
21:00 - 21:15,-7.00,25.03,3.56,-99.00,43.31
21:15 - 21:30,7.70,25.99,3.37,-98.00,43.31
21:30 - 21:45,20.21,0.00,3.18,-60.00,-5.00
21:45 - 22:00,55.82,45.24,2.89,-60.00,0.00
22:00 - 22:15,121.28,53.90,2.60,-60.00,125.12
22:15 - 22:30,154.97,62.56,2.60,-60.00,120.31
22:30 - 22:45,163.61,33.69,2.41,-60.00,105.88
22:45 - 23:00,200.19,25.03,2.41,-60.00,105.88
23:00 - 23:15,252.17,51.98,2.21,-60.00,96.25
23:15 - 23:30,251.21,58.71,2.12,-60.00,48.13
23:30 - 23:45,255.06,19.25,1.93,-60.00,52.94
23:45 - 24:00,225.23,4.81,1.73,-60.00,52.94
