Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-66.00,-30.00,-0.50,13.41,0.00,41.20
00:15 - 00:30,-63.00,-35.00,-0.50,13.41,0.00,-2.00
00:30 - 00:45,-90.00,-43.00,-0.50,12.45,0.00,-27.00
00:45 - 01:00,-75.00,-33.00,-0.50,12.45,0.00,-39.00
01:00 - 01:15,-84.00,-40.00,-0.50,11.50,0.00,-42.00
01:15 - 01:30,-80.00,-44.00,-0.50,10.83,0.00,-59.00
01:30 - 01:45,-68.00,-42.00,-0.50,10.83,0.00,-74.00
01:45 - 02:00,-40.00,-38.00,-0.50,10.83,0.00,-74.00
02:00 - 02:15,-17.00,-28.00,-0.50,10.54,0.00,-68.00
02:15 - 02:30,0.00,-27.00,-0.50,10.06,0.00,-64.00
02:30 - 02:45,0.00,-21.00,-0.50,10.06,0.00,-51.00
02:45 - 03:00,0.00,-22.00,-0.50,9.87,0.00,-48.00
03:00 - 03:15,0.00,-11.00,-0.50,9.87,0.00,-49.00
03:15 - 03:30,-32.00,-21.00,-0.50,10.54,0.00,-50.00
03:30 - 03:45,-37.00,-9.00,-0.50,10.54,0.00,-57.00
03:45 - 04:00,-41.00,-11.00,-0.50,10.54,0.00,-59.00
04:00 - 04:15,-19.00,0.00,-0.50,11.50,0.00,-60.00
04:15 - 04:30,-19.00,0.00,-0.50,11.50,0.00,-59.00
04:30 - 04:45,-18.00,-4.00,-0.50,12.45,0.00,-56.00
04:45 - 05:00,-19.00,-6.00,-0.50,12.45,0.00,-59.00
05:00 - 05:15,-19.00,0.00,-0.50,7.66,0.00,-52.00
05:15 - 05:30,-12.00,0.00,-0.50,10.54,0.00,5.75
05:30 - 05:45,19.16,0.00,-0.50,11.50,0.00,33.53
05:45 - 06:00,35.45,-19.00,-0.50,15.33,0.00,18.20
06:00 - 06:15,13.41,-6.00,-0.50,19.16,0.00,40.24
06:15 - 06:30,-20.00,-7.00,-0.50,21.08,0.00,106.33
06:30 - 06:45,-28.00,10.54,-0.50,23.95,0.00,148.49
06:45 - 07:00,91.01,9.58,-0.50,24.91,0.00,114.96
07:00 - 07:15,70.89,31.61,-0.50,26.82,0.00,191.61
07:15 - 07:30,56.29,3.22,-0.50,24.12,0.00,16.08
07:30 - 07:45,60.52,13.15,-0.50,14.03,0.00,0.00
07:45 - 08:00,36.39,0.00,-0.50,11.65,0.00,0.00
08:00 - 08:15,15.87,6.90,-0.50,7.36,0.00,-16.00
08:15 - 08:30,0.63,0.00,-0.50,7.05,0.00,-44.00
08:30 - 08:45,0.00,-20.00,-0.50,5.34,0.00,3.99
08:45 - 09:00,18.47,0.00,-0.50,5.44,0.00,9.90
09:00 - 09:15,0.00,0.00,-0.50,5.31,0.00,75.77
09:15 - 09:30,0.00,7.49,-0.50,5.43,0.00,56.17
09:30 - 09:45,3.73,15.53,-0.50,9.01,0.00,263.98
09:45 - 10:00,24.13,9.58,-0.50,11.11,0.00,268.18
10:00 - 10:15,113.75,0.00,-0.50,18.84,0.00,25.82
10:15 - 10:30,142.74,0.00,-0.50,25.87,0.00,38.32
10:30 - 10:45,0.00,0.00,-0.50,25.87,0.00,18.20
10:45 - 11:00,-34.00,0.00,-0.50,25.87,0.00,-18.00
11:00 - 11:15,-182.00,38.32,-0.50,24.24,0.00,-6.00
11:15 - 11:30,-120.00,43.11,-0.50,23.95,0.00,-55.00
11:30 - 11:45,-83.00,-23.00,-0.50,24.24,0.00,15.33
11:45 - 12:00,-38.00,-21.00,-0.50,23.57,0.00,25.86
12:00 - 12:15,-53.00,-43.00,-0.50,26.82,0.00,0.00
12:15 - 12:30,-36.00,-32.00,-0.50,24.91,0.00,0.00
12:30 - 12:45,-40.00,-26.00,-0.50,23.95,0.00,-33.00
12:45 - 13:00,-20.00,-33.00,-0.50,22.99,0.00,-38.00
13:00 - 13:15,45.03,-55.00,-0.50,22.03,0.00,-67.00
13:15 - 13:30,58.43,-54.00,-0.50,21.08,0.00,-70.00
13:30 - 13:45,93.88,-22.00,-0.50,19.16,0.00,-75.00
13:45 - 14:00,85.26,-39.00,-0.50,19.16,0.00,-70.00
14:00 - 14:15,68.02,-15.00,-0.50,19.16,0.00,-30.00
14:15 - 14:30,47.90,-10.00,-0.50,18.20,0.00,-19.00
14:30 - 14:45,48.86,-40.00,-0.50,18.20,0.00,15.33
14:45 - 15:00,0.00,-48.00,-0.50,17.25,0.00,13.41
15:00 - 15:15,-42.00,-45.00,-0.50,16.29,0.00,-16.00
15:15 - 15:30,-13.00,-35.00,-0.50,16.29,0.00,-13.00
15:30 - 15:45,-55.00,-28.00,-0.50,16.29,0.00,-6.00
15:45 - 16:00,-46.00,-31.00,-0.50,15.81,0.00,-96.00
16:00 - 16:15,-31.00,-56.00,-0.50,17.72,0.00,-94.00
16:15 - 16:30,-69.00,-59.00,-0.50,17.72,0.00,4.79
16:30 - 16:45,3.83,-138.00,-0.50,17.72,0.00,23.96
16:45 - 17:00,64.19,-86.00,-0.50,18.20,0.00,-20.00
17:00 - 17:15,54.61,-69.00,-0.50,22.03,0.00,23.95
17:15 - 17:30,14.37,-79.00,-0.50,22.99,0.00,86.22
17:30 - 17:45,23.95,-67.00,-0.50,23.95,0.00,-20.00
17:45 - 18:00,11.43,-70.00,-0.50,17.86,0.00,-15.00
18:00 - 18:15,29.18,32.16,-0.50,7.57,0.43,6.75
18:15 - 18:30,28.22,51.63,-0.50,4.99,0.15,10.33
18:30 - 18:45,30.08,49.27,-0.50,3.20,0.15,33.06
18:45 - 19:00,5.74,36.74,-0.50,3.83,0.26,31.89
19:00 - 19:15,19.31,56.91,-0.50,6.30,0.42,-20.00
19:15 - 19:30,12.03,56.85,-0.50,9.02,0.51,-40.00
19:30 - 19:45,2.85,49.43,-0.50,17.62,0.00,39.79
19:45 - 20:00,-17.00,-10.00,-0.50,28.40,0.00,-70.00
20:00 - 20:15,90.05,27.78,-0.50,28.74,0.00,-90.00
20:15 - 20:30,124.54,27.78,-0.50,27.78,0.00,-90.00
20:30 - 20:45,12.45,34.49,-0.50,27.78,0.00,-100.00
20:45 - 21:00,6.71,39.28,-0.50,27.78,0.00,-90.00
