Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,11.47,0.00,6.28,-35.00,0.00,0.00,9.56
00:15 - 00:30,-10.00,9.57,0.00,6.88,-36.00,0.00,0.00,11.07
00:30 - 00:45,-50.00,17.12,0.00,11.93,-36.00,0.00,0.00,-1.00
00:45 - 01:00,-63.00,16.54,0.00,13.12,-35.00,0.00,-6.00,-4.00
01:00 - 01:15,-113.00,-14.00,0.00,19.80,-36.00,0.00,-6.00,12.06
01:15 - 01:30,-68.00,-21.00,0.00,21.10,-36.00,0.00,-6.00,11.92
01:30 - 01:45,-48.00,-22.00,-0.50,23.18,-36.00,0.00,-21.20,64.73
01:45 - 02:00,-89.00,-21.00,-0.50,22.22,-35.00,0.00,0.00,75.35
02:00 - 02:15,137.17,-16.00,-0.50,22.22,-23.00,0.00,0.00,53.13
02:15 - 02:30,108.19,-13.00,-0.50,21.25,-15.00,0.00,0.00,53.13
02:30 - 02:45,19.32,0.00,-0.50,20.29,-17.00,0.00,0.00,57.96
02:45 - 03:00,-11.00,-74.00,-0.50,19.32,-17.00,0.00,0.00,-5.00
03:00 - 03:15,-18.00,0.00,-0.50,18.35,-15.00,0.00,0.00,33.81
03:15 - 03:30,-31.00,-5.00,-0.50,18.35,-21.00,0.00,0.00,62.79
03:30 - 03:45,-53.00,46.37,-0.50,18.35,-22.00,0.00,0.00,77.28
03:45 - 04:00,-48.00,0.00,-0.50,18.35,-22.00,0.00,0.00,67.62
04:00 - 04:15,-64.00,0.00,-0.50,17.39,-20.00,0.00,0.00,67.62
04:15 - 04:30,-66.00,0.00,-0.50,17.39,-21.00,0.00,0.00,79.21
04:30 - 04:45,-72.00,0.00,-0.50,17.39,-21.00,0.00,0.00,77.28
04:45 - 05:00,-74.00,19.32,-0.50,17.39,-20.00,0.00,0.00,144.90
05:00 - 05:15,-88.00,-8.00,-0.50,17.39,-21.00,0.00,0.00,89.84
05:15 - 05:30,-94.00,-17.00,-0.50,17.39,-22.00,0.00,0.00,68.58
05:30 - 05:45,-106.00,-24.00,-0.50,18.35,-23.00,0.00,0.00,32.85
05:45 - 06:00,-124.00,-25.00,-0.50,18.35,-22.00,0.00,0.00,81.15
06:00 - 06:15,-100.00,-20.00,-0.50,19.32,-18.00,0.00,0.00,77.28
06:15 - 06:30,-109.00,0.00,-0.50,19.32,-16.00,0.00,0.00,48.30
06:30 - 06:45,-107.00,-7.00,-0.50,20.29,-16.00,0.00,0.00,-6.00
