Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,52.05,144.56,1.06,-1.80,6.75,0.00,0.29,43.37
00:15 - 00:30,47.23,135.89,1.06,-1.80,6.75,0.00,0.29,28.91
00:30 - 00:45,27.95,119.50,1.06,-1.80,6.75,0.00,0.29,24.10
00:45 - 01:00,29.88,106.01,1.06,-1.80,6.75,0.00,0.29,9.64
01:00 - 01:15,15.42,87.70,1.06,-1.80,6.75,0.00,0.29,53.01
01:15 - 01:30,18.31,79.03,1.06,-1.80,6.75,0.00,0.29,38.55
01:30 - 01:45,30.84,59.76,1.06,-1.80,6.75,0.00,0.29,28.91
01:45 - 02:00,23.13,52.04,1.06,-1.80,6.75,0.00,0.29,19.28
02:00 - 02:15,18.31,0.00,1.06,-1.80,6.75,0.00,0.29,9.64
02:15 - 02:30,12.53,0.00,1.06,-1.80,6.75,0.00,0.29,-7.00
02:30 - 02:45,15.42,0.00,1.06,-1.80,6.75,0.00,0.29,0.00
02:45 - 03:00,7.71,0.00,1.06,-1.80,6.75,0.00,0.29,24.09
03:00 - 03:15,21.20,0.00,1.06,-1.80,6.75,0.00,0.29,14.46
03:15 - 03:30,27.94,0.00,1.06,-1.80,6.75,0.00,0.29,9.64
03:30 - 03:45,36.62,0.00,1.06,-1.80,6.75,0.00,0.29,4.82
03:45 - 04:00,33.73,0.00,1.06,-1.80,6.75,0.00,0.29,-5.00
04:00 - 04:15,50.11,0.00,1.06,-1.80,6.75,0.00,0.29,-5.00
04:15 - 04:30,53.00,0.00,1.06,-1.80,6.75,0.00,0.29,-10.00
04:30 - 04:45,39.51,0.00,1.06,-1.80,6.75,0.00,0.29,-20.00
04:45 - 05:00,41.44,0.00,1.06,-1.80,7.71,0.00,0.29,-20.00
05:00 - 05:15,47.23,0.00,1.06,-1.80,8.67,0.00,0.29,-10.00
05:15 - 05:30,57.83,0.00,1.06,-1.80,9.64,0.00,0.29,-10.00
05:30 - 05:45,56.86,0.00,1.06,-0.10,10.60,0.00,0.29,4.82
05:45 - 06:00,64.57,0.00,1.06,-0.10,10.60,0.00,0.29,4.82
06:00 - 06:15,62.64,0.00,1.06,-0.10,11.57,0.00,0.29,0.00
06:15 - 06:30,38.55,0.00,1.06,-0.10,12.53,0.00,0.29,-10.00
06:30 - 06:45,53.97,11.57,1.06,-0.10,13.49,0.00,0.29,-7.00
06:45 - 07:00,66.51,16.38,1.06,-0.10,13.49,0.00,0.29,0.00
07:00 - 07:15,57.83,0.00,1.06,-0.10,13.01,0.00,0.29,4.82
07:15 - 07:30,15.42,0.00,1.06,-0.10,12.53,0.00,0.29,4.82
07:30 - 07:45,-13.00,0.00,1.06,-0.10,12.53,0.00,0.29,-5.00
07:45 - 08:00,0.00,0.00,1.06,-0.10,12.53,0.00,0.29,-5.00
08:00 - 08:15,20.24,0.00,1.06,-0.10,12.05,0.00,0.29,-40.00
08:15 - 08:30,54.93,0.00,1.06,-0.10,11.57,0.00,0.29,-20.00
08:30 - 08:45,55.89,0.00,1.06,-0.10,11.57,0.00,0.29,6.75
08:45 - 09:00,63.61,0.00,1.06,-0.10,10.79,0.00,0.29,-12.00
09:00 - 09:15,50.12,0.00,1.06,-0.80,10.31,0.00,0.29,-15.00
09:15 - 09:30,9.64,0.00,1.06,-0.80,10.12,0.00,0.29,24.09
09:30 - 09:45,0.00,-11.00,1.06,-0.80,9.64,0.00,0.29,57.83
09:45 - 10:00,0.00,-11.00,1.06,-0.80,8.67,0.00,0.29,81.93
10:00 - 10:15,98.31,0.00,1.06,-0.80,8.67,0.00,0.29,-5.00
10:15 - 10:30,118.55,9.64,1.06,-6.30,8.19,0.00,0.29,-5.00
10:30 - 10:45,134.93,0.00,1.06,-6.30,7.23,0.00,0.29,-15.00
10:45 - 11:00,124.33,0.00,1.06,-6.30,6.75,0.00,0.29,-15.00
11:00 - 11:15,106.98,9.64,1.06,-6.30,6.75,0.00,0.29,-21.00
11:15 - 11:30,99.27,9.64,1.06,-6.30,6.75,0.00,0.29,-26.00
11:30 - 11:45,112.76,19.28,1.06,-6.30,6.75,0.00,0.29,-26.00
11:45 - 12:00,115.66,19.28,1.06,-6.30,6.55,0.00,0.29,-30.00
12:00 - 12:15,110.84,4.82,1.06,-6.30,6.26,-10.00,0.29,-6.00
12:15 - 12:30,114.69,4.82,1.06,-6.30,5.78,-10.00,0.29,-6.00
12:30 - 12:45,99.27,8.67,1.06,-6.30,4.82,-10.00,0.29,11.57
12:45 - 13:00,100.24,10.60,1.06,-6.30,4.82,-10.00,0.29,15.42
13:00 - 13:15,93.49,23.13,1.06,-6.30,3.86,-10.00,0.29,23.13
13:15 - 13:30,79.99,23.13,1.06,-6.30,3.86,-10.00,0.29,18.31
13:30 - 13:45,37.59,14.46,1.06,-6.30,3.86,-10.00,0.29,41.43
13:45 - 14:00,41.44,0.00,1.06,-6.30,3.37,-10.00,0.29,44.34
14:00 - 14:15,-8.00,0.00,1.06,-6.30,3.18,-10.00,0.29,61.68
14:15 - 14:30,33.73,0.00,1.06,-6.30,2.89,-10.00,0.29,54.94
14:30 - 14:45,21.20,0.00,1.06,-6.30,1.93,-10.00,0.29,53.01
14:45 - 15:00,13.49,0.00,1.06,-3.00,1.93,-10.00,0.29,46.26
15:00 - 15:15,47.22,-10.00,1.06,-0.80,2.89,-10.00,0.29,26.99
15:15 - 15:30,47.22,-42.00,1.06,-0.80,3.86,-10.00,0.29,21.20
15:30 - 15:45,0.00,0.00,1.06,-0.80,4.82,-10.00,0.29,34.70
15:45 - 16:00,0.00,0.00,1.06,-0.80,5.30,-10.00,0.29,36.62
16:00 - 16:15,-20.00,2.89,1.06,-0.80,5.98,-10.00,0.29,12.53
16:15 - 16:30,-27.00,10.60,1.06,-0.80,6.75,-10.00,0.29,-10.00
16:30 - 16:45,-14.00,0.00,1.06,-0.80,7.23,-10.00,0.29,-24.00
16:45 - 17:00,0.00,14.46,1.06,-0.80,8.67,-10.00,0.29,-27.00
17:00 - 17:15,2.89,-15.00,1.06,-0.80,9.64,-10.00,0.29,-36.00
17:15 - 17:30,16.39,0.00,1.06,-0.80,10.60,-10.00,0.29,-122.00
17:30 - 17:45,0.00,57.82,0.58,-0.80,11.57,0.00,0.00,-35.00
