Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,90.43,0.00,5.96,0.00,-45.00
00:15 - 00:30,82.74,0.00,5.48,0.00,-45.00
00:30 - 00:45,59.64,0.00,5.39,0.00,-45.00
00:45 - 01:00,76.96,0.00,5.19,0.00,-45.00
01:00 - 01:15,129.87,0.00,4.43,0.00,-45.00
01:15 - 01:30,111.59,0.00,4.33,0.00,-40.00
01:30 - 01:45,107.75,0.00,4.23,0.00,-45.00
01:45 - 02:00,96.20,0.00,4.14,0.00,-45.00
02:00 - 02:15,71.19,0.00,4.04,0.00,-45.00
02:15 - 02:30,69.27,0.00,3.94,0.00,-40.00
02:30 - 02:45,76.00,9.62,3.85,0.00,-40.00
02:45 - 03:00,76.00,9.62,3.85,0.00,-40.00
03:00 - 03:15,89.46,0.00,3.85,0.00,-55.00
03:15 - 03:30,92.35,0.00,3.85,0.00,-55.00
03:30 - 03:45,63.49,0.00,3.85,0.00,-45.00
03:45 - 04:00,67.34,0.00,3.94,0.00,-45.00
04:00 - 04:15,62.53,0.00,4.04,0.00,-45.00
04:15 - 04:30,78.88,0.00,4.62,0.00,-45.00
04:30 - 04:45,32.71,0.00,4.81,0.00,-50.00
04:45 - 05:00,51.95,0.00,5.48,0.00,-50.00
05:00 - 05:15,86.58,0.00,2.69,0.00,-40.00
05:15 - 05:30,123.13,0.00,3.08,0.00,-40.00
05:30 - 05:45,158.73,0.00,-4.50,0.00,-35.00
05:45 - 06:00,152.96,0.00,-3.00,0.00,-35.00
06:00 - 06:15,89.47,0.00,-2.00,0.00,24.05
06:15 - 06:30,56.76,0.00,-1.50,0.00,9.62
06:30 - 06:45,40.40,0.00,0.00,0.00,-30.00
06:45 - 07:00,53.88,6.73,0.96,0.00,-25.00
07:00 - 07:15,28.86,-18.00,1.92,0.00,-45.00
07:15 - 07:30,34.63,0.00,2.89,0.00,-25.00
07:30 - 07:45,53.87,0.00,4.91,0.00,-30.00
07:45 - 08:00,82.73,0.00,5.87,0.00,-30.00
08:00 - 08:15,98.12,0.00,6.35,0.00,-5.00
08:15 - 08:30,112.56,0.00,6.73,0.00,-5.00
08:30 - 08:45,56.76,-20.00,16.64,0.00,-15.00
08:45 - 09:00,45.22,-7.00,16.64,0.00,0.00
09:00 - 09:15,-14.00,-15.00,12.99,-40.00,38.48
09:15 - 09:30,-34.00,0.00,12.99,-40.00,57.72
09:30 - 09:45,-7.00,0.00,13.18,-40.00,62.53
09:45 - 10:00,9.62,0.00,13.18,-45.00,67.34
