Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,105.98,9.64,2.02,-41.00,0.00,0.00,-55.00
00:15 - 00:30,97.32,6.74,1.83,-43.00,0.00,0.00,-45.00
00:30 - 00:45,39.51,0.00,1.54,-46.00,0.00,0.00,-35.00
00:45 - 01:00,45.29,0.00,1.25,-50.00,0.00,0.00,-26.00
01:00 - 01:15,75.16,14.45,1.06,-53.00,0.00,0.00,-20.00
01:15 - 01:30,18.31,25.04,0.87,-53.00,0.00,0.00,-20.00
01:30 - 01:45,-35.00,21.20,0.58,-55.00,0.00,0.00,-6.00
01:45 - 02:00,-12.00,48.17,0.39,-55.00,0.00,0.00,17.34
02:00 - 02:15,24.09,60.70,0.10,-54.00,0.00,0.00,0.96
02:15 - 02:30,65.51,59.74,0.10,-54.00,0.00,0.00,-38.00
02:30 - 02:45,210.04,37.58,0.00,-54.00,0.00,0.00,12.53
02:45 - 03:00,231.24,35.65,0.00,-54.00,0.00,0.00,23.12
03:00 - 03:15,227.39,152.23,-2.00,-55.00,0.00,0.00,7.71
03:15 - 03:30,203.30,150.31,-2.00,-54.00,0.00,0.00,55.88
03:30 - 03:45,158.97,92.50,-2.00,-54.00,0.00,0.00,43.36
03:45 - 04:00,140.67,99.24,-2.00,-54.00,0.00,0.00,38.54
04:00 - 04:15,59.74,70.33,-3.00,-55.00,0.00,0.00,-5.00
04:15 - 04:30,44.32,73.23,-3.30,-55.00,0.00,0.00,-15.00
04:30 - 04:45,40.47,32.76,-4.70,-55.00,0.00,0.00,-26.00
04:45 - 05:00,31.80,20.23,-5.00,-55.00,0.00,0.00,-23.00
05:00 - 05:15,-16.00,-46.00,-5.20,-55.00,0.00,0.00,-39.00
05:15 - 05:30,-17.00,-44.00,-5.50,-55.00,0.00,0.00,-38.00
05:30 - 05:45,-31.00,-47.00,-5.50,-55.00,0.00,0.00,-55.00
05:45 - 06:00,-38.00,-43.00,-5.00,-55.00,0.00,0.00,-60.00
06:00 - 06:15,-74.00,22.16,4.82,-54.00,0.00,0.00,-65.00
06:15 - 06:30,-69.00,-20.00,5.78,-54.00,0.00,0.00,-68.00
06:30 - 06:45,-73.00,-36.00,5.78,-54.00,0.00,0.00,4.82
06:45 - 07:00,-97.00,-34.00,6.74,-54.00,0.00,0.00,45.29
07:00 - 07:15,-40.00,52.99,7.71,-53.00,0.00,0.00,52.99
07:15 - 07:30,-74.00,82.86,7.71,-53.00,0.00,0.00,-56.00
