Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,41.32,0.00,-2.20,6.72,0.00,0.00
00:15 - 00:30,29.78,0.00,-2.20,6.63,0.00,0.00
00:30 - 00:45,20.18,-10.00,-2.20,6.63,0.00,4.80
00:45 - 01:00,22.10,-10.00,-2.20,6.53,0.00,4.80
01:00 - 01:15,20.17,-7.00,-2.20,6.44,0.00,-10.00
01:15 - 01:30,24.02,-12.00,-2.20,6.34,0.00,-18.00
01:30 - 01:45,43.23,0.00,-2.20,6.34,0.00,-39.00
01:45 - 02:00,30.74,0.00,-2.20,6.15,0.00,-42.00
02:00 - 02:15,27.86,0.00,-2.20,6.05,0.00,-43.00
02:15 - 02:30,18.26,0.00,-2.20,6.05,0.00,-43.00
02:30 - 02:45,0.00,0.00,-2.20,6.05,0.00,-40.00
02:45 - 03:00,0.00,0.00,-2.20,6.05,0.00,-40.00
03:00 - 03:15,0.00,0.00,-2.20,6.05,0.00,-45.00
03:15 - 03:30,0.00,0.00,-2.20,6.05,0.00,-42.00
03:30 - 03:45,0.00,0.00,-2.20,6.05,0.00,-34.00
03:45 - 04:00,0.00,0.00,-2.20,6.24,0.00,-33.00
04:00 - 04:15,17.29,0.00,-2.20,6.34,0.00,-30.00
04:15 - 04:30,30.74,0.00,-2.20,6.34,0.00,-25.00
04:30 - 04:45,46.11,0.00,-2.20,6.63,0.00,-35.00
04:45 - 05:00,62.45,0.00,-2.20,6.82,0.00,-35.00
05:00 - 05:15,49.00,-5.00,-2.20,7.30,0.00,-32.00
05:15 - 05:30,54.76,-7.00,-2.20,8.17,0.00,-36.00
05:30 - 05:45,91.27,0.00,-2.20,8.55,0.00,-19.00
05:45 - 06:00,86.47,-7.00,-2.20,9.22,0.00,-23.00
06:00 - 06:15,-8.00,-23.00,-2.20,9.70,0.00,-55.00
06:15 - 06:30,-31.00,-31.00,-2.20,9.80,0.00,-70.00
06:30 - 06:45,-15.00,-5.00,-2.20,10.28,0.00,-45.00
06:45 - 07:00,-14.00,-14.00,-2.20,10.76,0.00,-35.00
07:00 - 07:15,-11.00,6.72,-2.20,11.34,0.00,-20.00
07:15 - 07:30,0.00,-15.00,-2.20,12.30,0.00,-25.00
07:30 - 07:45,15.37,4.80,-2.20,12.49,0.00,-20.00
