Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,26.02,1.06,-1.80,7.52,-15.00,0.29,-47.00
00:15 - 00:30,0.00,40.48,1.06,-1.80,7.52,-15.00,0.29,-25.00
00:30 - 00:45,-14.00,38.55,1.06,-1.80,6.75,-15.00,0.29,-15.00
00:45 - 01:00,9.64,43.36,1.06,-1.80,6.75,-15.00,0.29,-24.00
01:00 - 01:15,-7.00,33.73,1.06,-1.80,6.75,-15.00,0.29,-42.00
01:15 - 01:30,-12.00,24.09,1.06,-1.80,6.75,-15.00,0.29,-20.00
01:30 - 01:45,26.02,9.64,1.06,-1.80,6.75,-15.00,0.29,-29.00
01:45 - 02:00,57.83,9.64,1.06,-1.80,6.75,-15.00,0.29,13.49
02:00 - 02:15,54.93,0.00,1.06,-1.80,6.75,-15.00,0.29,24.10
02:15 - 02:30,61.68,0.00,1.06,-1.80,6.75,-15.00,0.29,10.60
02:30 - 02:45,82.88,0.00,1.06,-1.80,6.75,-15.00,0.29,-2.00
02:45 - 03:00,70.35,0.00,1.06,-1.80,6.75,-15.00,0.29,-16.00
03:00 - 03:15,79.03,0.00,1.06,-1.80,6.75,-15.00,0.29,8.67
03:15 - 03:30,79.03,0.00,1.06,-1.80,6.75,-15.00,0.29,40.48
03:30 - 03:45,83.85,0.00,1.06,-1.80,6.75,-15.00,0.29,48.19
03:45 - 04:00,81.92,0.00,1.06,-1.80,6.75,-15.00,0.29,41.44
04:00 - 04:15,93.48,0.00,1.06,-1.80,6.75,-15.00,0.29,40.48
04:15 - 04:30,108.91,0.00,1.06,-1.80,6.75,-15.00,0.29,35.66
04:30 - 04:45,110.83,0.00,1.06,-1.80,6.75,-15.00,0.29,32.77
04:45 - 05:00,106.98,0.00,1.06,-1.80,7.71,-15.00,0.29,31.81
05:00 - 05:15,53.01,0.00,1.06,-1.80,9.64,-15.00,0.29,48.19
05:15 - 05:30,38.55,0.00,1.06,-1.80,9.64,-15.00,0.29,79.03
05:30 - 05:45,55.90,0.00,1.06,-1.80,12.53,-15.00,0.29,41.44
05:45 - 06:00,45.30,0.00,1.06,-1.80,14.26,-15.00,0.29,-3.00
06:00 - 06:15,29.88,0.00,1.06,-1.80,14.26,-10.00,0.29,-16.00
06:15 - 06:30,24.09,0.00,1.06,-1.80,14.46,-10.00,0.29,9.64
06:30 - 06:45,40.48,0.00,1.06,-1.80,15.42,-10.00,0.29,17.35
06:45 - 07:00,36.62,0.00,1.06,-1.80,15.42,-10.00,0.29,11.57
07:00 - 07:15,22.17,0.00,1.06,-1.80,15.42,-10.00,0.29,9.64
07:15 - 07:30,13.49,0.00,1.06,-1.80,15.42,-10.00,0.29,9.64
07:30 - 07:45,6.75,0.00,1.06,-1.80,15.42,-10.00,0.29,24.09
07:45 - 08:00,19.28,0.00,1.06,-1.80,15.42,-10.00,0.29,38.55
08:00 - 08:15,54.92,11.57,1.06,-1.80,14.46,-10.00,0.29,24.10
08:15 - 08:30,57.82,11.57,1.06,-1.80,13.49,-10.00,0.29,24.10
08:30 - 08:45,34.70,0.00,1.06,-1.80,13.01,0.00,0.29,9.64
08:45 - 09:00,21.20,0.00,1.06,-1.80,12.72,0.00,0.29,33.74
09:00 - 09:15,56.87,0.00,1.06,-0.80,13.49,0.00,0.29,28.91
09:15 - 09:30,43.37,0.00,1.06,-0.80,13.78,0.00,0.29,67.47
09:30 - 09:45,45.30,10.60,1.06,-0.80,13.69,-10.00,0.29,96.38
09:45 - 10:00,44.33,10.60,1.06,-0.80,13.49,-10.00,0.29,101.21
10:00 - 10:15,39.52,0.00,1.06,-6.30,14.26,-10.00,0.29,67.47
10:15 - 10:30,27.95,-7.00,1.06,-6.30,13.30,0.00,0.29,57.82
10:30 - 10:45,0.00,0.00,1.06,-6.30,14.26,0.00,0.29,24.10
10:45 - 11:00,0.00,0.00,1.06,-6.30,15.42,0.00,0.29,57.82
11:00 - 11:15,0.00,-7.00,1.06,-6.30,12.72,0.00,0.29,-10.00
11:15 - 11:30,0.00,-5.00,1.06,-6.30,15.42,0.00,0.29,-10.00
11:30 - 11:45,15.42,-15.00,1.06,-6.30,14.46,0.00,0.29,-20.00
11:45 - 12:00,0.00,-15.00,1.06,-6.30,13.49,0.00,0.29,-20.00
12:00 - 12:15,13.50,0.00,1.06,-6.30,12.14,0.00,0.29,0.00
12:15 - 12:30,30.84,0.00,1.06,-6.30,9.64,0.00,0.29,14.46
12:30 - 12:45,27.95,0.00,1.06,-6.30,11.76,0.00,0.29,0.00
12:45 - 13:00,28.91,0.00,1.06,-6.30,14.17,0.00,0.29,0.00
13:00 - 13:15,28.91,0.00,1.06,-6.30,12.82,0.00,0.29,-35.00
13:15 - 13:30,31.81,0.00,1.06,-6.30,11.08,0.00,0.29,-50.00
13:30 - 13:45,16.38,19.28,1.06,-6.30,11.08,0.00,0.29,9.64
13:45 - 14:00,17.35,31.80,1.06,-6.30,10.60,0.00,0.29,9.64
14:00 - 14:15,14.46,0.00,1.06,-0.80,10.60,0.00,0.29,14.46
14:15 - 14:30,20.23,9.64,1.06,-0.80,9.64,0.00,0.29,9.64
14:30 - 14:45,18.31,24.10,1.06,-0.80,9.35,0.00,0.29,-30.00
14:45 - 15:00,18.31,40.48,1.06,-0.80,10.31,0.00,0.29,-20.00
15:00 - 15:15,0.00,65.54,1.06,-0.80,10.41,0.00,0.29,-25.00
15:15 - 15:30,0.00,45.30,1.06,-0.80,11.08,0.00,0.29,-25.00
15:30 - 15:45,40.48,13.49,1.06,-0.80,12.53,0.00,0.29,9.64
15:45 - 16:00,40.48,10.60,1.06,-0.80,14.26,0.00,0.29,9.64
16:00 - 16:15,32.77,88.68,1.06,-0.80,13.49,0.00,0.29,28.91
16:15 - 16:30,31.81,101.20,1.06,-0.80,13.49,0.00,0.29,28.91
16:30 - 16:45,28.91,74.21,1.06,-0.80,14.94,0.00,0.29,90.60
16:45 - 17:00,27.95,58.79,1.06,-0.80,14.17,0.00,0.29,84.81
17:00 - 17:15,26.99,57.83,1.06,-0.80,13.98,0.00,0.29,166.73
17:15 - 17:30,0.00,77.10,1.06,-0.80,13.98,0.00,0.29,55.90
17:30 - 17:45,-26.00,119.51,0.58,-0.80,14.46,0.00,0.29,-24.00
17:45 - 18:00,-53.00,115.65,0.58,-0.80,14.46,0.00,0.29,-55.00
18:00 - 18:15,-63.00,153.24,0.58,-0.80,13.88,0.00,0.29,-15.00
18:15 - 18:30,-63.00,163.84,0.58,-0.80,14.17,0.00,0.00,-18.00
18:30 - 18:45,-60.00,149.39,0.58,-0.80,14.26,0.00,0.00,-37.00
18:45 - 19:00,-39.00,153.24,0.58,-0.80,13.78,-10.00,0.00,-47.00
19:00 - 19:15,-63.00,159.99,0.58,-0.80,13.30,-10.00,0.00,-65.99
19:15 - 19:30,-16.00,174.45,0.58,-0.80,13.01,-16.00,0.29,-82.00
19:30 - 19:45,7.71,149.39,0.58,-0.80,12.43,-21.00,0.29,-11.00
19:45 - 20:00,31.81,152.27,0.58,-0.80,12.53,-26.00,0.29,-5.00
20:00 - 20:15,78.07,192.76,1.06,-0.80,12.53,-30.00,0.29,-23.00
20:15 - 20:30,37.59,187.93,1.06,-0.80,12.05,-25.00,0.29,3.86
20:30 - 20:45,0.00,163.85,1.06,-0.80,13.49,-24.00,0.29,-92.00
20:45 - 21:00,-12.00,159.99,1.06,-0.80,13.49,-22.00,0.29,-45.00
21:00 - 21:15,0.00,161.92,1.06,-0.80,12.53,-15.00,0.29,-22.00
21:15 - 21:30,0.00,152.28,1.06,-0.80,12.53,-16.00,0.29,-32.00
21:30 - 21:45,0.00,121.44,1.06,-0.80,10.89,-17.00,0.29,-35.00
21:45 - 22:00,0.00,128.19,1.06,-0.80,10.60,-14.00,0.29,-31.00
22:00 - 22:15,0.00,117.58,1.06,-1.80,10.60,-17.00,0.29,-42.00
22:15 - 22:30,0.00,116.62,1.06,-1.80,10.60,-16.00,0.29,-47.00
22:30 - 22:45,0.00,116.62,1.06,-1.80,8.67,-17.00,0.29,-30.00
22:45 - 23:00,0.00,120.48,1.06,-1.80,8.67,-18.00,0.29,-30.00
23:00 - 23:15,-23.00,119.51,1.06,-1.80,7.71,-21.00,0.29,-25.00
23:15 - 23:30,-18.00,118.55,1.06,-1.80,7.71,-23.00,0.29,-25.00
23:30 - 23:45,-29.00,110.84,1.06,-1.80,7.71,-17.00,0.29,-45.00
23:45 - 24:00,-36.00,106.98,1.06,-1.80,7.71,-16.00,0.29,-50.00
