Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,37.59,0.00,7.23,0.00,-55.00
00:15 - 00:30,40.48,0.00,7.23,0.00,-30.00
00:30 - 00:45,31.80,0.00,6.75,-19.00,-30.00
00:45 - 01:00,31.80,0.00,6.75,-19.00,-30.00
01:00 - 01:15,80.00,0.00,5.78,-10.00,4.82
01:15 - 01:30,123.37,0.00,5.78,-10.00,4.82
01:30 - 01:45,-54.00,6.75,5.78,-10.00,0.00
01:45 - 02:00,0.00,26.02,4.82,-10.00,-20.00
02:00 - 02:15,36.62,0.00,4.82,-10.00,-15.00
02:15 - 02:30,26.99,0.00,4.82,-10.00,-35.00
02:30 - 02:45,90.59,-23.00,4.34,-10.00,-35.00
02:45 - 03:00,76.14,-22.00,4.34,-10.00,-40.00
03:00 - 03:15,94.45,-27.00,4.34,-10.00,-55.00
03:15 - 03:30,123.36,-33.00,4.34,-10.00,-70.00
03:30 - 03:45,165.77,0.00,4.34,-10.00,-40.00
03:45 - 04:00,186.01,0.00,3.86,-10.00,-55.00
04:00 - 04:15,144.57,0.00,3.86,-10.00,-75.00
04:15 - 04:30,143.60,0.00,3.86,-10.00,-85.00
04:30 - 04:45,145.54,5.78,2.89,-10.00,-85.00
04:45 - 05:00,143.60,3.86,2.89,-10.00,-90.00
05:00 - 05:15,175.42,26.02,2.89,-10.00,-55.00
05:15 - 05:30,162.88,26.99,2.89,-10.00,-55.00
05:30 - 05:45,121.44,-20.00,2.89,-10.00,-70.00
05:45 - 06:00,124.33,-23.00,2.89,-10.00,-70.00
06:00 - 06:15,110.83,34.70,11.57,-10.00,0.00
06:15 - 06:30,89.63,-31.00,11.57,-10.00,-50.00
06:30 - 06:45,64.58,0.00,10.60,-10.00,-60.00
06:45 - 07:00,17.35,0.00,10.60,-10.00,-60.00
07:00 - 07:15,86.74,43.37,9.64,-10.00,-60.00
07:15 - 07:30,98.31,35.66,8.67,-10.00,-70.00
07:30 - 07:45,66.51,10.60,8.67,-10.00,-145.00
07:45 - 08:00,60.72,30.84,7.71,-10.00,-105.00
08:00 - 08:15,20.24,34.70,7.71,-10.00,-100.00
08:15 - 08:30,0.00,32.77,5.78,-10.00,-95.00
08:30 - 08:45,-22.00,43.37,12.53,-10.00,-130.00
08:45 - 09:00,-62.00,24.09,12.53,-10.00,-140.00
09:00 - 09:15,-12.00,34.69,6.75,-10.00,-70.00
09:15 - 09:30,13.49,-64.00,6.75,-10.00,-70.00
09:30 - 09:45,0.00,-14.00,6.75,-46.00,-30.00
09:45 - 10:00,0.00,-15.00,6.75,-46.00,0.00
10:00 - 10:15,44.33,-18.00,6.75,-46.00,19.28
10:15 - 10:30,38.54,-14.00,6.75,-37.00,24.10
10:30 - 10:45,76.14,-10.00,2.89,-32.00,0.00
10:45 - 11:00,83.85,0.00,1.93,-32.00,9.64
11:00 - 11:15,14.46,0.00,0.96,-29.00,47.23
11:15 - 11:30,26.99,0.00,0.00,-26.00,62.64
11:30 - 11:45,40.48,0.00,0.00,-29.00,77.10
11:45 - 12:00,47.23,0.00,0.00,-31.00,48.19
12:00 - 12:15,23.13,0.00,-4.40,-33.00,14.46
12:15 - 12:30,32.77,0.00,-4.20,-30.16,-25.00
12:30 - 12:45,0.00,0.00,-4.20,-32.14,-22.00
12:45 - 13:00,0.00,0.00,-4.20,-25.57,-41.00
13:00 - 13:15,15.42,4.82,7.71,0.00,-20.00
13:15 - 13:30,31.80,4.82,7.71,0.00,0.00
13:30 - 13:45,17.35,0.00,7.71,-15.04,34.70
13:45 - 14:00,38.55,19.28,7.71,-18.00,77.10
14:00 - 14:15,30.84,53.01,8.00,-22.00,28.91
14:15 - 14:30,60.72,67.46,8.00,-21.00,57.83
14:30 - 14:45,142.64,88.67,8.00,-20.00,67.47
14:45 - 15:00,147.46,104.09,8.19,-14.00,72.29
15:00 - 15:15,135.89,101.20,6.36,-6.00,70.36
15:15 - 15:30,136.86,111.80,6.46,-5.00,70.36
15:30 - 15:45,155.18,149.39,6.55,-6.00,86.74
15:45 - 16:00,156.14,163.85,6.65,-6.00,84.81
16:00 - 16:15,153.24,192.76,6.75,-6.00,81.92
16:15 - 16:30,143.61,195.65,6.84,-6.00,77.10
16:30 - 16:45,128.19,160.95,5.78,-7.00,48.19
16:45 - 17:00,131.08,146.49,7.71,-6.00,22.17
17:00 - 17:15,101.20,130.11,0.48,-6.00,43.37
17:15 - 17:30,124.33,149.39,0.96,-6.00,34.70
