Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,62.48,75.73,2.38,0.00,0.24,0.00,15.28
00:15 - 00:30,46.38,74.66,2.54,0.00,0.25,0.00,28.99
00:30 - 00:45,31.27,87.38,3.22,0.00,0.32,0.00,12.88
00:45 - 01:00,0.00,78.37,3.54,0.00,0.36,0.00,3.03
01:00 - 01:15,-15.00,92.75,4.60,0.00,0.49,0.00,5.58
01:15 - 01:30,-62.00,62.32,5.13,0.00,0.55,0.00,-35.00
01:30 - 01:45,-120.00,130.45,6.76,-55.00,0.68,0.00,-32.00
01:45 - 02:00,-162.00,123.69,6.76,-55.00,0.68,0.00,-53.00
02:00 - 02:15,-156.00,130.45,5.99,-55.00,0.68,0.00,15.46
02:15 - 02:30,-125.00,130.44,5.80,-55.00,0.68,0.00,8.70
02:30 - 02:45,-53.00,159.44,5.60,-55.00,0.68,0.00,16.43
02:45 - 03:00,-98.00,140.10,5.51,-55.00,0.68,0.00,16.43
03:00 - 03:15,114.99,160.41,5.41,-55.00,0.00,0.00,43.48
03:15 - 03:30,77.30,159.44,5.31,-55.00,0.00,0.00,56.05
03:30 - 03:45,102.43,173.93,5.22,-55.00,0.00,0.00,53.15
03:45 - 04:00,89.87,176.83,5.12,-55.00,0.00,0.00,52.18
04:00 - 04:15,34.79,251.23,4.83,-55.00,0.00,0.00,149.78
04:15 - 04:30,99.53,251.23,4.54,-55.00,0.00,0.00,97.60
04:30 - 04:45,117.89,227.08,4.25,-55.00,0.00,0.00,52.18
04:45 - 05:00,70.54,207.75,3.87,-55.00,0.00,0.00,37.69
05:00 - 05:15,88.90,86.97,3.38,-51.00,0.00,0.00,-16.00
05:15 - 05:30,145.91,86.97,1.93,-47.00,0.00,0.00,-6.00
05:30 - 05:45,140.11,87.93,0.97,-45.00,0.00,0.00,48.32
05:45 - 06:00,77.31,72.47,0.00,-46.00,0.00,0.00,23.19
06:00 - 06:15,88.90,67.64,0.97,-44.00,0.00,0.00,75.37
06:15 - 06:30,22.22,58.94,1.26,-42.00,0.00,0.00,48.32
06:30 - 06:45,35.75,63.78,1.45,-45.00,0.00,0.00,4.83
06:45 - 07:00,-8.00,30.92,1.55,-45.00,0.00,0.00,-21.00
07:00 - 07:15,31.88,-17.00,2.42,-48.00,0.00,0.00,-24.00
07:15 - 07:30,-6.00,-20.00,3.19,-44.00,0.00,0.00,-37.00
07:30 - 07:45,-48.00,9.66,4.25,-40.00,0.00,0.00,-67.00
07:45 - 08:00,-26.00,15.46,5.80,-38.00,0.00,0.00,-82.00
08:00 - 08:15,-44.00,48.32,1.93,-80.00,0.00,0.00,-79.00
08:15 - 08:30,-35.00,46.38,3.19,-81.00,0.00,0.00,-64.00
08:30 - 08:45,-65.00,10.63,4.54,-66.00,0.00,0.00,-62.00
08:45 - 09:00,-77.00,-52.00,5.80,-43.00,0.00,0.00,-54.00
09:00 - 09:15,-71.00,31.89,13.91,-84.00,0.00,0.00,-95.00
09:15 - 09:30,-102.00,33.82,15.17,-65.00,0.00,0.00,-102.00
09:30 - 09:45,-110.00,19.33,15.46,-73.00,0.00,0.00,-118.00
09:45 - 10:00,-114.00,-11.00,16.43,-58.00,0.00,0.00,-133.00
10:00 - 10:15,-49.00,-40.00,13.91,-46.00,0.00,0.00,-132.00
10:15 - 10:30,-52.00,0.00,14.01,-37.00,0.00,0.00,-128.00
10:30 - 10:45,9.66,70.55,17.10,-32.00,0.00,0.00,-137.00
10:45 - 11:00,4.83,67.65,17.10,-24.00,0.00,0.00,-137.00
11:00 - 11:15,-46.00,34.78,19.33,-19.00,0.00,0.00,-203.00
11:15 - 11:30,-34.00,28.99,19.33,-30.00,0.00,0.00,-191.00
11:30 - 11:45,-33.00,59.91,19.33,-25.00,0.00,0.00,-186.00
