Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-11.00,59.47,-1.50,9.78,-12.00,-4.00
00:15 - 00:30,38.37,32.61,-1.50,9.59,-12.00,-2.00
00:30 - 00:45,69.07,43.16,-1.50,9.59,-13.00,30.69
00:45 - 01:00,121.82,55.63,-1.50,9.40,-12.00,29.74
01:00 - 01:15,30.69,54.68,-1.50,9.30,-13.00,-17.00
01:15 - 01:30,-16.00,53.72,-1.50,9.11,-12.00,-15.00
01:30 - 01:45,-68.00,100.72,-1.50,8.92,-12.00,-20.00
01:45 - 02:00,-60.00,100.72,-1.50,8.92,-13.00,-18.00
02:00 - 02:15,-21.00,107.43,-1.50,8.92,-12.00,-23.00
02:15 - 02:30,-27.00,110.31,-1.50,8.92,-12.00,-23.00
02:30 - 02:45,-30.00,135.25,-1.50,8.92,-13.00,-22.00
02:45 - 03:00,-31.00,129.49,-1.50,8.92,-12.00,-22.00
03:00 - 03:15,23.02,151.55,-1.50,8.92,-13.00,-19.00
03:15 - 03:30,23.02,148.68,-1.50,8.92,-12.00,-19.00
03:30 - 03:45,5.76,159.22,-1.50,8.92,-12.00,-13.00
03:45 - 04:00,5.76,158.27,-1.50,9.11,-12.00,-13.00
04:00 - 04:15,-39.00,125.65,-1.50,9.40,-13.00,3.84
04:15 - 04:30,-37.00,129.49,-1.50,9.78,-12.00,4.80
04:30 - 04:45,26.86,61.39,-1.50,10.36,-12.00,-14.00
04:45 - 05:00,26.86,60.42,-1.50,10.65,-12.00,-14.00
05:00 - 05:15,-98.00,67.15,-1.50,11.22,-12.00,-35.00
05:15 - 05:30,-37.00,122.78,-1.50,12.28,-13.00,-93.00
05:30 - 05:45,-35.00,60.57,-1.50,13.05,-12.00,-142.00
05:45 - 06:00,-26.00,116.06,-1.50,14.10,-13.00,-2.00
06:00 - 06:15,-239.00,140.04,-1.50,14.58,0.00,0.00
06:15 - 06:30,-257.00,137.17,-1.50,15.06,0.00,-8.00
06:30 - 06:45,-276.00,124.69,-1.50,16.02,0.00,-2.00
06:45 - 07:00,-231.00,120.86,-1.50,16.79,0.00,-3.00
07:00 - 07:15,-202.00,118.94,-1.50,17.55,0.00,-5.00
07:15 - 07:30,-166.00,129.49,-1.50,18.32,0.00,-10.00
07:30 - 07:45,-69.00,129.49,-1.50,19.47,0.00,-2.00
07:45 - 08:00,-44.00,53.71,-1.50,19.76,0.00,-108.00
08:00 - 08:15,-53.00,84.41,-1.50,19.95,0.00,-145.00
08:15 - 08:30,0.00,96.87,-1.50,20.34,0.00,-45.00
08:30 - 08:45,78.65,50.84,-1.50,20.34,0.00,-49.00
08:45 - 09:00,79.61,74.82,-1.50,19.86,0.00,-34.00
09:00 - 09:15,58.51,143.88,-1.50,20.14,-14.00,-23.00
09:15 - 09:30,61.39,103.59,-1.50,20.05,-14.00,-16.00
09:30 - 09:45,18.22,175.53,-1.50,19.86,-14.00,2.88
09:45 - 10:00,40.29,119.90,-1.50,19.76,-14.00,0.96
10:00 - 10:15,86.33,164.98,-1.00,18.99,-14.00,17.27
10:15 - 10:30,73.86,164.03,-1.00,18.03,-14.00,19.18
10:30 - 10:45,74.82,152.51,-1.00,17.84,-14.00,4.80
10:45 - 11:00,67.14,153.47,-1.00,17.46,-14.00,3.84
11:00 - 11:15,46.04,118.94,-1.00,16.98,-13.00,-5.00
11:15 - 11:30,31.65,99.76,-1.00,16.40,-13.00,-14.00
11:30 - 11:45,88.25,115.10,-1.00,15.54,-14.00,-20.00
11:45 - 12:00,73.86,115.11,-1.00,15.44,-14.00,19.18
12:00 - 12:15,49.88,175.54,-1.00,14.77,-14.00,43.16
12:15 - 12:30,32.61,185.14,-1.00,14.00,-13.00,67.14
12:30 - 12:45,18.22,196.64,-1.00,13.81,-14.00,52.76
12:45 - 13:00,-10.00,200.47,-1.00,13.24,-14.00,9.59
13:00 - 13:15,-40.00,190.88,-1.00,13.91,-13.00,-25.00
13:15 - 13:30,-47.00,188.96,-1.00,13.62,-14.00,-25.00
13:30 - 13:45,-58.00,198.55,-1.00,12.95,-14.00,-25.00
13:45 - 14:00,-59.00,196.63,-1.00,12.76,-13.00,-40.00
14:00 - 14:15,-54.00,206.23,-1.00,12.18,-14.00,-45.00
14:15 - 14:30,-54.00,211.98,-1.00,11.51,-14.00,-30.00
14:30 - 14:45,-61.00,201.43,-1.00,11.51,-14.00,-20.00
14:45 - 15:00,-59.00,206.23,-1.00,11.32,-14.00,-25.00
15:00 - 15:15,-21.00,203.35,-1.00,11.32,-14.00,-40.00
15:15 - 15:30,-23.00,205.27,-1.00,11.61,-14.00,-50.00
15:30 - 15:45,12.47,211.02,-1.00,11.80,-6.00,-40.00
15:45 - 16:00,4.80,208.14,-1.00,11.80,-6.00,-40.00
16:00 - 16:15,3.84,207.18,-1.00,12.47,-6.00,-70.00
16:15 - 16:30,-17.00,188.96,-1.00,12.95,-6.00,-80.00
16:30 - 16:45,-20.00,230.21,-1.00,13.43,-6.00,-22.00
16:45 - 17:00,23.02,241.72,-1.00,13.43,-6.00,-12.00
17:00 - 17:15,63.31,156.35,-1.00,13.81,-6.00,-10.00
17:15 - 17:30,88.25,155.39,-1.00,13.81,-6.00,-15.00
17:30 - 17:45,70.02,115.11,-1.00,14.10,-11.00,22.06
17:45 - 18:00,92.08,112.22,-1.00,14.39,-8.00,27.82
18:00 - 18:15,65.23,106.46,-1.00,14.39,0.00,40.29
18:15 - 18:30,62.35,148.67,-1.00,15.54,0.00,4.80
18:30 - 18:45,40.29,177.45,-1.00,17.07,0.00,-59.00
18:45 - 19:00,36.54,233.80,-1.00,16.99,0.00,57.54
19:00 - 19:15,49.53,195.54,-1.00,11.99,0.00,52.14
19:15 - 19:30,52.41,177.82,-1.00,11.23,0.00,49.92
19:30 - 19:45,70.78,254.49,-1.00,14.31,0.00,79.53
19:45 - 20:00,70.98,297.35,-1.00,17.27,0.00,95.92
20:00 - 20:15,70.98,238.84,-1.00,16.79,0.00,57.55
20:15 - 20:30,69.06,195.68,-1.00,16.79,0.00,-45.00
20:30 - 20:45,43.16,178.41,-1.00,16.31,0.00,0.00
20:45 - 21:00,33.57,169.78,-1.00,15.92,0.00,0.00
21:00 - 21:15,-67.00,142.92,-1.00,15.35,-6.00,-14.00
21:15 - 21:30,-8.00,211.02,-1.00,14.39,-6.00,-10.00
21:30 - 21:45,81.53,225.42,-1.00,13.91,-6.00,103.59
21:45 - 22:00,30.69,230.21,-1.00,12.76,-6.00,81.53
22:00 - 22:15,52.76,263.78,-1.00,12.47,-6.00,-65.00
22:15 - 22:30,63.31,255.14,-1.00,11.51,-6.00,-30.00
22:30 - 22:45,100.72,271.45,-1.00,10.55,-6.00,-4.00
22:45 - 23:00,3.84,212.94,-1.00,9.59,-10.00,13.43
23:00 - 23:15,32.61,141.01,-1.00,9.11,-11.00,21.10
23:15 - 23:30,66.18,132.38,-1.00,8.63,-12.00,21.10
23:30 - 23:45,55.63,100.72,-1.00,8.44,-12.00,33.57
23:45 - 24:00,51.80,86.33,-1.00,8.15,-12.00,33.57
