Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,107.16,17.38,1.06,-1.80,6.76,0.00,0.29,86.90
00:15 - 00:30,95.59,17.38,1.06,-1.80,6.76,0.00,0.29,72.41
00:30 - 00:45,28.00,0.00,1.06,-1.80,6.76,0.00,0.29,96.55
00:45 - 01:00,37.65,0.00,1.06,-1.80,5.79,0.00,0.29,86.90
01:00 - 01:15,65.65,0.00,1.06,-1.80,5.79,0.00,0.29,106.21
01:15 - 01:30,63.72,0.00,1.06,-1.80,5.79,0.00,0.29,82.08
01:30 - 01:45,96.55,22.21,1.06,-1.80,5.79,0.00,0.29,43.45
01:45 - 02:00,95.59,25.10,1.06,-1.80,5.79,0.00,0.29,48.28
02:00 - 02:15,34.76,0.00,1.06,-1.80,4.83,0.00,0.29,43.44
02:15 - 02:30,22.21,0.00,1.06,-1.80,4.83,0.00,0.29,38.62
02:30 - 02:45,39.58,0.00,1.06,-2.00,4.83,0.00,0.29,24.14
02:45 - 03:00,61.79,-13.00,1.06,-2.00,4.83,0.00,0.29,24.14
03:00 - 03:15,80.13,-14.00,1.06,-2.00,4.83,0.00,0.29,28.97
03:15 - 03:30,78.20,-6.00,1.06,-2.00,4.83,0.00,0.29,28.97
03:30 - 03:45,81.10,-5.00,1.06,-2.00,5.31,0.00,0.29,28.97
03:45 - 04:00,83.03,0.00,1.06,-2.00,5.31,0.00,0.29,24.14
04:00 - 04:15,88.83,0.00,1.06,-2.00,5.50,0.00,0.29,24.14
04:15 - 04:30,90.76,0.00,1.06,-2.00,5.79,0.00,0.29,19.31
04:30 - 04:45,110.07,0.00,1.06,-2.00,5.79,0.00,0.29,19.31
04:45 - 05:00,111.03,0.00,1.06,-2.00,6.18,0.00,0.29,19.31
05:00 - 05:15,77.24,0.00,1.06,-2.00,6.76,0.00,0.29,19.31
05:15 - 05:30,62.76,0.00,1.06,-2.00,8.69,0.00,0.29,19.31
05:30 - 05:45,87.87,0.00,1.06,-2.00,9.94,0.00,0.29,0.00
05:45 - 06:00,92.69,0.00,1.06,-2.00,11.39,0.00,0.29,0.00
06:00 - 06:15,84.00,0.00,1.06,-2.00,12.26,0.00,0.29,0.00
06:15 - 06:30,123.59,0.00,1.06,-2.00,13.90,0.00,0.29,0.00
06:30 - 06:45,126.49,0.00,1.06,-2.00,14.48,0.00,0.00,0.00
06:45 - 07:00,80.14,0.00,1.06,-2.00,14.19,0.00,0.00,0.00
