Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,138.07,158.34,1.06,-1.50,7.34,0.00,0.29,74.34
00:15 - 00:30,121.65,159.31,1.06,-1.50,7.34,0.00,0.29,0.00
00:30 - 00:45,133.24,169.93,1.06,-1.50,7.14,0.00,0.29,-8.00
00:45 - 01:00,127.45,149.65,1.06,-1.50,6.86,0.00,0.29,14.48
01:00 - 01:15,117.79,151.58,1.06,-1.50,6.57,0.00,0.29,19.31
01:15 - 01:30,112.96,138.07,1.06,-1.50,6.37,0.00,0.29,19.31
01:30 - 01:45,134.21,127.45,1.06,-1.50,6.37,0.00,0.29,31.86
01:45 - 02:00,129.38,134.20,1.06,-1.50,6.47,0.00,0.29,28.97
02:00 - 02:15,129.36,9.66,1.06,-1.50,6.57,0.00,0.29,48.28
02:15 - 02:30,123.57,9.66,1.06,-1.50,6.57,0.00,0.29,48.28
02:30 - 02:45,130.33,9.66,1.06,-1.50,6.57,0.00,0.29,26.07
02:45 - 03:00,134.20,9.66,1.06,-1.50,6.57,0.00,0.29,25.10
03:00 - 03:15,125.50,11.59,1.06,-1.50,6.57,0.00,0.29,22.21
03:15 - 03:30,123.58,11.59,1.06,-1.50,6.57,0.00,0.29,12.55
03:30 - 03:45,145.79,16.41,1.06,-1.50,6.57,0.00,0.29,3.86
03:45 - 04:00,154.48,18.34,1.06,-1.50,6.57,0.00,0.29,25.10
04:00 - 04:15,152.55,16.41,1.06,-0.10,6.57,0.00,0.29,4.83
04:15 - 04:30,142.90,16.41,1.06,-0.10,6.76,0.00,0.29,-2.00
04:30 - 04:45,161.25,16.41,1.06,-0.10,6.95,0.00,0.29,-5.00
04:45 - 05:00,159.31,15.45,1.06,-0.10,7.14,0.00,0.29,-8.00
05:00 - 05:15,129.37,15.45,1.06,-0.10,7.63,0.00,0.29,4.83
05:15 - 05:30,132.27,16.41,1.06,-0.10,8.11,0.00,0.29,9.66
05:30 - 05:45,104.28,0.00,1.06,-0.10,8.30,0.00,0.29,10.62
05:45 - 06:00,53.11,0.00,1.06,-0.10,8.88,0.00,0.29,12.55
06:00 - 06:15,-16.00,0.00,1.06,-0.10,9.37,0.00,0.29,0.00
06:15 - 06:30,-45.00,0.00,1.06,-0.10,9.37,0.00,0.29,-25.00
06:30 - 06:45,-95.00,25.11,1.06,-0.10,9.75,0.00,0.29,-31.00
06:45 - 07:00,-34.00,45.38,1.06,-0.10,9.46,0.00,0.29,-9.00
07:00 - 07:15,-12.00,66.62,1.06,-0.10,9.17,0.00,0.29,-60.00
07:15 - 07:30,-12.00,56.97,1.06,-0.10,8.88,0.00,0.29,-70.00
07:30 - 07:45,0.00,34.76,1.06,-0.10,8.69,0.00,0.29,-105.00
07:45 - 08:00,31.87,23.17,1.06,-0.10,8.40,0.00,0.29,-100.00
08:00 - 08:15,43.45,11.59,1.06,-0.10,7.82,0.00,0.29,-100.00
08:15 - 08:30,55.03,9.66,1.06,-0.10,7.43,0.00,0.29,-100.00
08:30 - 08:45,45.38,0.00,1.06,-0.10,6.95,0.00,0.29,-90.00
08:45 - 09:00,-27.00,0.00,1.06,-0.10,6.57,0.00,0.29,-105.00
09:00 - 09:15,-33.00,0.00,1.06,-0.10,6.37,0.00,0.29,-55.00
09:15 - 09:30,7.73,0.00,1.06,-0.10,5.79,0.00,0.29,-55.00
09:30 - 09:45,-3.00,0.00,1.06,-0.10,5.31,0.00,0.29,-25.00
09:45 - 10:00,-20.00,0.00,1.06,-0.10,4.93,0.00,0.29,-40.00
10:00 - 10:15,-105.00,0.00,1.06,-0.10,4.44,0.00,0.29,-50.00
10:15 - 10:30,-93.00,0.00,1.06,-0.10,3.96,0.00,0.29,-58.00
10:30 - 10:45,-32.00,0.00,1.06,-0.10,3.48,0.00,0.29,-65.00
10:45 - 11:00,-5.00,0.00,1.06,-0.10,2.80,0.00,0.29,-75.00
11:00 - 11:15,-1.00,0.00,1.06,-0.10,2.42,0.00,0.29,-60.00
11:15 - 11:30,25.11,0.00,1.06,-0.10,2.22,0.00,0.29,-55.00
11:30 - 11:45,-16.00,0.00,1.06,-0.10,0.19,0.00,0.29,-50.00
11:45 - 12:00,-5.00,0.00,1.06,-0.10,0.19,0.00,0.29,-45.00
12:00 - 12:15,28.00,0.00,1.06,-0.10,0.10,0.00,0.29,-25.00
12:15 - 12:30,14.48,0.00,1.06,-0.10,0.68,0.00,0.29,-45.00
12:30 - 12:45,43.45,0.00,1.06,0.00,2.90,0.00,0.29,-30.00
12:45 - 13:00,47.31,0.00,1.06,-0.05,5.50,0.00,0.29,-25.00
13:00 - 13:15,63.73,0.00,1.06,0.00,1.93,0.00,0.29,0.00
13:15 - 13:30,62.76,-20.00,1.06,0.00,0.48,0.00,0.29,0.00
