Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-40.00,31.81,0.67,-1.80,8.68,0.00,0.00,0.29,-59.00
00:15 - 00:30,-20.00,27.96,0.67,-1.80,8.48,0.00,0.00,0.29,-67.00
00:30 - 00:45,2.89,9.65,0.67,-1.80,8.29,0.00,0.00,0.29,-95.00
00:45 - 01:00,71.34,9.64,0.67,-1.80,8.29,0.00,0.00,0.29,-110.00
01:00 - 01:15,78.09,0.00,0.67,-1.80,8.29,0.00,0.00,0.29,-121.00
01:15 - 01:30,73.27,0.00,0.67,-1.80,8.19,0.00,0.00,0.29,-118.00
01:30 - 01:45,68.45,0.00,0.67,-1.80,8.19,0.00,0.00,0.29,-132.00
01:45 - 02:00,33.75,0.00,0.67,-1.80,8.19,0.00,0.00,0.29,-137.00
02:00 - 02:15,30.86,-16.00,0.67,-1.80,8.19,0.00,0.00,0.29,-136.00
02:15 - 02:30,29.89,-12.00,0.67,-1.80,8.10,0.00,0.00,0.29,-133.00
02:30 - 02:45,16.39,-28.00,0.67,-1.80,8.00,0.00,0.00,0.29,-37.00
02:45 - 03:00,12.54,-31.00,0.67,-1.80,8.00,0.00,0.00,0.29,-50.00
03:00 - 03:15,18.32,-48.00,0.67,-1.80,8.00,0.00,0.00,0.29,-15.00
03:15 - 03:30,15.43,-59.00,0.67,-1.80,8.00,0.00,0.00,0.29,-25.00
03:30 - 03:45,48.21,-66.00,0.67,-1.80,8.00,0.00,0.00,0.29,-24.00
03:45 - 04:00,88.69,-60.00,0.67,-1.80,8.00,0.00,0.00,0.29,-35.00
04:00 - 04:15,113.75,-58.00,0.67,-1.80,8.10,0.00,1.54,0.29,-50.00
04:15 - 04:30,111.83,-59.00,0.67,-1.80,8.58,0.00,1.54,0.29,-56.00
04:30 - 04:45,115.68,-50.00,0.67,-1.80,9.45,0.00,1.54,0.29,-60.00
04:45 - 05:00,111.83,-51.00,0.67,-1.80,9.45,0.00,1.54,0.29,-62.00
05:00 - 05:15,104.12,-48.00,0.67,-1.80,10.22,0.00,1.54,0.29,-57.00
05:15 - 05:30,110.86,-46.00,0.67,-1.80,11.09,0.00,1.54,0.29,-48.00
05:30 - 05:45,146.53,-54.00,0.67,-1.80,12.05,0.00,1.54,0.29,-45.00
05:45 - 06:00,158.11,-50.00,0.67,-1.80,13.30,0.00,1.54,0.29,-60.00
