Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,30.69,0.00,0.00,-1.80,6.72,0.00,-40.00
00:15 - 00:30,16.30,0.00,0.00,-1.80,6.72,0.00,-15.00
00:30 - 00:45,44.13,0.00,0.00,-1.80,6.33,0.00,9.59
00:45 - 01:00,62.36,0.00,0.00,-1.80,6.04,0.00,14.39
01:00 - 01:15,70.04,0.00,0.00,-1.80,6.04,0.00,9.59
01:15 - 01:30,76.74,0.00,0.00,-1.80,5.76,0.00,9.59
01:30 - 01:45,76.74,0.00,0.00,-1.80,5.76,0.00,9.59
01:45 - 02:00,77.70,0.00,0.00,-1.80,5.76,0.00,9.59
02:00 - 02:15,70.99,0.00,0.00,-1.80,5.76,0.00,9.59
02:15 - 02:30,70.99,0.00,0.00,-1.80,5.76,0.00,9.59
02:30 - 02:45,51.80,0.00,0.00,-1.80,5.76,0.00,9.59
02:45 - 03:00,24.94,0.00,0.00,-1.80,5.76,0.00,9.59
03:00 - 03:15,33.57,-8.00,0.00,-1.80,5.76,0.00,0.00
03:15 - 03:30,29.73,-12.00,0.00,-1.80,5.76,0.00,0.00
03:30 - 03:45,46.04,-10.00,0.00,-1.80,5.76,0.00,0.00
03:45 - 04:00,74.82,0.00,0.00,-1.80,5.76,0.00,0.00
04:00 - 04:15,75.78,0.00,0.00,-1.80,6.14,0.00,0.00
04:15 - 04:30,76.74,0.00,0.00,-1.80,6.14,0.00,0.00
04:30 - 04:45,24.94,0.00,0.00,-1.80,6.72,0.00,0.00
04:45 - 05:00,-13.00,9.59,0.00,-1.80,7.77,0.00,-30.00
05:00 - 05:15,0.00,0.00,0.00,-1.80,6.33,0.00,-10.00
05:15 - 05:30,0.00,0.00,0.00,-1.80,7.29,0.00,0.00
05:30 - 05:45,19.19,0.00,0.00,-1.80,0.00,0.00,0.00
05:45 - 06:00,38.37,0.00,0.00,-1.80,0.00,0.00,0.00
06:00 - 06:15,29.74,3.84,0.00,-1.80,0.00,0.00,-30.00
06:15 - 06:30,29.74,0.00,0.00,-1.80,0.00,0.00,-40.00
06:30 - 06:45,34.53,0.00,0.00,-1.80,0.96,0.00,-60.00
06:45 - 07:00,33.58,23.98,0.00,-1.80,1.92,0.00,-70.00
07:00 - 07:15,27.82,45.09,0.00,-1.80,1.92,0.00,-75.00
07:15 - 07:30,38.37,55.64,0.00,-1.80,2.88,0.00,-75.00
07:30 - 07:45,32.62,43.16,0.00,-1.80,3.84,0.00,-80.00
07:45 - 08:00,58.51,46.05,0.00,-1.80,3.84,0.00,-80.00
08:00 - 08:15,85.37,47.01,0.00,-1.80,5.76,0.00,-75.00
08:15 - 08:30,77.70,51.80,0.00,-1.80,5.76,0.00,-60.00
08:30 - 08:45,76.74,45.09,0.00,-1.80,14.39,0.10,-55.00
08:45 - 09:00,86.34,36.45,0.00,-1.80,14.39,0.00,-55.00
09:00 - 09:15,95.93,23.98,0.00,-1.50,11.51,0.00,-20.00
09:15 - 09:30,125.67,30.70,0.00,-1.50,9.59,0.00,-10.00
09:30 - 09:45,167.87,31.66,0.00,-1.50,9.59,0.00,33.58
09:45 - 10:00,165.96,24.94,0.00,-1.50,8.63,0.00,0.00
10:00 - 10:15,117.99,20.15,0.00,-1.50,7.67,0.00,-40.00
10:15 - 10:30,77.69,18.23,0.00,-1.50,6.72,0.00,28.78
10:30 - 10:45,72.90,33.58,0.00,-1.50,6.72,0.00,28.78
10:45 - 11:00,38.37,30.70,0.00,-1.50,6.72,0.00,38.37
11:00 - 11:15,46.05,23.98,0.00,-1.50,6.72,0.00,34.53
11:15 - 11:30,56.60,23.02,0.00,-1.50,6.72,0.00,28.78
11:30 - 11:45,29.75,0.00,0.00,-1.50,7.67,0.00,23.98
11:45 - 12:00,68.11,0.00,0.00,-1.50,7.67,0.00,29.74
12:00 - 12:15,75.79,0.00,0.00,-1.50,7.67,0.00,38.37
12:15 - 12:30,133.35,0.00,0.00,-1.50,7.67,0.00,38.37
12:30 - 12:45,106.48,0.00,0.00,-1.50,7.67,0.00,20.15
12:45 - 13:00,100.73,0.00,0.00,-1.50,7.67,0.00,18.23
13:00 - 13:15,60.44,7.67,0.00,-1.50,6.72,0.00,-39.00
13:15 - 13:30,47.01,7.67,0.00,-1.50,6.72,0.00,-22.00
13:30 - 13:45,46.04,0.00,0.00,-1.50,5.76,0.00,33.58
13:45 - 14:00,34.53,0.00,0.00,-1.50,5.76,0.00,36.45
14:00 - 14:15,57.55,0.00,0.00,-1.50,5.76,0.00,57.56
14:15 - 14:30,57.56,0.00,0.00,-1.50,5.76,0.00,52.76
14:30 - 14:45,50.84,4.80,0.00,-1.50,4.80,0.00,56.59
14:45 - 15:00,49.88,4.80,0.00,-1.50,4.80,0.00,38.37
15:00 - 15:15,61.39,13.43,0.00,-1.50,3.84,0.00,44.13
15:15 - 15:30,5.76,14.39,0.00,-1.50,3.84,0.00,46.04
15:30 - 15:45,2.88,24.94,0.00,-1.50,3.84,0.10,63.31
15:45 - 16:00,-24.00,20.15,0.00,-1.50,4.80,0.00,46.04
16:00 - 16:15,-30.00,19.19,0.48,-1.50,6.72,0.00,48.92
16:15 - 16:30,-11.00,22.06,0.48,-1.50,6.72,0.00,100.73
16:30 - 16:45,9.59,56.59,0.48,-1.50,6.72,0.00,33.58
16:45 - 17:00,23.02,94.02,0.48,-1.50,7.67,0.00,14.39
17:00 - 17:15,8.63,38.37,0.48,-1.50,6.72,0.00,-92.00
17:15 - 17:30,18.23,63.31,0.48,-1.50,7.67,0.00,-134.00
17:30 - 17:45,74.83,67.15,0.48,-1.50,9.59,0.00,-149.00
17:45 - 18:00,58.52,67.15,0.48,-1.50,10.55,0.00,-161.00
18:00 - 18:15,176.57,0.00,0.30,-1.50,7.19,0.12,-174.00
18:15 - 18:30,145.01,0.00,0.26,-1.50,6.73,0.21,-143.00
18:30 - 18:45,270.09,-16.00,0.32,-1.50,7.66,0.00,-176.00
18:45 - 19:00,333.84,-40.00,0.48,-1.50,11.51,0.00,-187.00
