Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,66.21,9.60,-1.50,0.96,-4.00
00:15 - 00:30,61.41,5.76,-1.50,0.96,-16.00
00:30 - 00:45,59.49,2.88,-1.50,0.77,-19.00
00:45 - 01:00,57.58,-15.00,-1.50,0.48,-27.00
01:00 - 01:15,58.53,-5.00,-1.50,0.48,4.80
01:15 - 01:30,57.58,0.00,-1.50,0.00,-5.00
01:30 - 01:45,66.21,0.00,-1.50,0.00,25.91
01:45 - 02:00,21.11,0.00,-1.50,0.00,16.31
02:00 - 02:15,1.92,0.00,-1.50,0.00,19.19
02:15 - 02:30,50.86,0.00,-1.50,0.00,15.35
02:30 - 02:45,67.17,0.00,-1.50,0.00,0.00
02:45 - 03:00,68.13,0.00,-1.50,0.00,-5.00
03:00 - 03:15,59.50,0.00,-1.50,0.00,0.00
03:15 - 03:30,67.17,0.00,-1.50,0.00,0.00
03:30 - 03:45,68.13,43.18,-1.50,0.00,10.56
03:45 - 04:00,68.13,43.18,-1.50,0.00,-7.00
04:00 - 04:15,84.45,20.15,-1.50,0.00,-10.00
04:15 - 04:30,88.28,20.15,-1.50,0.96,4.80
04:30 - 04:45,94.04,13.43,-1.50,0.96,0.96
04:45 - 05:00,94.04,12.47,-1.50,1.92,4.80
05:00 - 05:15,54.70,13.43,-1.50,1.92,-10.00
05:15 - 05:30,56.62,13.43,-1.50,2.88,-35.00
05:30 - 05:45,85.40,7.68,-1.50,3.84,-5.00
05:45 - 06:00,86.36,7.68,-1.50,4.32,-5.00
06:00 - 06:15,74.84,0.00,-1.50,5.57,-18.00
06:15 - 06:30,66.21,0.00,-1.50,5.76,-23.00
06:30 - 06:45,-20.00,-8.00,-1.50,6.72,-31.00
06:45 - 07:00,-14.00,-17.00,-1.50,7.68,-24.00
07:00 - 07:15,-46.00,-23.00,-1.50,8.16,-70.00
07:15 - 07:30,-12.00,-22.00,-1.50,8.64,-90.00
07:30 - 07:45,0.00,0.00,-1.50,9.60,-72.00
07:45 - 08:00,15.35,0.00,-1.50,9.60,-70.00
08:00 - 08:15,19.19,0.00,-1.50,8.25,-75.00
08:15 - 08:30,-18.00,0.00,-1.50,7.68,-61.00
08:30 - 08:45,0.00,0.00,-1.50,6.72,-71.00
08:45 - 09:00,0.00,0.00,-1.50,6.72,-80.00
09:00 - 09:15,27.83,0.00,-0.50,5.76,-30.00
09:15 - 09:30,22.07,0.00,-0.50,5.57,0.00
09:30 - 09:45,0.00,0.00,-0.50,5.28,9.59
09:45 - 10:00,0.00,0.00,-0.50,4.80,-15.00
10:00 - 10:15,-11.00,0.00,-0.50,3.65,-5.00
10:15 - 10:30,-10.00,0.00,-0.50,2.88,-5.00
10:30 - 10:45,-17.00,16.31,-0.50,2.69,-20.00
10:45 - 11:00,-15.00,14.39,-0.50,2.40,-5.00
11:00 - 11:15,22.07,0.00,-0.50,2.40,9.60
11:15 - 11:30,43.18,0.00,-0.50,1.92,11.52
11:30 - 11:45,71.01,0.00,-0.50,1.44,14.39
11:45 - 12:00,64.30,0.00,-0.50,0.96,14.39
12:00 - 12:15,75.81,-35.00,-0.50,1.82,23.99
12:15 - 12:30,59.50,-37.00,-0.50,1.44,19.19
12:30 - 12:45,32.63,-26.00,-0.50,1.34,28.79
12:45 - 13:00,24.95,-28.00,-0.50,1.34,38.39
13:00 - 13:15,0.00,0.00,-0.50,1.34,19.20
13:15 - 13:30,0.00,0.00,-0.50,0.86,23.99
13:30 - 13:45,0.00,9.60,-0.50,0.86,28.79
13:45 - 14:00,14.39,9.60,-0.50,0.96,52.78
14:00 - 14:15,19.19,0.00,-0.50,0.96,47.98
14:15 - 14:30,42.22,0.00,-0.50,0.96,23.99
14:30 - 14:45,45.11,0.00,-0.50,1.34,19.19
14:45 - 15:00,39.34,0.00,-0.50,1.73,-15.00
15:00 - 15:15,0.00,0.00,-0.50,2.11,-25.00
15:15 - 15:30,0.00,0.00,-0.50,2.88,-25.00
15:30 - 15:45,11.52,-18.00,-0.50,3.45,-15.00
15:45 - 16:00,9.60,-25.00,-0.50,4.51,-15.00
16:00 - 16:15,0.00,-17.00,-0.50,5.57,-115.00
16:15 - 16:30,0.00,-23.00,-0.50,6.14,4.80
16:30 - 16:45,0.00,-18.00,-0.50,6.91,9.60
16:45 - 17:00,19.19,-4.00,-0.50,7.58,4.80
17:00 - 17:15,69.09,-39.00,-0.50,8.35,-10.00
17:15 - 17:30,69.09,-14.00,-0.50,9.12,0.00
17:30 - 17:45,12.43,-35.00,-0.50,7.46,-60.00
17:45 - 18:00,19.67,-25.00,-0.50,7.66,-60.00
18:00 - 18:15,-29.00,37.38,-0.50,6.79,-70.00
18:15 - 18:30,-12.00,39.10,-0.50,7.10,-70.00
18:30 - 18:45,0.00,27.45,-0.50,8.40,-55.00
18:45 - 19:00,0.00,18.66,-0.50,9.70,-65.00
19:00 - 19:15,0.00,0.00,-0.50,9.50,-100.00
19:15 - 19:30,0.00,0.00,-0.50,8.92,-40.00
19:30 - 19:45,-23.00,0.00,-0.50,8.73,0.00
19:45 - 20:00,-22.00,0.00,-0.50,8.25,-10.00
20:00 - 20:15,47.97,9.60,-0.50,7.87,0.00
20:15 - 20:30,54.69,0.00,-0.50,7.68,28.79
20:30 - 20:45,45.10,0.00,-0.50,7.20,19.19
20:45 - 21:00,30.71,0.00,-0.50,6.72,38.38
21:00 - 21:15,48.94,0.00,-0.50,6.33,0.00
21:15 - 21:30,65.25,0.00,-0.50,5.57,0.00
21:30 - 21:45,43.18,0.00,-0.50,4.99,0.00
21:45 - 22:00,53.74,0.00,-0.50,4.22,0.00
22:00 - 22:15,75.81,12.47,-1.50,3.55,-10.00
22:15 - 22:30,81.56,9.60,-1.50,3.36,47.98
22:30 - 22:45,62.37,4.80,-1.50,2.78,-15.00
22:45 - 23:00,66.21,6.72,-1.50,2.40,-13.00
23:00 - 23:15,80.61,4.80,-1.50,2.11,-8.00
23:15 - 23:30,87.32,4.80,-1.50,1.63,29.75
