Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-52.00,0.00,2.71,-63.00,-150.00
00:15 - 00:30,-52.00,9.67,2.71,-62.00,-100.00
00:30 - 00:45,-89.00,0.00,2.71,-60.00,-41.00
00:45 - 01:00,-12.00,10.64,2.71,-57.00,7.74
01:00 - 01:15,131.58,1.93,0.00,-58.00,5.80
01:15 - 01:30,208.00,-30.00,0.00,-62.00,1.93
01:30 - 01:45,191.54,-40.00,0.00,-31.00,11.61
01:45 - 02:00,199.28,-20.00,0.00,-32.00,0.97
02:00 - 02:15,159.62,-25.00,0.00,-31.00,-24.00
02:15 - 02:30,140.27,-25.00,0.00,-36.00,3.87
02:30 - 02:45,208.95,24.19,0.00,-36.00,-40.00
02:45 - 03:00,277.64,22.25,0.00,-36.00,-45.00
03:00 - 03:15,262.16,7.74,0.00,-36.00,-55.00
03:15 - 03:30,232.18,7.74,-1.00,-36.00,-55.00
03:30 - 03:45,251.53,21.28,-1.00,-36.00,-49.00
03:45 - 04:00,223.47,19.35,-1.00,-36.00,-50.00
04:00 - 04:15,189.62,29.02,-1.00,-36.00,5.80
04:15 - 04:30,172.20,27.09,-1.00,-36.00,5.80
04:30 - 04:45,160.59,26.12,-1.00,-36.00,1.93
04:45 - 05:00,162.53,25.15,-1.00,-36.00,2.90
05:00 - 05:15,165.43,14.51,-2.00,-37.00,11.61
05:15 - 05:30,139.30,15.48,-2.00,-36.00,34.83
05:30 - 05:45,89.96,21.28,-2.00,-37.00,43.53
05:45 - 06:00,90.93,19.35,-3.00,-35.00,23.22
06:00 - 06:15,56.11,30.96,-3.00,-35.00,75.45
06:15 - 06:30,23.22,27.09,-3.00,-34.00,59.97
06:30 - 06:45,-10.00,24.19,-4.00,-32.00,41.59
06:45 - 07:00,-38.00,4.84,-4.00,-33.00,24.18
07:00 - 07:15,-81.00,3.87,-4.00,-32.00,10.64
07:15 - 07:30,-72.00,7.74,-3.00,-32.00,-1.00
07:30 - 07:45,-25.00,10.65,-3.00,-32.00,9.67
07:45 - 08:00,18.38,13.54,-3.00,-32.00,12.58
08:00 - 08:15,28.05,29.03,-6.00,-31.00,21.28
08:15 - 08:30,43.53,33.86,-6.00,-31.00,15.48
08:30 - 08:45,73.52,48.37,-5.00,-31.00,20.32
08:45 - 09:00,71.59,48.37,-4.00,-30.00,18.38
09:00 - 09:15,68.68,19.35,2.90,-56.00,15.48
09:15 - 09:30,89.96,24.19,2.42,-56.00,11.61
09:30 - 09:45,63.85,44.50,1.93,-55.00,38.70
09:45 - 10:00,77.40,58.04,2.90,-55.00,33.86
10:00 - 10:15,69.65,53.21,1.93,-55.00,49.34
10:15 - 10:30,80.29,20.32,2.90,-55.00,64.82
10:30 - 10:45,122.85,20.32,3.87,-30.00,74.49
10:45 - 11:00,132.53,20.32,4.84,-30.00,76.42
