Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,45.88,0.00,0.00,14.34,0.00,0.00,-36.00
00:15 - 00:30,36.33,0.00,0.00,13.38,0.00,0.00,-32.00
00:30 - 00:45,-67.00,0.00,0.00,12.90,0.00,0.00,-32.00
00:45 - 01:00,-82.00,0.00,0.00,12.14,0.00,0.00,-32.00
01:00 - 01:15,-97.00,-15.00,0.00,11.47,0.00,0.00,-31.00
01:15 - 01:30,-93.00,-12.00,0.00,11.28,0.00,0.00,-30.00
01:30 - 01:45,-88.00,-40.00,0.00,11.18,0.00,0.00,-31.00
01:45 - 02:00,-84.00,-40.00,0.00,10.99,0.00,0.00,-31.00
02:00 - 02:15,-106.00,0.00,0.00,10.99,0.00,0.00,-40.00
02:15 - 02:30,-94.00,0.00,0.00,10.90,0.00,0.00,-39.00
02:30 - 02:45,-80.00,0.00,0.00,10.90,0.00,0.00,-47.00
02:45 - 03:00,-67.00,0.00,0.00,10.90,0.00,0.00,-47.00
03:00 - 03:15,-26.00,0.00,0.00,10.99,0.00,0.00,-44.00
03:15 - 03:30,-26.00,0.00,0.00,11.09,0.00,0.00,-43.00
03:30 - 03:45,-30.00,0.00,0.00,11.47,0.00,0.00,-54.00
03:45 - 04:00,-30.00,-10.00,0.00,11.66,0.00,0.00,-53.00
04:00 - 04:15,-56.00,0.00,0.00,11.66,0.00,0.00,-50.00
04:15 - 04:30,-50.00,0.00,0.00,12.33,0.00,0.00,-49.00
04:30 - 04:45,-55.00,0.00,0.00,13.00,0.00,0.00,-37.00
04:45 - 05:00,-49.00,0.00,0.00,13.86,0.00,0.00,-35.00
05:00 - 05:15,0.00,0.00,0.00,8.32,0.00,0.00,-31.00
05:15 - 05:30,0.00,0.00,0.00,9.27,0.00,0.00,-26.00
05:30 - 05:45,13.38,19.12,0.00,11.47,0.00,0.00,-33.00
05:45 - 06:00,-9.00,9.56,0.00,14.24,0.00,0.00,-43.00
06:00 - 06:15,26.77,34.41,0.00,16.25,0.00,0.00,-107.00
06:15 - 06:30,44.93,16.25,0.00,18.45,0.00,0.00,-187.00
06:30 - 06:45,40.14,39.19,0.00,20.27,0.00,0.00,-85.00
06:45 - 07:00,36.32,48.75,0.00,23.04,0.00,3.63,-113.00
07:00 - 07:15,40.13,16.37,0.00,21.37,0.00,0.66,-81.00
07:15 - 07:30,62.43,34.68,0.00,13.77,0.00,1.19,-69.00
07:30 - 07:45,65.69,58.51,0.00,4.88,0.00,0.74,-13.00
07:45 - 08:00,91.23,63.86,0.00,4.62,0.00,0.66,1.83
08:00 - 08:15,98.47,30.44,0.00,3.65,2.69,0.39,8.06
08:15 - 08:30,111.17,44.47,0.00,4.66,3.34,0.35,18.01
08:30 - 08:45,61.04,5.43,0.00,7.32,5.09,0.41,40.01
08:45 - 09:00,18.64,5.38,0.00,9.23,6.21,0.33,56.77
09:00 - 09:15,-23.00,-44.00,0.00,10.75,8.45,0.28,42.23
09:15 - 09:30,-39.00,-77.00,0.00,14.06,7.18,1.22,69.59
09:30 - 09:45,-12.00,-64.00,0.00,24.85,9.56,0.57,28.68
09:45 - 10:00,-21.00,-59.00,0.00,25.33,9.56,0.19,-39.00
10:00 - 10:15,0.00,-90.00,0.00,24.37,9.56,0.00,-42.00
10:15 - 10:30,0.00,-50.00,0.00,23.71,9.56,0.00,-44.00
10:30 - 10:45,-21.00,0.00,0.00,23.23,9.56,0.00,-84.00
10:45 - 11:00,-11.00,16.25,0.00,22.75,9.56,0.00,-81.00
11:00 - 11:15,-60.00,0.00,0.00,26.19,9.56,0.00,-62.00
11:15 - 11:30,-49.00,47.79,0.00,25.43,9.56,0.00,-166.00
11:30 - 11:45,80.29,0.00,0.00,24.66,0.00,0.10,-10.00
11:45 - 12:00,84.12,0.00,0.00,24.28,0.00,0.00,-10.00
12:00 - 12:15,124.26,9.56,0.00,23.71,0.00,0.00,0.00
12:15 - 12:30,116.62,23.90,0.00,22.94,0.00,0.00,0.00
12:30 - 12:45,0.00,12.43,0.00,17.20,0.00,0.00,0.00
12:45 - 13:00,-65.00,17.21,0.00,16.25,0.00,0.00,31.54
13:00 - 13:15,-23.00,-20.00,0.00,15.29,0.00,0.00,-62.00
13:15 - 13:30,-21.00,0.00,0.00,14.34,0.00,0.00,-58.00
13:30 - 13:45,0.00,0.00,0.00,13.38,0.00,0.00,-88.00
13:45 - 14:00,0.00,0.00,0.00,12.43,0.00,0.00,-89.00
14:00 - 14:15,-16.00,0.00,0.00,11.95,0.00,0.00,-92.00
14:15 - 14:30,-25.00,0.00,0.00,11.95,0.00,0.00,-97.00
14:30 - 14:45,-81.00,0.00,0.00,11.95,0.00,0.00,-137.00
14:45 - 15:00,-90.00,0.00,0.00,11.95,0.00,0.00,-102.00
15:00 - 15:15,-193.00,0.00,0.00,11.47,0.00,0.00,-127.00
15:15 - 15:30,-218.00,0.00,0.00,11.47,0.00,0.00,-130.00
15:30 - 15:45,-36.00,-44.00,0.00,10.51,0.00,0.00,-133.00
15:45 - 16:00,-15.00,-40.00,0.00,10.51,0.00,0.00,-141.00
16:00 - 16:15,-46.00,-6.00,0.00,11.47,0.00,0.00,32.44
16:15 - 16:30,-50.00,-80.00,0.00,11.47,0.00,0.00,-67.00
16:30 - 16:45,-95.00,-45.00,0.00,11.47,0.00,0.00,-155.00
16:45 - 17:00,-133.00,-62.00,0.00,11.47,0.00,0.00,-206.00
17:00 - 17:15,-147.00,-72.00,0.00,14.34,0.00,0.00,-210.00
17:15 - 17:30,-147.00,-79.00,0.00,15.30,0.00,7.93,-190.00
17:30 - 17:45,-91.00,-55.00,0.00,11.27,0.00,2.85,-175.00
