Generator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Revision No,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCGT-Bawana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Schedule,890.0000,890.0000,890.0000,890.0000,890.0000,890.0000,890.0000,890.0000,890.0000,890.0000,890.0000,890.0000,900.0000,900.0000,900.0000,900.0000,900.0000,900.0000,900.0000,900.0000,793.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.0000,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,743.3168,775.3168,775.3168,775.3168,775.3168,765.3168,765.3168,765.3168,814.3168,880.0000,880.0000,880.0000,865.3168,765.3168,765.3168,765.3168,765.3168,765.3168,765.3168,765.3168,833.3168,795.3168,880.0000,880.0000,880.0000,880.0000,942.4296,942.4296,942.4296,1012.4296,1012.4296,1012.4296,1012.4296,1012.4296,1012.4296,1012.4296,1012.4296
DC Considered for Schedule,1180.00,1180.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,1160.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,900.00,900.00,940.00,940.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,890.00,890.00,890.00,890.00,890.00,890.00,890.00,890.00,890.00,890.00,890.00,890.00
