Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,75.31,-15.00,-1.30,3.38,-72.00
00:15 - 00:30,79.17,0.00,-1.30,3.28,-74.00
00:30 - 00:45,43.45,20.28,-1.30,3.28,-25.00
00:45 - 01:00,58.89,15.45,-1.30,3.19,-28.00
01:00 - 01:15,36.69,14.48,-1.30,3.09,-43.00
01:15 - 01:30,-33.00,-20.00,-1.30,3.09,-38.00
01:30 - 01:45,-9.00,-53.00,-1.30,2.99,-52.00
01:45 - 02:00,19.31,-52.00,-1.30,2.80,-68.00
02:00 - 02:15,9.66,-60.00,-1.30,2.70,-93.00
02:15 - 02:30,60.83,-42.00,-1.30,2.70,-94.00
02:30 - 02:45,80.14,-48.00,-1.30,2.70,-91.00
02:45 - 03:00,77.24,-46.00,-1.30,2.70,-85.00
03:00 - 03:15,85.93,-36.00,-1.30,2.70,-63.00
03:15 - 03:30,81.11,-37.00,-1.30,2.70,-61.00
03:30 - 03:45,83.04,-40.00,-1.30,2.70,-45.00
03:45 - 04:00,80.14,-39.00,-1.30,2.51,-49.00
04:00 - 04:15,82.07,-38.00,-1.30,2.70,-44.00
04:15 - 04:30,82.07,-36.00,-1.30,2.80,-45.00
04:30 - 04:45,71.45,-28.00,-1.30,3.28,-50.00
04:45 - 05:00,77.24,-21.00,-1.30,2.41,-55.00
05:00 - 05:15,60.83,-10.00,-1.30,3.67,-49.00
05:15 - 05:30,59.86,-10.00,-1.30,3.86,-53.00
05:30 - 05:45,71.45,-32.00,-1.30,3.96,-71.00
05:45 - 06:00,75.30,-30.00,-1.30,4.06,-90.00
06:00 - 06:15,78.20,-25.00,-1.30,4.25,-90.00
06:15 - 06:30,77.24,-25.00,-1.30,4.34,-115.00
06:30 - 06:45,69.52,-25.00,-1.30,4.63,-89.00
06:45 - 07:00,59.87,0.00,-1.30,4.34,-96.00
