Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-32.00,-23.00,14.45,-67.00,0.00,23.12
00:15 - 00:30,-42.00,-40.00,13.97,-63.00,0.00,0.00
00:30 - 00:45,0.00,-60.00,13.97,-63.00,0.00,-27.00
00:45 - 01:00,30.82,-81.00,13.49,-63.00,0.00,-49.00
01:00 - 01:15,37.57,-120.00,13.97,-61.00,0.00,-75.00
01:15 - 01:30,2.89,-135.00,14.45,-59.00,0.00,-75.00
01:30 - 01:45,-19.00,-165.00,14.45,-59.00,0.00,-46.00
01:45 - 02:00,-73.00,-205.00,14.45,-58.00,0.00,-52.00
02:00 - 02:15,-141.00,-213.00,8.67,-69.00,0.00,-75.00
02:15 - 02:30,-169.00,-249.00,8.67,-68.00,0.00,-73.00
02:30 - 02:45,-136.00,-288.00,12.52,-68.00,0.00,-80.00
02:45 - 03:00,-117.00,-315.00,12.52,-68.00,0.00,-80.00
03:00 - 03:15,-6.00,-310.00,12.52,-67.00,0.00,-49.00
03:15 - 03:30,-23.00,-309.00,11.56,-67.00,0.00,-50.00
03:30 - 03:45,-52.00,-295.00,11.56,-67.00,0.00,-40.00
03:45 - 04:00,-71.00,-287.00,10.60,-67.00,0.00,-40.00
04:00 - 04:15,-46.00,-198.00,10.60,-66.00,0.00,-45.00
04:15 - 04:30,-64.00,-210.00,10.60,-66.00,0.00,-45.00
04:30 - 04:45,-60.00,-206.00,11.56,-65.00,0.00,-35.00
04:45 - 05:00,-84.00,-209.00,11.56,-65.00,0.00,-35.00
05:00 - 05:15,-129.00,-135.00,6.74,-63.00,0.00,-88.00
05:15 - 05:30,-139.00,-140.00,7.42,-60.00,0.00,-95.00
05:30 - 05:45,-150.00,-227.00,8.48,-62.00,0.67,-92.00
05:45 - 06:00,-161.00,-231.00,8.67,-63.00,0.48,-95.00
06:00 - 06:15,-191.00,-227.00,8.67,-63.00,0.77,-94.00
06:15 - 06:30,-186.00,-213.00,8.67,-63.00,0.77,-87.00
06:30 - 06:45,-159.00,-230.00,9.15,-64.00,0.29,-70.00
06:45 - 07:00,-130.00,-37.00,9.34,-66.00,0.00,-20.00
07:00 - 07:15,-156.00,-39.00,9.63,-88.00,0.00,-97.00
07:15 - 07:30,-154.00,-65.00,9.63,-83.00,0.00,-20.00
07:30 - 07:45,-189.00,-99.00,10.60,-103.00,0.00,57.79
07:45 - 08:00,-160.00,-36.00,10.60,-96.00,0.00,-50.00
08:00 - 08:15,-198.00,-14.00,12.04,-93.00,0.00,0.00
08:15 - 08:30,-179.00,-21.00,12.52,-117.00,0.00,0.00
08:30 - 08:45,-71.00,-47.00,13.49,-104.00,0.00,-5.00
08:45 - 09:00,-63.00,-40.00,14.45,-89.00,0.00,-4.00
09:00 - 09:15,-84.00,-30.00,12.04,-74.00,0.00,9.63
09:15 - 09:30,-78.00,-34.00,13.49,-62.00,0.00,-5.00
09:30 - 09:45,-103.00,-49.00,14.45,-49.00,0.00,29.86
09:45 - 10:00,-108.00,-42.00,14.45,-40.00,0.00,41.42
10:00 - 10:15,-105.00,-68.00,13.49,-22.00,0.00,67.43
10:15 - 10:30,-97.00,-63.00,13.49,-15.00,0.00,96.33
10:30 - 10:45,-43.00,-58.00,13.87,-11.00,0.00,22.16
10:45 - 11:00,-47.00,-61.00,13.87,-6.00,0.00,31.79
11:00 - 11:15,-82.00,-67.00,14.45,-6.00,0.00,10.60
11:15 - 11:30,-68.00,-66.00,14.45,-6.00,0.00,31.79
11:30 - 11:45,-66.00,-71.00,17.34,0.00,0.00,42.38
11:45 - 12:00,-65.00,-75.00,17.34,0.00,0.00,62.61
12:00 - 12:15,-148.00,-65.00,17.34,0.00,0.00,60.69
12:15 - 12:30,-169.00,-78.00,17.34,0.00,0.00,36.60
12:30 - 12:45,-177.00,-93.00,17.34,0.00,0.00,26.01
12:45 - 13:00,-173.00,-97.00,17.34,0.00,0.00,37.57
13:00 - 13:15,-172.00,-113.00,17.34,0.00,0.00,-31.00
13:15 - 13:30,-158.00,-115.00,17.34,0.00,0.00,12.52
13:30 - 13:45,-183.00,-102.00,18.30,0.00,0.00,28.90
13:45 - 14:00,-147.00,-101.00,18.30,0.00,0.00,48.17
14:00 - 14:15,-162.00,-86.00,19.75,0.00,0.00,9.63
