Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,230.99,21.18,8.66,-41.00,0.00,48.13
00:15 - 00:30,250.25,18.29,8.66,-44.00,0.00,48.13
00:30 - 00:45,242.56,7.70,8.66,-45.00,0.00,120.31
00:45 - 01:00,198.28,12.51,8.66,-48.00,0.00,105.88
01:00 - 01:15,135.71,-60.00,7.70,-50.00,0.00,86.63
01:15 - 01:30,125.12,-61.00,7.70,-53.00,0.00,86.63
01:30 - 01:45,57.75,0.00,7.70,-55.00,0.00,86.63
01:45 - 02:00,24.06,0.00,6.74,-57.00,0.00,86.63
02:00 - 02:15,31.76,-10.00,6.74,-65.00,0.00,69.30
02:15 - 02:30,74.11,-13.00,6.74,-65.00,0.00,95.29
02:30 - 02:45,102.98,-8.00,5.78,-65.00,0.00,84.70
02:45 - 03:00,135.71,-7.00,5.78,-65.00,0.00,65.45
03:00 - 03:15,269.50,28.88,4.81,-66.00,0.00,77.00
03:15 - 03:30,203.09,31.76,4.81,-65.00,0.00,77.00
03:30 - 03:45,180.95,35.61,4.81,-71.00,0.00,86.63
03:45 - 04:00,198.27,34.65,4.81,-73.00,0.00,86.63
04:00 - 04:15,175.17,38.50,4.81,-72.00,0.00,86.63
04:15 - 04:30,159.77,40.43,4.81,-73.00,0.00,87.59
04:30 - 04:45,108.76,34.65,4.81,-74.00,0.00,78.93
04:45 - 05:00,91.43,36.58,4.81,-75.00,0.00,75.08
05:00 - 05:15,147.27,22.14,4.81,-74.00,0.00,77.96
05:15 - 05:30,129.93,26.95,5.78,-74.00,0.00,84.70
05:30 - 05:45,142.44,93.36,5.78,-74.00,0.00,82.78
05:45 - 06:00,123.20,83.74,5.78,-72.00,0.00,89.51
06:00 - 06:15,82.78,106.83,4.81,-72.00,0.00,76.04
06:15 - 06:30,77.96,104.92,4.81,-72.00,-30.00,83.74
06:30 - 06:45,61.60,76.04,4.81,-73.00,0.00,84.70
06:45 - 07:00,35.61,0.00,4.81,-73.00,0.00,49.09
07:00 - 07:15,0.00,-25.00,8.66,-71.00,0.00,46.20
07:15 - 07:30,0.00,0.00,8.66,-70.00,0.00,20.22
07:30 - 07:45,-24.00,6.74,9.63,-67.00,0.00,18.28
07:45 - 08:00,6.74,41.38,9.63,-67.00,0.00,-38.00
08:00 - 08:15,0.00,58.72,8.66,-67.00,0.00,-15.00
08:15 - 08:30,0.00,64.49,8.66,-68.00,0.00,4.81
08:30 - 08:45,-18.00,74.11,11.55,-51.00,0.00,-9.00
08:45 - 09:00,-11.00,71.23,11.55,-33.00,0.00,-15.00
09:00 - 09:15,-13.00,80.85,22.14,-59.00,0.00,-9.00
09:15 - 09:30,-29.00,84.70,22.14,-45.00,0.00,0.00
09:30 - 09:45,-86.00,40.43,22.14,-35.00,0.00,91.43
09:45 - 10:00,-46.00,42.35,21.18,-22.00,0.00,72.18
10:00 - 10:15,-15.00,38.50,21.18,-15.00,0.00,115.50
10:15 - 10:30,0.00,37.54,21.18,-14.00,0.00,110.68
10:30 - 10:45,116.46,34.65,21.18,-9.00,0.00,79.89
10:45 - 11:00,132.82,30.80,21.18,-4.00,0.00,86.63
11:00 - 11:15,198.27,26.95,21.18,0.00,0.00,91.44
11:15 - 11:30,249.28,28.88,20.21,0.00,0.00,91.44
11:30 - 11:45,282.01,123.20,21.18,0.00,0.00,77.00
11:45 - 12:00,287.79,130.90,20.21,0.00,0.00,67.38
12:00 - 12:15,277.19,75.08,22.14,0.00,0.00,67.38
12:15 - 12:30,288.75,60.64,22.14,0.00,0.00,62.56
12:30 - 12:45,284.90,57.75,22.14,-14.00,0.00,52.94
12:45 - 13:00,268.53,69.30,22.14,-14.00,0.00,52.94
13:00 - 13:15,192.50,22.14,22.14,-14.00,0.00,24.06
13:15 - 13:30,163.62,10.59,22.14,-14.00,0.00,24.06
13:30 - 13:45,201.16,0.00,22.14,-14.00,0.00,38.50
13:45 - 14:00,260.84,0.00,22.14,-14.00,0.00,57.75
14:00 - 14:15,174.21,0.00,22.14,-14.00,0.00,57.75
14:15 - 14:30,142.45,26.95,22.14,-14.00,0.00,62.56
14:30 - 14:45,95.29,0.00,20.21,-6.00,0.00,72.19
14:45 - 15:00,142.46,0.00,20.21,-6.00,0.00,81.81
15:00 - 15:15,177.09,9.63,13.48,-6.00,0.00,-20.00
15:15 - 15:30,231.95,9.63,13.48,-6.00,0.00,-20.00
15:30 - 15:45,261.80,7.70,13.48,-6.00,0.00,-75.00
15:45 - 16:00,278.17,7.70,12.51,-6.00,0.00,-75.00
16:00 - 16:15,244.48,-60.00,4.81,-6.00,0.00,-85.00
16:15 - 16:30,222.34,-57.00,4.81,-6.00,0.00,-80.00
16:30 - 16:45,46.20,-50.00,4.81,-22.00,0.00,-20.00
16:45 - 17:00,58.71,0.00,5.78,-22.00,0.00,-20.00
17:00 - 17:15,155.92,-17.00,9.63,-30.00,0.00,0.00
17:15 - 17:30,189.62,-20.00,8.66,-40.00,0.00,19.25
17:30 - 17:45,201.16,-33.00,7.70,-62.00,0.00,-5.00
17:45 - 18:00,194.42,-12.00,6.74,-74.00,0.00,-10.00
18:00 - 18:15,120.31,-15.00,6.74,-101.00,0.00,-5.00
18:15 - 18:30,102.03,-10.00,6.35,-104.00,0.00,4.81
18:30 - 18:45,420.61,9.63,6.35,-97.00,0.00,14.44
18:45 - 19:00,338.80,45.24,6.64,-97.00,0.00,-20.00
19:00 - 19:15,214.92,8.24,7.41,-92.00,-18.60,61.75
19:15 - 19:30,152.05,-25.00,7.53,-95.00,-14.40,56.45
19:30 - 19:45,212.66,-13.00,8.46,-94.00,-14.40,25.38
19:45 - 20:00,207.67,-39.00,8.80,-94.00,-14.40,-10.00
20:00 - 20:15,181.38,-46.00,7.91,-90.00,0.00,-60.00
20:15 - 20:30,156.46,-40.00,7.15,-91.00,0.00,-60.00
20:30 - 20:45,118.68,-43.00,6.53,-92.00,0.00,-60.00
20:45 - 21:00,145.04,-39.00,5.96,-92.00,0.00,-60.00
21:00 - 21:15,126.26,-7.00,6.03,-90.00,0.00,-70.00
21:15 - 21:30,110.18,-5.00,4.18,-81.00,0.00,-55.00
21:30 - 21:45,75.39,-5.00,6.57,-82.00,0.00,-40.00
21:45 - 22:00,79.09,-10.00,7.01,-86.00,0.00,-35.00
22:00 - 22:15,164.28,-17.00,7.47,-84.00,0.00,-30.00
