Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,12.50,0.00,7.89,0.00,-110.00
00:15 - 00:30,0.00,0.00,7.31,0.00,-116.00
00:30 - 00:45,22.12,0.00,6.54,0.00,-122.00
00:45 - 01:00,-8.00,0.00,6.16,0.00,-121.00
01:00 - 01:15,28.85,-5.00,5.87,0.00,-129.00
01:15 - 01:30,16.36,-5.00,5.67,0.00,-129.00
01:30 - 01:45,1.92,26.93,4.33,0.00,-127.00
01:45 - 02:00,-19.00,26.93,4.23,0.00,-126.00
02:00 - 02:15,-18.00,0.00,4.23,0.00,-59.00
02:15 - 02:30,-3.00,0.00,4.14,0.00,-58.00
02:30 - 02:45,-35.00,0.00,4.04,0.00,-52.00
02:45 - 03:00,-22.00,0.00,3.94,0.00,-53.00
03:00 - 03:15,-14.00,0.00,3.94,0.00,-51.00
03:15 - 03:30,-47.00,0.00,3.94,0.00,-50.00
03:30 - 03:45,28.85,14.43,3.94,0.00,-44.00
03:45 - 04:00,64.43,19.24,4.14,0.00,-43.00
04:00 - 04:15,53.86,0.00,4.33,0.00,-45.00
04:15 - 04:30,18.28,0.00,5.00,0.00,-45.00
04:30 - 04:45,5.77,-22.00,5.77,0.00,-58.00
04:45 - 05:00,-20.00,-33.00,7.31,0.00,-58.00
05:00 - 05:15,3.85,-15.00,5.29,0.00,-46.00
05:15 - 05:30,-14.00,-15.00,6.73,0.00,-50.00
05:30 - 05:45,2.89,-16.00,0.00,0.00,-58.00
05:45 - 06:00,55.78,-10.00,0.00,0.00,-57.00
06:00 - 06:15,0.00,-18.00,0.00,0.00,-124.00
06:15 - 06:30,25.01,-20.00,0.67,0.00,-130.00
06:30 - 06:45,0.00,-20.00,1.44,0.00,-136.00
06:45 - 07:00,45.21,-5.00,2.21,0.00,-66.00
07:00 - 07:15,41.36,-10.00,3.08,0.00,-136.00
07:15 - 07:30,25.00,-10.00,3.85,0.00,-52.00
07:30 - 07:45,84.63,0.00,4.91,0.00,-103.00
07:45 - 08:00,134.65,-60.00,6.35,0.00,-103.00
08:00 - 08:15,124.08,0.00,6.44,0.00,-121.00
08:15 - 08:30,124.08,0.00,7.31,3.65,-109.00
08:30 - 08:45,92.33,0.00,17.31,1.35,-121.00
08:45 - 09:00,103.88,0.00,17.31,2.02,-119.00
09:00 - 09:15,71.17,-38.00,13.56,0.00,-121.00
09:15 - 09:30,98.10,-35.00,13.56,0.00,-72.00
09:30 - 09:45,88.49,-20.00,13.75,0.00,-201.00
09:45 - 10:00,76.94,0.00,13.85,0.00,-194.00
10:00 - 10:15,133.69,0.00,11.93,0.00,-116.00
10:15 - 10:30,131.76,0.00,11.93,0.00,-134.00
10:30 - 10:45,135.62,-10.00,11.54,0.00,-26.00
10:45 - 11:00,124.07,-14.00,10.39,0.00,-15.00
11:00 - 11:15,145.24,-15.00,11.35,0.00,28.85
11:15 - 11:30,148.12,-21.00,11.06,0.00,28.85
11:30 - 11:45,141.39,-35.00,10.10,0.00,33.66
11:45 - 12:00,133.70,-47.00,9.23,0.00,28.85
12:00 - 12:15,135.61,-48.00,8.66,4.81,33.66
12:15 - 12:30,129.84,-63.00,6.35,4.81,33.66
12:30 - 12:45,130.80,-50.00,6.06,4.81,43.28
12:45 - 13:00,97.14,-55.00,5.10,4.81,52.90
13:00 - 13:15,74.06,-21.00,5.29,4.81,38.47
13:15 - 13:30,75.02,-7.00,5.29,4.81,9.62
13:30 - 13:45,52.89,0.00,4.81,4.81,19.24
13:45 - 14:00,74.05,9.62,4.52,4.81,24.05
14:00 - 14:15,122.15,0.00,4.42,4.81,11.54
14:15 - 14:30,104.83,0.00,4.33,4.81,0.00
14:30 - 14:45,129.84,19.24,3.75,4.81,19.24
14:45 - 15:00,126.00,19.24,3.65,4.81,28.85
15:00 - 15:15,89.45,0.00,3.56,4.81,38.47
15:15 - 15:30,100.03,0.00,3.46,4.81,33.66
15:30 - 15:45,101.95,19.24,3.75,4.81,28.85
