Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-57.00,-42.00,0.49,-51.00,0.00,3.55
00:15 - 00:30,-25.00,-9.00,0.47,-48.00,0.00,2.04
00:30 - 00:45,0.00,-5.00,0.51,-49.00,0.00,-25.00
00:45 - 01:00,0.00,-18.00,0.53,-48.00,0.00,-50.00
01:00 - 01:15,-69.00,-30.00,0.27,-48.00,0.00,-110.00
01:15 - 01:30,-109.00,-47.00,0.36,-49.00,0.00,-150.00
01:30 - 01:45,-171.00,-79.00,0.50,-49.00,0.00,-185.00
01:45 - 02:00,-208.00,-94.00,0.55,-49.00,0.00,-195.00
02:00 - 02:15,-269.00,-103.00,0.72,-48.00,0.00,-185.00
02:15 - 02:30,-278.00,-140.00,0.72,-47.00,0.00,-160.00
02:30 - 02:45,-316.00,-135.00,0.90,-77.00,0.00,-155.00
02:45 - 03:00,-357.00,-139.00,0.98,-80.00,0.00,-170.00
03:00 - 03:15,-133.00,0.00,1.01,-39.00,0.00,-100.00
03:15 - 03:30,-83.00,0.00,0.93,-39.00,0.00,-95.00
03:30 - 03:45,-47.00,0.00,1.00,-39.00,0.00,-95.00
03:45 - 04:00,0.00,-17.00,1.12,-47.00,0.00,-95.00
04:00 - 04:15,16.79,-12.00,1.90,-40.00,0.00,-56.00
04:15 - 04:30,24.14,-9.00,1.76,-40.00,0.00,-57.00
04:30 - 04:45,51.84,-11.00,2.74,-40.00,0.00,-55.00
04:45 - 05:00,61.32,-16.00,2.74,-40.00,0.00,-40.00
05:00 - 05:15,122.72,-29.00,2.90,-39.00,0.00,-145.00
05:15 - 05:30,29.15,-29.00,1.66,-40.00,0.00,-90.00
05:30 - 05:45,0.00,-26.00,1.67,-40.00,0.00,-13.00
05:45 - 06:00,0.00,-30.00,1.74,-39.00,0.00,-13.00
06:00 - 06:15,-12.00,-5.00,1.84,-74.00,0.00,-21.00
06:15 - 06:30,-34.00,-48.00,1.92,-79.00,0.00,-31.00
06:30 - 06:45,-48.00,-54.00,1.93,-77.00,0.00,-20.00
06:45 - 07:00,-54.00,-55.00,1.93,-72.00,0.00,-18.00
07:00 - 07:15,-36.00,-26.00,1.93,-72.00,0.00,-35.00
07:15 - 07:30,-91.00,-25.00,1.93,-59.00,0.00,-10.00
07:30 - 07:45,-26.00,-14.00,2.90,-51.00,0.00,-45.00
07:45 - 08:00,-74.00,-15.00,3.87,-50.00,0.00,-40.00
08:00 - 08:15,-103.00,9.66,0.97,-52.00,0.00,-45.00
08:15 - 08:30,-120.00,6.76,0.97,-51.00,0.00,-70.00
08:30 - 08:45,-125.00,86.97,4.54,-50.00,0.10,-62.00
08:45 - 09:00,-121.00,91.80,5.80,-49.00,0.00,-52.00
09:00 - 09:15,-44.00,115.96,13.91,-123.00,0.00,-45.00
09:15 - 09:30,0.00,135.28,13.53,-107.00,0.00,-45.00
09:30 - 09:45,28.02,125.63,14.49,-92.00,0.00,-45.00
09:45 - 10:00,41.55,123.68,16.43,-77.00,0.00,3.87
10:00 - 10:15,63.78,125.61,13.91,-67.00,0.00,48.32
10:15 - 10:30,98.56,128.52,13.53,-59.00,0.00,86.97
10:30 - 10:45,57.01,130.45,16.43,-33.00,0.00,86.97
10:45 - 11:00,92.76,133.35,17.10,-26.00,0.00,86.97
11:00 - 11:15,185.52,142.05,19.33,-9.00,0.00,53.15
11:15 - 11:30,220.31,136.25,19.33,-31.00,0.00,43.48
11:30 - 11:45,160.41,178.76,19.33,-26.00,0.00,72.47
11:45 - 12:00,193.26,183.60,19.33,-23.00,0.00,77.30
12:00 - 12:15,169.10,205.83,25.12,-18.00,0.00,67.64
