Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,144.17,148.96,14.42,-31.00,0.00,-61.00
00:15 - 00:30,102.84,139.35,14.42,-31.00,0.00,41.33
00:30 - 00:45,97.07,116.29,13.46,-31.00,0.00,57.67
00:45 - 01:00,96.11,91.30,13.46,-30.00,0.00,91.30
01:00 - 01:15,-17.00,65.36,12.49,-32.00,0.00,-50.00
01:15 - 01:30,-23.00,45.18,12.49,-32.00,0.00,9.61
01:30 - 01:45,37.48,19.22,11.53,-32.00,0.00,105.73
01:45 - 02:00,44.21,0.00,11.53,-32.00,0.00,-35.00
02:00 - 02:15,-81.00,11.53,10.09,-42.00,0.00,0.00
02:15 - 02:30,-107.00,0.00,10.09,-42.00,0.00,0.00
02:30 - 02:45,-126.00,0.00,9.13,-41.00,0.00,-13.00
02:45 - 03:00,-99.00,0.00,9.13,-41.00,0.00,-13.00
03:00 - 03:15,177.80,0.00,8.17,-42.00,0.00,-13.00
03:15 - 03:30,99.95,0.00,8.17,-42.00,0.00,-14.00
03:30 - 03:45,0.00,0.00,7.69,-40.00,0.00,-26.00
03:45 - 04:00,-25.00,0.00,7.69,-40.00,0.00,-25.00
04:00 - 04:15,9.61,24.03,6.73,-41.00,0.00,1.92
04:15 - 04:30,-7.00,24.03,6.73,-41.00,0.00,2.88
04:30 - 04:45,-19.00,0.00,6.73,-40.00,0.00,24.03
04:45 - 05:00,-35.00,0.00,6.73,-41.00,0.00,24.99
05:00 - 05:15,0.00,0.00,7.69,-40.00,0.00,23.07
05:15 - 05:30,0.00,0.00,7.69,-41.00,0.00,19.22
05:30 - 05:45,0.00,14.42,7.69,-40.00,0.00,34.59
05:45 - 06:00,-23.00,11.53,7.69,-40.00,0.00,99.96
06:00 - 06:15,-37.00,0.00,8.65,-41.00,0.00,90.34
06:15 - 06:30,-17.00,0.00,8.65,-40.00,0.00,71.12
06:30 - 06:45,-21.00,0.00,8.65,-40.00,0.00,46.13
06:45 - 07:00,-30.00,0.00,8.65,-40.00,0.00,93.23
07:00 - 07:15,-40.00,14.42,10.57,-39.00,0.00,76.89
07:15 - 07:30,0.00,0.00,10.57,-39.00,0.00,76.89
07:30 - 07:45,12.49,0.00,10.57,-38.00,0.00,19.23
07:45 - 08:00,101.87,14.42,10.57,-37.00,0.00,22.11
08:00 - 08:15,100.92,65.35,1.92,-36.00,0.00,48.06
08:15 - 08:30,98.03,83.62,1.92,-19.00,0.00,52.86
08:30 - 08:45,115.33,99.95,4.81,0.00,0.00,40.37
08:45 - 09:00,119.17,109.57,5.77,0.00,0.00,38.44
09:00 - 09:15,138.39,103.80,7.69,0.00,0.00,14.42
