genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
32,0,0,0,5.79537145,0,0,0,9.10237515,,1.821688,5.898134,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,3.827978,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.7240588,4.9784196,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,156.41047125,0,,,34.33649175,,3.491103,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,7.095363,4.4571285,
33,0,0,0,5.72157355,0,0,0,9.10237515,,1.821688,5.898134,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,3.827978,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.7240588,4.9784196,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,156.41047125,0,,,34.33649175,,3.491103,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,5.242941,4.4571285,
34,0,0,0,5.72157355,0,0,0,9.10237515,,1.821688,5.898134,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,3.827978,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.7240588,4.9784196,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,156.41047125,0,,,34.33649175,,3.512058,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,3.700653,4.4571285,
35,0,0,0,5.72157355,0,0,0,9.10237515,,2.732532,5.898134,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,3.827978,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.7240588,4.9784196,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,159.00291,0,,,34.33649175,,4.209161,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,2.468499,4.4571285,
36,0,0,0,5.72157355,0,0,0,9.10237515,,2.732532,3.421253,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,3.827978,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.7240588,4.9784196,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,159.00291,0,,,34.33649175,,4.230116,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,1.851025,4.4571285,
37,0,0,0,5.72157355,0,0,0,9.10237515,,2.732532,0,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,1.27677,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.7240588,5.8684164,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,159.00291,0,,,34.33649175,,4.272026,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,0,4.4571285,
38,0,0,0,5.72157355,0,0,0,9.10237515,,2.732532,0,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,1.27677,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.7240588,5.8684164,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,159.00291,0,,,34.33649175,,4.272026,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,0,0,
39,0,0,0,5.72157355,0,0,0,9.10237515,,0.910844,0,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,1.27677,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.1036577,5.8684164,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,159.00291,0,,,34.33649175,,4.230116,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,0,0,
40,0,0,0,5.72157355,0,0,0,9.10237515,,0.910844,0,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,1.27677,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.1036577,5.8684164,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,159.00291,0,,,34.33649175,,4.230116,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,0,0,
41,0,0,0,5.72157355,0,0,0,9.10237515,,0.910844,0,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,1.27677,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.1036577,4.9784196,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,159.00291,0,,,34.33649175,,4.189603,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,0,0,
42,0,0,0,5.72157355,0,0,0,9.10237515,,0.910844,0,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,1.27677,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.1036577,4.9784196,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,159.00291,0,,,34.33649175,,4.189603,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,0,0,
43,0,0,0,5.72157355,0,0,0,9.10237515,,0.910844,0,5.5194348,4.05945155,0,0,0,11.4029234,90.2932998,1.27677,6.8109745,2.90576,35.81713135,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.1036577,4.9784196,0,0,7.1796032,1.81364975,0,16.5884499,27.8530384,,,0,159.00291,0,,,34.33649175,,4.189603,,0.716661,0,,,2.9112292,5.922675,3.6872528,0,0,0,
