Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,38.40,-1.50,9.02,-10.00,0.00,28.80
00:15 - 00:30,0.00,28.80,-1.50,9.02,-10.00,0.00,27.84
00:30 - 00:45,-38.00,9.60,-1.50,8.93,-10.00,0.00,-1.00
00:45 - 01:00,-12.00,33.60,-1.50,8.93,-10.00,0.00,-2.00
01:00 - 01:15,-48.00,-40.00,-1.50,8.93,-10.00,0.00,-10.00
01:15 - 01:30,-12.00,-23.00,-1.50,8.93,-10.00,0.00,-9.00
01:30 - 01:45,0.00,-12.00,-1.50,8.83,-10.00,0.00,0.00
01:45 - 02:00,0.00,-24.00,-1.50,8.83,-10.00,0.00,0.00
02:00 - 02:15,0.00,-68.00,-1.50,8.83,-10.00,0.00,2.88
02:15 - 02:30,0.00,-72.00,-1.50,8.74,-10.00,0.00,13.44
02:30 - 02:45,0.00,-73.00,-1.50,8.74,-10.00,0.00,18.24
02:45 - 03:00,0.00,-77.00,-1.50,8.64,-10.00,0.00,20.16
03:00 - 03:15,-25.00,-72.00,-1.50,8.64,-10.00,0.00,18.24
03:15 - 03:30,-25.00,-83.00,-1.50,8.64,-10.00,0.00,18.24
03:30 - 03:45,-20.00,-91.00,-1.50,8.64,-10.00,0.00,13.44
03:45 - 04:00,-34.00,-82.00,-1.50,8.64,-10.00,0.00,15.36
04:00 - 04:15,-47.00,-108.00,-1.50,9.60,-10.00,0.00,14.40
04:15 - 04:30,-64.00,-108.00,-1.50,10.56,-10.00,0.00,14.40
04:30 - 04:45,-77.00,-117.00,-1.50,10.56,-10.00,0.00,21.12
04:45 - 05:00,-136.00,-125.00,-1.50,11.52,-10.00,0.00,-39.00
05:00 - 05:15,32.64,-159.00,-1.50,13.44,-10.00,0.00,-38.00
05:15 - 05:30,61.44,-94.00,-1.50,14.40,-10.00,0.00,0.96
05:30 - 05:45,-73.00,-99.00,-1.50,16.61,-10.00,0.00,-14.00
05:45 - 06:00,-81.00,-97.00,-1.50,17.95,-10.00,0.00,30.72
06:00 - 06:15,-136.00,-108.00,-1.50,19.87,-10.00,0.00,15.36
06:15 - 06:30,-106.00,-109.00,-1.50,21.12,-10.00,0.00,-11.00
06:30 - 06:45,-79.00,-114.00,-1.50,22.56,-10.00,0.00,-24.00
06:45 - 07:00,-63.00,-120.00,-1.50,23.33,-10.00,0.29,-32.00
07:00 - 07:15,-100.00,-119.00,-1.50,24.48,-10.00,1.06,-33.00
07:15 - 07:30,-104.00,-127.00,-1.50,24.48,-10.00,2.02,-33.00
07:30 - 07:45,-99.00,-145.00,-1.50,24.29,-10.00,0.48,-35.00
07:45 - 08:00,-57.00,-136.00,-1.50,23.81,-10.00,0.00,-35.00
08:00 - 08:15,-21.00,-205.00,-1.50,22.08,-10.00,0.00,8.64
08:15 - 08:30,-153.00,-158.00,-1.50,22.08,-10.00,0.00,-92.00
08:30 - 08:45,-68.00,-185.00,-1.50,21.60,-6.00,0.00,-104.00
08:45 - 09:00,-91.00,-200.00,-1.50,20.83,-6.00,0.00,-115.00
09:00 - 09:15,24.00,-52.00,-1.50,20.16,-10.00,0.00,76.80
09:15 - 09:30,49.92,-125.00,-1.50,19.49,-10.00,0.00,17.28
09:30 - 09:45,-13.00,-144.00,-1.50,18.91,-10.00,0.00,-59.00
09:45 - 10:00,-91.00,-167.00,-1.50,18.72,-10.00,0.00,-10.00
10:00 - 10:15,-43.00,-117.00,-1.00,18.53,-10.00,0.00,-40.00
10:15 - 10:30,-16.00,-105.00,-1.00,18.05,-10.00,0.00,-51.00
10:30 - 10:45,-50.00,-132.00,-1.00,17.57,-10.00,0.00,-27.00
10:45 - 11:00,-69.00,-130.00,-1.00,17.09,-10.00,0.00,-33.00
11:00 - 11:15,-35.00,-118.00,-1.00,17.28,-10.00,0.00,0.00
11:15 - 11:30,-59.00,-116.00,-1.00,16.99,-10.00,0.00,-9.00
11:30 - 11:45,-122.00,-98.00,-1.00,16.51,-10.00,0.00,0.00
11:45 - 12:00,-127.00,-103.00,-1.00,16.32,-10.00,0.00,0.00
12:00 - 12:15,-109.00,-102.00,-1.00,16.22,-10.00,0.00,-13.00
12:15 - 12:30,-98.00,-100.00,-1.00,15.94,-10.00,0.00,-12.00
12:30 - 12:45,-54.00,-101.00,-1.00,15.84,-10.00,0.00,-25.00
12:45 - 13:00,-39.00,-102.00,-1.00,15.36,-10.00,0.00,-43.00
13:00 - 13:15,-61.00,-133.00,-1.00,16.32,-15.00,0.00,-110.00
13:15 - 13:30,-71.00,-129.00,-1.00,16.32,-15.00,0.00,-75.00
13:30 - 13:45,-63.00,-128.00,-1.00,15.36,-15.00,0.00,-81.00
13:45 - 14:00,-66.00,-128.00,-1.00,14.40,-15.00,0.00,-10.00
14:00 - 14:15,-65.00,-100.00,-1.00,14.40,-15.00,0.00,-61.00
14:15 - 14:30,-61.00,-90.00,-1.00,13.44,-15.00,0.00,-61.00
14:30 - 14:45,-60.00,-150.00,-1.00,13.44,-15.00,0.00,-63.00
14:45 - 15:00,-60.00,-117.00,-1.00,12.48,-15.00,0.00,-71.00
15:00 - 15:15,-33.00,-113.00,-1.00,12.48,0.00,0.10,-57.00
15:15 - 15:30,-35.00,-113.00,-1.00,13.44,0.00,0.00,-58.00
15:30 - 15:45,-37.00,-100.00,-1.00,13.44,0.00,0.00,-76.00
15:45 - 16:00,-8.00,-105.00,-1.00,13.44,0.00,0.00,-59.00
16:00 - 16:15,-68.00,-90.00,-1.00,15.36,0.00,0.00,-58.00
16:15 - 16:30,-66.00,0.00,-1.00,15.84,0.00,0.00,43.20
16:30 - 16:45,-39.00,0.00,-1.00,16.32,0.00,0.00,11.52
16:45 - 17:00,-35.00,-15.00,-1.00,16.32,0.00,4.90,-22.00
17:00 - 17:15,-27.00,-20.00,-1.00,16.32,0.00,8.35,-50.00
17:15 - 17:30,-14.00,-113.00,-1.00,16.32,0.00,0.00,-27.00
17:30 - 17:45,-31.00,-179.00,-1.00,16.80,0.00,0.00,-150.00
17:45 - 18:00,-28.00,-159.00,-1.00,16.80,0.00,0.00,-30.00
18:00 - 18:15,-11.00,-82.00,-1.00,17.28,0.00,0.00,-75.00
18:15 - 18:30,22.08,-75.00,-1.00,18.24,0.00,0.77,-59.00
18:30 - 18:45,8.32,-70.00,-1.00,12.80,-9.00,3.20,-5.00
18:45 - 19:00,16.95,-64.00,-1.00,8.69,-9.00,2.07,-5.00
19:00 - 19:15,25.92,-83.00,-1.00,5.51,-10.00,0.63,4.14
19:15 - 19:30,42.00,-80.00,-1.00,5.60,-10.00,1.01,5.60
19:30 - 19:45,-50.00,-101.00,-1.00,7.78,-10.00,1.52,-4.00
19:45 - 20:00,-147.00,-111.00,-1.00,10.93,-15.00,3.23,0.00
20:00 - 20:15,-103.00,-148.00,-1.00,16.80,-18.00,2.78,-4.00
20:15 - 20:30,-130.00,-140.00,-1.00,16.80,-18.00,1.44,-4.00
20:30 - 20:45,-98.00,-133.00,-1.00,16.32,-18.00,0.00,9.60
20:45 - 21:00,-55.00,-130.00,-1.00,15.94,-18.00,0.00,9.60
21:00 - 21:15,-81.00,-109.00,-1.00,15.36,-18.00,0.00,4.80
21:15 - 21:30,-67.00,-111.00,-1.00,14.40,-18.00,0.00,11.52
21:30 - 21:45,-67.00,-105.00,-1.00,13.92,-18.00,0.00,9.60
21:45 - 22:00,-63.00,-115.00,-1.00,12.77,-18.00,0.00,9.60
22:00 - 22:15,-54.00,-113.00,-1.00,12.48,0.00,0.00,18.24
22:15 - 22:30,-69.00,-118.00,-1.00,11.52,0.00,0.00,11.52
22:30 - 22:45,-8.00,-98.00,-1.00,12.96,0.00,0.00,16.32
22:45 - 23:00,7.68,-109.00,-1.00,12.19,0.00,0.00,-29.00
23:00 - 23:15,-12.00,-139.00,-1.00,11.52,-10.00,0.00,1.92
23:15 - 23:30,10.56,-139.00,-1.00,11.14,-10.00,0.00,32.64
23:30 - 23:45,11.52,-142.00,-1.00,10.66,-10.00,0.00,33.60
23:45 - 24:00,-16.00,-144.00,-1.00,10.37,-10.00,0.00,24.00
