Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,67.90,0.00,0.68,-6.00,2.91,-25.00,0.00,0.29,53.36
00:15 - 00:30,98.95,0.00,0.68,-6.00,2.91,-25.00,0.00,0.29,63.06
00:30 - 00:45,135.81,0.00,0.68,-6.00,1.94,-27.00,0.00,0.29,77.61
00:45 - 01:00,125.14,0.00,0.68,-6.00,1.94,-26.00,0.00,0.29,77.61
01:00 - 01:15,129.02,0.00,0.68,-6.00,1.94,-44.00,0.00,0.29,77.61
01:15 - 01:30,117.37,0.00,0.68,-6.00,1.94,-43.00,0.00,0.29,72.76
01:30 - 01:45,115.44,0.00,0.68,-6.00,1.94,-42.00,0.00,0.29,53.36
01:45 - 02:00,96.04,0.00,0.68,-6.00,1.94,-42.00,0.00,0.29,58.21
02:00 - 02:15,136.78,14.55,0.68,-6.00,1.94,-43.00,0.00,0.29,77.61
02:15 - 02:30,135.81,5.82,0.68,-6.00,1.94,-42.00,0.00,0.29,77.61
02:30 - 02:45,121.26,0.00,0.68,-6.00,1.94,-42.00,0.00,0.29,92.16
02:45 - 03:00,127.08,0.00,0.68,-6.00,1.94,-43.00,0.00,0.29,87.31
03:00 - 03:15,65.00,0.00,0.68,-6.00,0.97,-43.00,0.00,0.29,82.46
03:15 - 03:30,65.00,0.00,0.68,-6.00,0.97,-42.00,0.00,0.29,82.46
03:30 - 03:45,51.42,0.00,0.68,-7.00,0.97,-42.00,0.00,0.29,82.45
03:45 - 04:00,51.42,0.00,0.68,-7.00,0.97,-36.00,0.00,0.29,87.30
04:00 - 04:15,57.24,0.00,0.68,-7.00,0.97,-39.00,0.00,0.29,33.95
04:15 - 04:30,57.24,0.00,0.68,-7.00,0.97,-44.00,0.00,0.29,33.95
04:30 - 04:45,67.90,-30.00,0.68,-7.00,0.97,-44.00,0.00,0.29,53.36
04:45 - 05:00,68.87,-35.00,0.68,-7.00,0.97,-44.00,0.00,0.29,53.36
05:00 - 05:15,71.78,-33.00,0.68,-7.00,0.97,-48.00,0.00,0.29,53.36
05:15 - 05:30,71.78,-32.00,0.68,-7.00,1.94,-49.00,0.00,0.29,53.36
05:30 - 05:45,73.73,-18.00,0.68,-7.00,1.94,-49.00,0.00,0.29,43.65
05:45 - 06:00,71.79,7.76,0.68,-7.00,2.91,-46.00,0.00,0.29,43.65
06:00 - 06:15,54.33,-8.00,0.68,-7.00,2.91,-45.00,0.00,0.29,58.20
06:15 - 06:30,71.79,-29.00,0.68,-7.00,3.88,-44.00,0.00,0.29,72.76
06:30 - 06:45,100.89,-35.00,0.68,-7.00,4.85,-47.00,0.00,0.29,87.31
06:45 - 07:00,109.63,-43.00,0.68,-7.00,5.82,-49.00,0.00,0.29,43.65
07:00 - 07:15,118.36,20.37,0.68,-7.00,6.79,-49.00,0.00,0.29,43.65
07:15 - 07:30,125.14,22.31,0.68,-7.00,6.79,-48.00,0.00,0.29,58.21
07:30 - 07:45,136.78,0.00,0.68,-7.00,6.79,-49.00,0.10,0.29,67.91
07:45 - 08:00,133.87,0.00,0.68,-7.00,6.79,-49.00,0.00,0.29,67.91
08:00 - 08:15,57.24,-16.00,0.68,-7.00,6.79,-47.00,0.10,0.29,58.20
08:15 - 08:30,89.25,-59.00,0.68,-7.00,7.76,-36.00,0.00,0.29,58.21
