Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,-38.00,-0.30,3.67,-75.00
00:15 - 00:30,-35.00,-49.00,-0.30,3.57,-76.00
00:30 - 00:45,-16.00,0.00,-0.30,3.38,-76.00
00:45 - 01:00,-15.00,0.00,-0.30,3.19,-75.00
01:00 - 01:15,-46.00,-5.00,0.00,2.80,-20.00
01:15 - 01:30,48.27,0.00,-0.30,2.80,0.00
01:30 - 01:45,51.17,-15.00,-0.30,2.80,-1.00
01:45 - 02:00,52.14,-22.00,-0.30,2.80,-123.00
02:00 - 02:15,0.00,-36.00,-0.30,2.80,-105.00
02:15 - 02:30,0.00,-45.00,-0.30,2.80,-108.00
02:30 - 02:45,27.03,-34.00,-0.30,2.80,-86.00
02:45 - 03:00,28.97,-35.00,-0.30,2.70,-86.00
03:00 - 03:15,31.86,-50.00,-0.30,2.70,-96.00
03:15 - 03:30,35.73,-16.00,-0.30,2.70,-94.00
03:30 - 03:45,46.35,-11.00,-0.30,2.70,-85.00
03:45 - 04:00,48.28,-13.00,-0.30,2.70,-86.00
04:00 - 04:15,46.35,0.00,-0.30,2.70,-75.00
04:15 - 04:30,47.31,0.00,-0.30,2.80,-78.00
04:30 - 04:45,32.83,0.00,-0.30,3.28,-58.00
04:45 - 05:00,24.13,0.00,-0.30,3.77,-61.00
05:00 - 05:15,0.00,0.00,-0.30,4.54,-69.00
05:15 - 05:30,0.00,0.00,-0.30,5.12,-62.00
05:30 - 05:45,85.93,0.00,-0.30,5.99,-59.00
05:45 - 06:00,92.69,0.00,-0.30,6.95,-63.00
06:00 - 06:15,58.90,-17.00,-0.30,7.43,-67.00
06:15 - 06:30,17.38,-45.00,-0.30,7.53,-99.00
06:30 - 06:45,131.31,0.00,-0.30,7.82,-119.00
06:45 - 07:00,103.31,0.00,-0.30,8.01,-104.00
07:00 - 07:15,20.28,0.00,-0.30,8.30,-93.00
07:15 - 07:30,40.55,0.00,-0.30,8.21,-105.00
