Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,58.51,0.00,7.39,0.00,13.43
00:15 - 00:30,32.62,0.00,7.00,0.00,1.92
00:30 - 00:45,0.00,0.00,6.72,0.00,0.00
00:45 - 01:00,0.00,0.00,6.52,0.00,-20.00
01:00 - 01:15,30.69,0.00,6.43,0.00,-13.00
01:15 - 01:30,29.74,0.00,6.33,0.00,-13.00
01:30 - 01:45,36.45,-10.00,6.33,0.00,-12.00
01:45 - 02:00,34.54,-15.00,6.33,0.00,-12.00
02:00 - 02:15,22.06,0.00,6.24,0.00,-9.00
02:15 - 02:30,23.02,0.00,6.14,0.00,-9.00
02:30 - 02:45,34.53,0.00,6.14,0.00,-5.00
02:45 - 03:00,36.46,0.00,6.04,0.00,-3.00
03:00 - 03:15,36.46,0.00,6.04,0.00,-19.00
03:15 - 03:30,36.45,0.00,5.95,0.00,-27.00
03:30 - 03:45,32.61,0.00,5.95,0.00,-30.00
03:45 - 04:00,35.49,0.00,5.95,0.00,-37.00
04:00 - 04:15,27.82,0.00,6.14,0.00,-24.00
04:15 - 04:30,31.66,0.00,6.52,0.00,-22.00
04:30 - 04:45,34.53,0.00,6.72,0.00,-24.00
04:45 - 05:00,27.82,0.00,7.48,0.00,-25.00
05:00 - 05:15,82.50,0.00,5.28,0.00,-38.00
05:15 - 05:30,57.56,-10.00,7.96,0.00,-58.00
05:30 - 05:45,29.74,-28.00,0.96,0.00,-33.00
05:45 - 06:00,59.47,-15.00,1.73,0.00,-10.00
06:00 - 06:15,17.26,0.00,3.65,0.00,-17.00
06:15 - 06:30,68.11,0.00,5.28,0.00,-9.00
06:30 - 06:45,99.77,23.98,6.04,0.00,-19.00
06:45 - 07:00,95.93,14.39,6.81,0.00,3.84
07:00 - 07:15,96.89,0.00,7.48,0.00,41.25
07:15 - 07:30,82.50,0.00,8.25,0.00,37.41
07:30 - 07:45,96.89,0.00,9.21,0.00,59.48
07:45 - 08:00,120.87,0.00,10.17,0.00,53.72
08:00 - 08:15,107.44,4.80,10.55,0.00,76.74
08:15 - 08:30,81.54,0.00,10.74,0.00,84.42
08:30 - 08:45,128.55,-5.00,19.86,0.00,51.80
08:45 - 09:00,131.42,-9.00,19.76,0.00,58.52
09:00 - 09:15,105.52,0.00,15.73,0.00,31.66
09:15 - 09:30,92.09,0.00,14.97,0.00,28.78
09:30 - 09:45,92.09,-35.00,14.20,0.00,40.29
09:45 - 10:00,65.23,-26.00,13.43,0.00,11.51
10:00 - 10:15,-7.00,-33.00,11.70,0.00,-3.00
10:15 - 10:30,-33.00,-41.00,10.94,0.00,-4.00
10:30 - 10:45,8.63,0.00,10.17,0.00,-4.00
10:45 - 11:00,8.63,0.00,9.40,0.00,-3.00
11:00 - 11:15,-5.00,4.80,10.55,0.00,0.00
11:15 - 11:30,-30.00,22.07,10.07,0.00,0.00
11:30 - 11:45,-37.00,17.27,9.59,0.00,28.78
11:45 - 12:00,-23.00,18.23,9.40,0.00,19.18
12:00 - 12:15,-2.00,11.52,7.67,0.00,-25.00
12:15 - 12:30,-42.00,17.27,7.67,0.00,-40.00
12:30 - 12:45,-52.00,0.00,7.67,0.00,-30.00
12:45 - 13:00,-45.00,0.00,7.67,0.00,-10.00
13:00 - 13:15,-62.00,0.00,7.67,0.00,-20.00
13:15 - 13:30,-35.00,0.00,7.19,0.00,-10.00
13:30 - 13:45,-21.00,0.00,6.24,0.00,19.18
13:45 - 14:00,-18.00,0.00,5.76,0.00,19.18
14:00 - 14:15,0.00,0.00,5.76,0.00,33.57
14:15 - 14:30,15.35,0.00,6.24,0.00,33.57
14:30 - 14:45,42.20,0.00,6.24,0.00,28.78
14:45 - 15:00,48.92,0.00,6.72,0.00,28.78
15:00 - 15:15,68.10,5.76,6.72,0.00,28.78
15:15 - 15:30,23.02,9.59,6.72,0.00,28.78
15:30 - 15:45,65.23,-28.00,6.72,0.00,28.78
15:45 - 16:00,49.88,0.00,6.72,0.00,28.78
16:00 - 16:15,47.97,-5.00,9.11,0.00,-10.00
16:15 - 16:30,51.81,-15.00,9.59,0.00,-5.00
16:30 - 16:45,65.23,-72.00,9.59,0.00,14.39
16:45 - 17:00,66.19,-117.00,9.59,0.00,33.58
17:00 - 17:15,98.81,-108.00,8.15,0.00,-90.00
17:15 - 17:30,118.96,-91.00,8.63,1.63,0.00
17:30 - 17:45,78.67,-91.00,10.55,1.53,-70.00
17:45 - 18:00,44.13,-99.00,11.51,2.11,-50.00
18:00 - 18:15,32.62,-7.00,12.47,4.22,91.13
18:15 - 18:30,35.49,-8.00,12.47,2.49,95.94
18:30 - 18:45,19.19,0.00,12.47,2.97,0.00
18:45 - 19:00,9.59,-5.00,12.47,0.10,-120.00
19:00 - 19:15,52.77,0.00,11.51,0.00,38.37
19:15 - 19:30,67.15,42.21,10.55,0.00,52.76
19:30 - 19:45,47.97,70.98,10.55,0.00,33.58
19:45 - 20:00,69.07,18.23,10.55,0.00,-10.00
20:00 - 20:15,52.76,84.42,10.84,0.00,19.19
20:15 - 20:30,17.27,64.27,10.55,0.00,19.19
20:30 - 20:45,20.15,54.68,10.36,0.00,9.59
20:45 - 21:00,20.15,45.08,9.88,0.00,6.72
21:00 - 21:15,31.65,28.78,9.59,0.00,6.72
21:15 - 21:30,30.69,19.19,8.92,0.00,14.39
21:30 - 21:45,70.98,33.58,7.96,0.00,28.78
21:45 - 22:00,82.50,23.98,7.87,0.00,28.78
22:00 - 22:15,78.66,52.76,10.65,0.00,38.37
22:15 - 22:30,69.07,38.37,9.78,0.00,33.58
22:30 - 22:45,62.36,23.98,9.59,0.00,28.78
22:45 - 23:00,59.47,23.98,8.83,0.00,28.78
23:00 - 23:15,48.92,33.58,8.44,0.00,28.78
23:15 - 23:30,52.76,33.58,8.15,0.00,28.78
23:30 - 23:45,70.03,33.58,7.96,0.00,28.78
23:45 - 24:00,83.46,19.19,7.67,0.00,28.78
