Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,240.83,149.31,18.01,-29.00,-118.00
00:15 - 00:30,218.68,68.39,17.72,-31.00,-105.00
00:30 - 00:45,116.56,53.94,17.44,-33.00,-90.00
00:45 - 01:00,65.51,52.98,17.34,-36.00,-90.00
01:00 - 01:15,15.41,104.04,17.15,-37.00,-103.00
01:15 - 01:30,-61.00,71.29,16.95,-39.00,-168.00
01:30 - 01:45,-47.00,59.73,16.76,-40.00,-100.00
01:45 - 02:00,-42.00,54.91,16.57,-40.00,-55.00
02:00 - 02:15,23.12,45.27,16.38,-44.00,-52.00
02:15 - 02:30,20.23,46.23,16.38,-45.00,-48.00
02:30 - 02:45,26.97,33.71,16.38,-46.00,17.34
02:45 - 03:00,26.01,38.53,16.38,-48.00,21.19
03:00 - 03:15,58.76,38.53,17.34,-48.00,32.75
03:15 - 03:30,50.09,37.57,17.34,-48.00,32.75
03:30 - 03:45,38.53,31.79,16.95,-46.00,4.82
03:45 - 04:00,49.13,21.19,16.95,-46.00,7.71
04:00 - 04:15,0.00,40.46,16.95,-44.00,0.00
04:15 - 04:30,0.00,38.54,16.95,-44.00,0.00
04:30 - 04:45,-13.00,29.87,16.95,-43.00,14.45
04:45 - 05:00,-23.00,6.74,16.77,-45.00,9.63
05:00 - 05:15,-28.00,62.61,16.57,-44.00,0.00
05:15 - 05:30,-43.00,60.68,16.38,-43.00,0.00
05:30 - 05:45,32.75,47.20,16.38,-43.00,0.00
05:45 - 06:00,26.01,51.05,16.38,-44.00,0.00
06:00 - 06:15,82.84,60.69,16.38,-43.00,0.00
06:15 - 06:30,74.13,51.05,16.38,-44.00,0.00
06:30 - 06:45,136.78,50.09,16.38,-43.00,19.27
06:45 - 07:00,121.37,12.52,16.38,-42.00,19.27
07:00 - 07:15,121.37,76.10,16.38,-31.00,-141.00
07:15 - 07:30,109.81,61.65,16.38,-31.00,-119.00
07:30 - 07:45,52.98,67.43,16.38,-31.00,-75.00
07:45 - 08:00,68.40,62.61,16.38,-29.00,9.63
08:00 - 08:15,167.61,70.32,9.63,-29.00,36.61
08:15 - 08:30,187.84,4.82,9.63,-29.00,31.79
08:30 - 08:45,178.22,3.85,10.11,-28.00,77.06
08:45 - 09:00,191.70,-125.00,10.11,-24.00,111.74
09:00 - 09:15,262.97,-113.00,7.71,-79.00,144.50
09:15 - 09:30,274.54,-110.00,8.19,-72.00,163.76
09:30 - 09:45,154.13,-115.00,8.19,-72.00,192.66
09:45 - 10:00,136.79,-121.00,8.67,-69.00,163.76
10:00 - 10:15,123.30,-97.00,7.22,-66.00,134.87
10:15 - 10:30,133.90,-101.00,7.51,-61.00,125.23
10:30 - 10:45,202.29,0.00,7.71,-57.00,139.68
10:45 - 11:00,200.37,0.00,7.80,-54.00,142.57
11:00 - 11:15,197.47,-80.00,6.94,-67.00,105.00
11:15 - 11:30,197.48,-74.00,6.94,-59.00,108.85
11:30 - 11:45,222.52,-51.00,6.94,-56.00,82.84
11:45 - 12:00,219.63,-50.00,6.94,-54.00,91.51
12:00 - 12:15,225.41,-50.00,6.36,-48.00,89.59
12:15 - 12:30,229.27,-48.00,6.36,-46.00,103.07
12:30 - 12:45,219.63,-33.00,6.36,-46.00,110.78
12:45 - 13:00,210.96,-34.00,6.74,-44.00,106.93
13:00 - 13:15,208.08,-32.00,6.74,-43.00,94.40
13:15 - 13:30,207.11,-33.00,6.74,-42.00,159.91
13:30 - 13:45,98.26,-62.00,6.74,-41.00,245.64
13:45 - 14:00,95.37,-53.00,6.74,-41.00,259.13
14:00 - 14:15,20.23,-90.00,8.48,-38.00,192.66
14:15 - 14:30,27.94,-75.00,8.48,-37.00,219.63
14:30 - 14:45,-23.00,-47.00,8.48,-32.00,137.75
14:45 - 15:00,-16.00,-55.00,8.48,-31.00,163.76
15:00 - 15:15,-18.00,0.00,11.27,-30.00,152.20
15:15 - 15:30,-11.00,0.00,11.27,-27.00,171.47
15:30 - 15:45,-37.00,-36.00,11.27,-30.00,137.75
15:45 - 16:00,-35.00,-33.00,11.27,-33.00,135.83
16:00 - 16:15,-19.00,-41.00,14.16,-14.00,95.37
16:15 - 16:30,-32.00,-40.00,14.16,-25.00,91.51
16:30 - 16:45,-13.00,-38.00,14.16,-27.00,20.23
16:45 - 17:00,-3.00,0.00,14.16,-30.00,-11.00
17:00 - 17:15,-7.00,0.00,19.75,-9.00,-40.00
17:15 - 17:30,-12.00,0.00,20.23,-9.00,-50.00
17:30 - 17:45,-12.00,0.00,20.23,-9.00,-60.00
17:45 - 18:00,-15.00,0.00,20.71,-9.00,-60.00
18:00 - 18:15,-63.00,0.00,21.19,-9.00,-130.00
18:15 - 18:30,-63.00,0.00,21.19,-9.00,-115.00
18:30 - 18:45,9.63,0.00,21.20,-9.00,-100.00
18:45 - 19:00,0.00,-15.00,21.19,-13.00,-170.00
19:00 - 19:15,-13.00,-50.00,21.19,-9.00,-5.00
19:15 - 19:30,-23.00,9.63,21.67,-21.00,130.05
19:30 - 19:45,14.45,33.72,21.67,-19.00,120.41
19:45 - 20:00,-37.00,-21.00,21.67,-20.00,120.42
20:00 - 20:15,0.00,-55.00,21.67,-23.00,125.23
20:15 - 20:30,0.00,-55.00,21.67,-25.00,149.32
20:30 - 20:45,38.53,0.00,21.67,-17.00,158.95
20:45 - 21:00,64.54,0.00,21.19,-17.00,173.40
21:00 - 21:15,91.51,91.51,20.90,-18.00,134.87
21:15 - 21:30,55.87,55.87,20.71,-24.00,105.97
21:30 - 21:45,53.94,19.27,20.52,-25.00,72.25
21:45 - 22:00,73.21,26.01,20.23,-25.00,62.61
22:00 - 22:15,15.41,52.02,19.94,-25.00,48.17
22:15 - 22:30,17.34,53.94,19.75,-24.00,48.17
22:30 - 22:45,53.95,32.75,19.55,-20.00,48.17
22:45 - 23:00,85.72,33.72,19.27,-20.00,43.35
23:00 - 23:15,56.82,42.39,18.98,-21.00,36.61
23:15 - 23:30,58.76,43.35,18.59,-22.00,28.90
23:30 - 23:45,46.24,33.72,18.59,-23.00,38.53
23:45 - 24:00,-73.00,-5.00,18.59,-24.00,21.19
