Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-26.00,41.39,-1.10,16.94,0.00,19.25
00:15 - 00:30,-123.00,23.10,-1.10,16.46,0.00,33.69
00:30 - 00:45,-68.00,10.59,-1.10,16.45,-50.00,14.44
00:45 - 01:00,-69.00,-1.00,-1.10,15.98,-22.00,19.25
01:00 - 01:15,-99.00,16.36,-1.10,15.98,-32.00,67.38
01:15 - 01:30,-95.00,4.81,-1.10,15.50,-31.00,72.19
01:30 - 01:45,-74.00,9.63,-1.10,14.53,-32.00,57.75
01:45 - 02:00,-23.00,4.81,-1.10,14.53,-32.00,57.76
02:00 - 02:15,46.20,-22.00,-1.40,14.05,-30.00,-80.00
02:15 - 02:30,41.39,-24.00,-1.40,14.05,-35.00,-80.00
02:30 - 02:45,15.40,-44.00,-1.40,14.05,-33.00,-50.00
02:45 - 03:00,0.00,-61.00,-1.40,14.05,-29.00,-40.00
03:00 - 03:15,25.03,46.20,-1.40,14.05,-30.00,-20.00
03:15 - 03:30,45.24,55.83,-1.40,14.05,-29.00,-20.00
03:30 - 03:45,45.24,37.54,-1.40,14.05,-28.00,-20.00
03:45 - 04:00,26.95,43.32,-1.40,14.05,-30.00,-20.00
04:00 - 04:15,16.36,55.83,-1.40,14.53,-30.00,-35.00
04:15 - 04:30,37.54,76.04,-1.40,14.53,-31.00,-35.00
04:30 - 04:45,46.20,56.79,-1.40,14.53,-33.00,-25.00
04:45 - 05:00,36.58,58.71,-1.40,14.53,-33.00,-30.00
05:00 - 05:15,38.50,10.59,-1.40,14.53,-33.00,9.63
05:15 - 05:30,43.32,15.40,-1.40,14.63,-33.00,4.81
05:30 - 05:45,51.98,24.06,-1.40,14.82,-33.00,-10.00
05:45 - 06:00,42.34,33.69,-1.40,15.02,-33.00,-20.00
06:00 - 06:15,55.83,-63.00,-1.40,15.11,-33.00,-80.00
06:15 - 06:30,54.86,-52.00,-1.40,15.21,-33.00,-85.00
06:30 - 06:45,60.64,-5.00,-1.40,15.30,-30.00,-80.00
06:45 - 07:00,42.35,-13.00,-1.40,15.40,-29.00,-20.00
07:00 - 07:15,-9.00,86.62,-1.40,15.50,-30.00,-45.00
07:15 - 07:30,30.80,94.32,-1.40,15.50,-31.00,-25.00
07:30 - 07:45,22.14,101.06,-1.40,15.98,-32.00,-145.00
07:45 - 08:00,14.44,119.35,-1.40,15.98,-30.00,-115.00
08:00 - 08:15,49.08,48.13,-1.40,12.80,-28.00,-60.00
08:15 - 08:30,2.89,-19.00,-1.40,12.80,-27.00,-60.00
08:30 - 08:45,-7.00,-104.00,-1.40,13.28,-17.00,-40.00
08:45 - 09:00,-31.00,-115.00,-1.40,13.28,-17.00,-30.00
09:00 - 09:15,9.63,-124.00,-0.40,11.06,-18.00,-30.00
09:15 - 09:30,0.00,-124.00,-0.40,11.07,-17.00,-30.00
09:30 - 09:45,-19.00,-93.00,0.00,11.55,0.00,-25.00
09:45 - 10:00,-30.00,-101.00,0.00,11.55,0.00,-50.00
10:00 - 10:15,-36.45,-89.00,0.00,10.20,0.00,-75.00
10:15 - 10:30,-34.95,-87.00,0.00,10.20,0.00,-55.00
10:30 - 10:45,-20.93,-36.00,0.00,10.68,0.00,-10.00
10:45 - 11:00,-5.47,-27.00,0.00,10.68,0.00,0.00
11:00 - 11:15,0.00,-75.00,0.00,10.68,0.00,9.63
11:15 - 11:30,0.00,-74.00,0.00,10.68,0.00,9.63
11:30 - 11:45,32.73,-34.00,0.00,9.14,0.00,0.00
11:45 - 12:00,34.65,-33.00,0.00,9.14,0.00,0.00
12:00 - 12:15,-67.00,-62.00,0.00,9.14,0.00,-5.00
12:15 - 12:30,-68.00,-47.00,0.00,9.14,0.00,-5.00
12:30 - 12:45,-96.49,-57.00,0.00,8.66,0.00,-20.00
12:45 - 13:00,-94.51,-62.00,0.00,8.66,0.00,-20.00
13:00 - 13:15,-55.27,-57.00,0.00,8.47,0.00,-90.00
13:15 - 13:30,-59.87,-61.00,0.00,8.47,0.00,-100.00
13:30 - 13:45,-106.02,-9.00,0.00,8.18,0.00,-65.00
13:45 - 14:00,-98.54,-10.00,0.00,8.18,0.00,-25.00
14:00 - 14:15,-54.00,-19.00,-0.40,9.14,-40.00,0.00
14:15 - 14:30,-31.00,-26.00,-0.40,9.14,-35.00,0.00
14:30 - 14:45,-65.00,0.00,-0.40,9.14,-33.00,9.63
14:45 - 15:00,-45.00,0.00,-0.40,8.66,-35.00,14.44
15:00 - 15:15,11.55,-27.00,-0.40,9.63,-27.00,14.43
15:15 - 15:30,28.87,-15.00,-0.40,9.63,-28.00,14.44
15:30 - 15:45,87.59,-21.00,-0.40,9.63,-24.00,4.81
15:45 - 16:00,101.06,-13.00,-0.40,9.63,-25.00,4.81
16:00 - 16:15,-35.00,9.63,-0.40,13.48,-25.00,24.05
16:15 - 16:30,-112.00,9.63,-0.40,13.96,-25.00,34.64
16:30 - 16:45,-60.00,9.63,-0.40,14.44,-28.00,19.24
16:45 - 17:00,-64.00,0.00,-0.40,14.91,-27.00,9.63
17:00 - 17:15,-73.00,0.00,-0.40,19.25,-28.00,-16.00
17:15 - 17:30,-100.00,-20.00,-0.40,19.73,-31.00,-4.00
17:30 - 17:45,0.00,-32.00,-0.40,20.22,-34.00,16.36
17:45 - 18:00,0.00,-29.00,-0.40,20.21,-34.00,-6.00
18:00 - 18:15,-63.00,-52.00,-0.40,20.69,-36.00,-34.00
18:15 - 18:30,-32.00,-31.00,-0.40,20.69,-41.00,-23.00
18:30 - 18:45,-25.00,0.00,-0.40,21.18,-56.00,-1.00
18:45 - 19:00,83.73,0.00,-0.40,21.18,-55.00,-101.00
19:00 - 19:15,19.25,29.84,-0.40,22.14,-66.00,68.33
19:15 - 19:30,0.00,30.80,-0.40,22.14,-66.00,122.24
19:30 - 19:45,0.00,46.20,-0.40,22.14,-66.00,73.15
19:45 - 20:00,0.00,38.50,-0.40,22.14,-67.00,-1.00
20:00 - 20:15,-33.00,14.44,-0.40,21.65,-66.00,-19.00
20:15 - 20:30,-26.00,14.44,-0.40,21.65,-66.00,-177.00
20:30 - 20:45,9.63,46.19,-0.40,21.18,-64.00,46.20
20:45 - 21:00,8.66,37.54,-0.40,20.21,-64.00,21.18
21:00 - 21:15,25.03,15.40,-0.40,19.25,-64.00,11.55
21:15 - 21:30,31.76,19.25,-0.40,19.25,-63.00,18.29
21:30 - 21:45,102.02,14.44,-0.40,19.25,-66.00,-194.00
21:45 - 22:00,101.07,58.71,-0.40,19.25,-66.00,-133.00
22:00 - 22:15,48.12,0.00,-0.40,18.29,-67.00,-182.00
22:15 - 22:30,0.00,33.69,-0.40,18.29,-67.00,-144.00
22:30 - 22:45,44.27,30.80,-0.40,17.33,-62.00,-14.00
22:45 - 23:00,40.42,33.69,-0.40,17.33,-57.00,-12.00
23:00 - 23:15,43.31,46.21,-0.40,16.36,-56.00,-32.00
23:15 - 23:30,21.18,40.42,-0.40,16.36,-55.00,-31.00
23:30 - 23:45,96.26,43.31,-0.40,16.84,-55.00,-66.00
23:45 - 24:00,69.31,31.76,-0.40,16.84,-57.00,-56.00
