NOAR ID,Time Block,Time Desc,GNA Approved,GNA Schedule,GNA-RE Approved,GNA-RE Schedule,T-GNA Approved,T-GNA Schedule,T-GNA-RE Approved,T-GNA-RE Schedule
N0RDD100283,80,19:45-20:00,2015,1989.0152,0,0,0,0,0,0
N0RDD100283,81,20:00-20:15,2015,1941.7152,0,0,0,0,0,0
N0RDD100283,82,20:15-20:30,2015,1942.7752,0,0,0,0,0,0
N0RDD100283,83,20:30-20:45,2015,1954.2052,0,0,0,0,0,0
N0RDD100283,84,20:45-21:00,2015,1932.1052,0,0,0,0,0,0
N0RDD100283,85,21:00-21:15,2015,1928.4852,0,0,0,0,0,0
N0RDD100283,86,21:15-21:30,2015,1932.8052,0,0,0,0,0,0
N0RDD100283,87,21:30-21:45,2015,1939.1852,0,0,0,0,0,0
N0RDD100283,88,21:45-22:00,2015,1965.8552,0,0,0,0,0,0
N0RDD100283,89,22:00-22:15,2015,1958.1852,0,0,0,0,0,0
N0RDD100283,90,22:15-22:30,2015,1961.6752,0,0,0,0,0,0
N0RDD100283,91,22:30-22:45,2015,1966.7952,0,0,0,0,0,0
N0RDD100283,92,22:45-23:00,2015,1947.7052,0,0,0,0,0,0
N0RDD100283,93,23:00-23:15,2015,1935.6152,0,0,0,0,0,0
N0RDD100283,94,23:15-23:30,2015,1938.7952,0,0,0,0,0,0
N0RDD100283,95,23:30-23:45,2015,1941.1852,0,0,0,0,0,0
N0RDD100283,96,23:45-24:00,2015,1941.9052,0,0,0,0,0,0
N0RDD200327,1,00:00-00:15,1081,1082.5472,0,0,0,0,0,0
N0RDD200327,2,00:15-00:30,1081,1082.5672,0,0,0,0,0,0
N0RDD200327,3,00:30-00:45,1081,979.7772,0,0,0,0,0,0
N0RDD200327,4,00:45-01:00,1081,978.5072,0,0,0,0,0,0
N0RDD200327,5,01:00-01:15,1081,969.7772,0,0,0,0,0,0
N0RDD200327,6,01:15-01:30,1081,969.6072,0,0,0,0,0,0
N0RDD200327,7,01:30-01:45,1081,909.4672,0,0,0,0,0,0
N0RDD200327,8,01:45-02:00,1081,883.2272,0,0,0,0,0,0
N0RDD200327,9,02:00-02:15,1081,871.96211,0,0,0,0,0,0
N0RDD200327,10,02:15-02:30,1081,872.05211,0,0,0,0,0,0
N0RDD200327,11,02:30-02:45,1081,864.100806,0,0,0,0,0,0
N0RDD200327,12,02:45-03:00,1081,864.080806,0,0,0,0,0,0
N0RDD200327,13,03:00-03:15,1081,870.184412,0,0,0,0,0,0
N0RDD200327,14,03:15-03:30,1081,873.234412,0,0,0,0,0,0
N0RDD200327,15,03:30-03:45,1081,870.364412,0,0,0,0,0,0
N0RDD200327,16,03:45-04:00,1081,870.294412,0,0,0,0,0,0
N0RDD200327,17,04:00-04:15,1081,871.334412,0,0,0,0,0,0
N0RDD200327,18,04:15-04:30,1081,905.014412,0,0,0,0,0,0
N0RDD200327,19,04:30-04:45,1081,902.464412,0,0,0,0,0,0
N0RDD200327,20,04:45-05:00,1081,903.044412,0,0,0,0,0,0
N0RDD200327,21,05:00-05:15,1081,868.844412,0,0,0,0,0,0
N0RDD200327,22,05:15-05:30,1081,869.064412,0,0,0,0,0,0
N0RDD200327,23,05:30-05:45,1081,874.324412,0,0,0,0,0,0
N0RDD200327,24,05:45-06:00,1081,979.514412,0,0,0,0,0,0
N0RDD200327,25,06:00-06:15,1081,917.764412,0,0,0,0,0,0
N0RDD200327,26,06:15-06:30,1081,920.624412,0,0,0,0,0,0
N0RDD200327,27,06:30-06:45,1081,938.434412,0,0,0,0,0,0
N0RDD200327,28,06:45-07:00,1081,944.814412,0,0,0,0,0,0
N0RDD200327,29,07:00-07:15,1081,989.274412,0,0,0,0,0,0
N0RDD200327,30,07:15-07:30,1081,983.874412,0,0,0,0,0,0
N0RDD200327,31,07:30-07:45,1081,988.094412,0,0,0,0,0,0
N0RDD200327,32,07:45-08:00,1081,1005.514412,0,0,0,0,0,0
N0RDD200327,33,08:00-08:15,1081,948.614412,0,0,0,0,0,0
N0RDD200327,34,08:15-08:30,1081,963.834412,0,0,0,0,0,0
N0RDD200327,35,08:30-08:45,1081,982.714412,0,0,0,0,0,0
N0RDD200327,36,08:45-09:00,1081,999.044412,0,0,0,0,0,0
N0RDD200327,37,09:00-09:15,1081,1004.624412,0,0,0,0,0,0
N0RDD200327,38,09:15-09:30,1081,1018.274412,0,0,0,0,0,0
N0RDD200327,39,09:30-09:45,1081,1015.134412,0,0,0,0,0,0
N0RDD200327,40,09:45-10:00,1081,1029.354412,0,0,0,0,0,0
