Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,271.47,-130.00,0.00,-57.00,-63.00
00:15 - 00:30,247.32,-137.00,0.00,-56.00,-4.00
00:30 - 00:45,194.19,-51.00,0.00,-55.00,84.05
00:45 - 01:00,150.71,-34.00,0.00,-54.00,109.17
01:00 - 01:15,93.71,-35.00,-0.50,-55.00,114.00
01:15 - 01:30,50.24,-90.00,-0.70,-55.00,113.03
01:30 - 01:45,19.32,13.53,-1.00,-54.00,60.86
01:45 - 02:00,-19.00,19.32,-1.00,-54.00,83.09
02:00 - 02:15,77.29,0.00,-1.50,-34.00,88.88
02:15 - 02:30,55.07,0.00,-1.50,-32.00,89.85
02:30 - 02:45,12.56,0.00,-1.50,-35.00,96.61
02:45 - 03:00,-24.00,0.00,-1.50,-35.00,94.68
03:00 - 03:15,22.22,14.49,-2.20,-35.00,112.07
03:15 - 03:30,0.00,14.49,-2.20,-36.00,96.61
03:30 - 03:45,20.29,10.63,-3.00,-35.00,136.22
03:45 - 04:00,23.19,14.49,-3.00,-36.00,120.76
04:00 - 04:15,-18.00,28.98,-3.00,-36.00,115.94
04:15 - 04:30,-49.00,19.32,-3.30,-37.00,106.27
04:30 - 04:45,-63.00,19.32,-3.50,-36.00,128.49
04:45 - 05:00,-87.00,19.32,-4.00,-36.00,120.76
05:00 - 05:15,-129.00,0.00,-4.00,-38.00,48.31
05:15 - 05:30,-160.00,0.00,-4.00,-39.00,62.80
05:30 - 05:45,-172.00,9.66,-3.50,-40.00,59.90
05:45 - 06:00,-169.00,9.66,-3.50,-40.00,45.41
06:00 - 06:15,-110.00,-4.00,-3.50,-40.00,74.39
06:15 - 06:30,-55.00,13.53,-3.50,-41.00,73.42
06:30 - 06:45,-70.00,15.46,-3.50,-40.00,128.49
06:45 - 07:00,-75.00,14.49,-3.50,-31.00,109.17
07:00 - 07:15,-70.00,8.69,-3.00,-34.00,70.53
07:15 - 07:30,-76.00,64.73,-2.50,-37.00,71.49
07:30 - 07:45,-57.00,-26.00,-2.20,-39.00,71.49
07:45 - 08:00,-42.00,-49.00,-2.20,-38.00,70.53
08:00 - 08:15,-33.00,-66.00,-8.20,-37.00,11.59
08:15 - 08:30,-40.00,-84.00,-8.20,-37.00,9.66
08:30 - 08:45,-51.00,-114.00,-8.20,-37.00,-11.00
08:45 - 09:00,-49.00,-135.00,-8.20,-50.00,-9.00
09:00 - 09:15,-26.00,-135.00,-1.20,0.00,-23.00
09:15 - 09:30,-513.00,-95.00,-1.20,0.00,-64.00
09:30 - 09:45,-632.00,-85.00,-0.74,0.00,-18.00
09:45 - 10:00,-632.00,-79.00,-0.70,0.00,1.93
10:00 - 10:15,-648.00,-59.00,0.00,0.00,-25.00
10:15 - 10:30,-664.00,-48.00,0.00,0.00,-10.00
10:30 - 10:45,-648.00,-27.00,0.00,0.00,5.80
10:45 - 11:00,-637.00,-15.00,0.00,0.00,-20.00
11:00 - 11:15,-628.00,4.83,0.00,0.00,-6.00
11:15 - 11:30,-608.00,15.46,0.00,0.00,4.83
11:30 - 11:45,-674.00,0.00,0.00,0.00,-33.00
11:45 - 12:00,-651.00,0.00,0.00,0.00,-22.00
12:00 - 12:15,-650.00,0.00,0.00,0.00,-28.00
12:15 - 12:30,-568.00,0.00,0.00,0.00,-5.00
12:30 - 12:45,-535.00,44.44,0.00,0.00,11.59
12:45 - 13:00,-518.00,35.74,0.00,0.00,5.80
13:00 - 13:15,-478.00,56.04,0.00,0.00,19.32
13:15 - 13:30,-458.00,57.00,0.00,0.00,14.49
13:30 - 13:45,-472.00,80.19,0.00,0.00,28.98
13:45 - 14:00,-475.00,93.71,0.00,0.00,63.76
14:00 - 14:15,-428.00,57.97,-4.00,0.00,101.44
14:15 - 14:30,-369.00,45.41,-4.00,0.00,72.45
14:30 - 14:45,-405.00,63.76,-5.00,0.00,115.93
14:45 - 15:00,-361.00,79.22,-5.00,0.00,143.95
15:00 - 15:15,-224.00,118.83,-2.00,0.00,183.56
15:15 - 15:30,-201.00,136.22,-2.00,0.00,202.88
15:30 - 15:45,-190.00,144.92,-2.00,0.00,236.68
15:45 - 16:00,-187.00,145.88,-1.50,0.00,241.53
16:00 - 16:15,134.29,0.00,1.45,0.00,231.86
16:15 - 16:30,115.93,19.32,1.45,0.00,231.87
16:30 - 16:45,142.98,54.10,1.64,0.00,246.36
16:45 - 17:00,133.32,61.83,1.64,0.00,246.36
17:00 - 17:15,64.73,133.32,7.73,-10.00,241.52
17:15 - 17:30,16.42,164.24,8.02,-10.00,231.86
17:30 - 17:45,137.19,142.98,8.21,-10.00,212.54
17:45 - 18:00,131.39,125.59,8.21,-10.00,205.78
18:00 - 18:15,-173.00,-20.00,8.69,-10.00,96.61
18:15 - 18:30,-179.00,-20.00,8.69,0.00,96.61
18:30 - 18:45,-278.00,-70.00,1.93,0.00,96.61
18:45 - 19:00,-274.00,-60.00,1.93,0.00,86.95
19:00 - 19:15,-178.00,-97.00,3.86,0.00,77.29
19:15 - 19:30,-216.00,-82.00,3.86,0.00,57.97
19:30 - 19:45,-181.00,-48.00,3.86,0.00,43.48
19:45 - 20:00,-258.00,-64.00,3.86,0.00,43.48
20:00 - 20:15,-258.00,-59.00,3.86,0.00,53.14
20:15 - 20:30,-283.00,-56.00,3.86,0.00,62.80
20:30 - 20:45,-299.00,-43.00,3.86,0.00,4.83
20:45 - 21:00,-274.00,-49.00,3.86,0.00,14.50
21:00 - 21:15,-250.00,-115.00,3.86,0.00,9.67
21:15 - 21:30,-154.00,-66.00,3.86,0.00,86.95
21:30 - 21:45,-147.00,-62.00,3.86,0.00,86.95
21:45 - 22:00,-168.00,-81.00,3.86,0.00,77.29
22:00 - 22:15,-94.00,-73.00,3.86,0.00,57.97
22:15 - 22:30,-60.00,-74.00,3.86,0.00,57.97
22:30 - 22:45,0.00,-97.00,3.86,0.00,48.31
22:45 - 23:00,64.73,-44.00,3.86,0.00,62.80
23:00 - 23:15,122.70,-57.00,3.86,0.00,67.63
23:15 - 23:30,135.25,-61.00,3.86,0.00,57.97
23:30 - 23:45,152.65,-73.00,3.86,0.00,77.29
23:45 - 24:00,141.05,-76.00,3.86,0.00,77.29
