Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,60.81,15.44,-17.00,0.00,50.20
00:15 - 00:30,19.31,62.74,14.48,-19.00,0.00,40.54
00:30 - 00:45,0.00,71.44,13.51,-21.00,0.00,24.13
00:45 - 01:00,-8.00,58.88,12.55,-24.00,0.00,-110.00
01:00 - 01:15,-19.00,22.21,11.58,-36.00,0.00,-15.00
01:15 - 01:30,37.65,-11.00,11.58,-38.00,0.00,0.00
01:30 - 01:45,-43.00,-22.00,11.58,-41.00,0.00,4.83
01:45 - 02:00,-10.00,0.00,11.58,-43.00,0.00,14.48
02:00 - 02:15,15.45,15.44,10.62,-22.00,0.00,-22.00
02:15 - 02:30,83.02,0.00,10.62,-23.00,0.00,31.85
02:30 - 02:45,96.53,5.79,10.62,-15.00,0.00,27.99
02:45 - 03:00,94.60,-13.00,10.62,-27.00,0.00,30.89
03:00 - 03:15,0.00,49.23,10.62,-37.00,0.00,-46.00
03:15 - 03:30,47.30,34.75,10.62,-37.00,0.00,-16.00
03:30 - 03:45,99.42,19.31,10.62,-39.00,0.00,4.83
03:45 - 04:00,108.10,4.83,10.62,-40.00,0.00,4.83
04:00 - 04:15,146.73,49.23,9.65,-39.00,0.00,45.37
04:15 - 04:30,154.45,30.89,9.65,-38.00,0.00,10.62
04:30 - 04:45,122.60,12.55,9.65,-40.00,0.00,20.27
04:45 - 05:00,75.30,26.06,9.65,-40.00,0.00,20.27
05:00 - 05:15,72.39,0.00,10.62,-42.00,0.00,48.27
05:15 - 05:30,-11.00,0.00,10.62,-41.00,0.00,48.26
05:30 - 05:45,-48.00,0.00,11.58,-41.00,0.00,74.33
05:45 - 06:00,-52.00,0.00,11.59,-41.00,0.00,9.65
06:00 - 06:15,-56.00,28.96,21.24,-41.00,0.00,112.94
06:15 - 06:30,-56.00,14.48,22.20,-41.00,0.00,-6.00
06:30 - 06:45,0.00,0.00,22.20,-40.00,0.00,-105.00
06:45 - 07:00,-47.00,0.00,22.20,-41.00,0.00,-25.00
07:00 - 07:15,-47.00,0.00,23.17,-42.00,0.00,-65.00
07:15 - 07:30,-93.00,0.00,23.17,-41.00,0.00,-25.00
07:30 - 07:45,-16.00,0.00,23.17,-33.00,0.00,24.13
07:45 - 08:00,57.92,0.00,22.20,-20.00,0.00,23.17
08:00 - 08:15,98.46,62.74,23.17,-31.00,0.00,43.44
08:15 - 08:30,88.79,19.31,22.20,-16.00,0.00,43.44
08:30 - 08:45,160.24,38.61,26.06,-10.00,0.00,33.79
08:45 - 09:00,179.54,67.57,27.03,-10.00,0.00,33.79
09:00 - 09:15,224.92,109.08,27.99,-10.00,0.00,57.92
09:15 - 09:30,238.43,163.14,27.99,0.00,0.00,101.36
09:30 - 09:45,216.23,167.96,27.99,0.00,0.00,111.01
09:45 - 10:00,241.32,180.51,27.03,0.00,0.00,111.01
10:00 - 10:15,252.91,200.78,27.99,0.00,0.00,115.84
10:15 - 10:30,245.19,219.12,27.99,0.00,0.00,103.29
10:30 - 10:45,257.74,198.85,24.13,0.00,0.00,72.40
10:45 - 11:00,253.88,202.71,24.13,0.00,0.00,62.74
11:00 - 11:15,249.05,213.33,22.20,0.00,0.00,82.05
11:15 - 11:30,236.50,220.09,20.27,0.00,0.00,82.05
11:30 - 11:45,313.72,227.81,19.31,0.00,0.00,91.70
11:45 - 12:00,349.44,237.46,17.86,0.00,0.00,106.18
12:00 - 12:15,318.54,220.09,16.41,0.00,0.00,86.88
12:15 - 12:30,278.96,177.62,16.41,0.00,0.00,86.88
12:30 - 12:45,233.60,154.45,16.41,0.00,0.00,72.40
12:45 - 13:00,172.79,129.35,16.41,0.00,0.00,77.22
