timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD
1,56EnNDPL2025/05/12,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.5713,57.8400,0.0000,0.0000,0.0000,0.0000,27.6734,394.4441,35.8828,0.0000,65.2500,0.0000,0.0000,107.0000,0.0000,272.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2989,0.0000,0.0000,6.3814,28.2259,36.4397,0.0000,62.1270,42.8469,6.4833,12.8650,8.0936,13.9686,34.2113,0.0000,12.5622,19.9906,24.2187,0.0000,7.7714,2.7233,0.0000,0.0000,6.3562,0.0000,0.0000,0.0000,15.8861,0.0000,0.0000,0.0000,0.0000,15.7511,9.7879,12.9316,12.1244,5.9398,2.8043,15.1666,8.5953,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.9324,4.8200,0.0000,0.0000,200.0000,3.9200,5.5300,0.0000,0.0000,0.0000,0.0000,0.0000,23.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1153,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,6.0210,0.0000,0.0000,5.1009
2,56EnNDPL2025/05/12,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.5713,57.8400,0.0000,0.0000,0.0000,0.0000,27.6734,394.4441,35.8828,0.0000,65.2500,0.0000,0.0000,107.0000,0.0000,272.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2989,0.0000,0.0000,6.3814,28.2259,36.4397,0.0000,62.1270,42.8469,6.4833,12.8650,8.0936,13.9686,31.9563,0.0000,12.5622,19.9906,24.2187,0.0000,7.7714,2.7233,0.0000,0.0000,6.3562,0.0000,0.0000,0.0000,15.8861,0.0000,0.0000,0.0000,0.0000,15.7511,9.7879,12.9316,12.1244,5.9398,2.8043,15.1666,8.5953,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.9324,4.8200,0.0000,0.0000,200.0000,3.9200,5.5300,0.0000,0.0000,0.0000,0.0000,0.0000,22.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1153,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,6.0210,0.0000,0.0000,5.1009
3,56EnNDPL2025/05/12,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.5713,57.8400,0.0000,0.0000,0.0000,0.0000,27.6734,394.4441,35.8828,0.0000,65.2500,0.0000,0.0000,107.0000,0.0000,272.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2989,0.0000,0.0000,6.3814,28.2259,36.4397,0.0000,62.1270,42.8469,6.4833,12.8650,8.0936,13.9686,30.3333,0.0000,12.5622,19.9906,24.2187,0.0000,7.7714,2.7233,0.0000,0.0000,6.3562,0.0000,0.0000,0.0000,15.8861,0.0000,0.0000,0.0000,0.0000,15.7511,9.7879,12.9316,12.1244,5.9398,2.8043,15.1666,8.5953,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.9324,4.8200,0.0000,0.0000,200.0000,3.9200,5.5300,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1153,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,6.0210,0.0000,0.0000,5.1009
4,56EnNDPL2025/05/12,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.5713,57.8400,0.0000,0.0000,0.0000,0.0000,27.6734,394.4441,35.8828,0.0000,65.2500,0.0000,0.0000,107.0000,0.0000,272.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2989,0.0000,0.0000,6.3814,28.2259,36.4397,0.0000,62.1270,42.8469,6.4833,12.8650,8.0936,13.9686,30.3333,0.0000,12.5622,19.9906,24.2187,0.0000,7.7714,2.7233,0.0000,0.0000,6.3562,0.0000,0.0000,0.0000,15.8861,0.0000,0.0000,0.0000,0.0000,15.7511,9.7879,12.9316,12.1244,5.9398,2.8043,15.1666,8.5953,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.9324,4.8200,0.0000,0.0000,200.0000,3.9200,5.5300,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1153,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,6.0210,0.0000,0.0000,5.1009
5,56EnNDPL2025/05/12,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.5713,57.8400,0.0000,0.0000,0.0000,0.0000,27.6734,394.4441,35.8828,0.0000,65.2500,0.0000,0.0000,107.0000,0.0000,272.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2989,0.0000,0.0000,6.3814,28.2259,36.4397,0.0000,62.1270,42.8469,6.4833,12.8650,8.0936,13.9686,30.3333,0.0000,12.5622,19.9906,24.2187,0.0000,7.7714,2.7233,0.0000,0.0000,6.3562,0.0000,0.0000,0.0000,15.8861,0.0000,0.0000,0.0000,0.0000,15.7511,9.7879,12.9316,12.1244,5.9398,2.8043,15.1666,8.5953,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.9324,4.8200,0.0000,0.0000,200.0000,3.9200,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1153,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,6.0210,0.0000,0.0000,5.1009
6,56EnNDPL2025/05/12,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.5713,57.8400,0.0000,0.0000,0.0000,0.0000,27.6734,394.4441,35.8828,0.0000,65.2500,0.0000,0.0000,107.0000,0.0000,272.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2989,0.0000,0.0000,6.3814,28.2259,36.4397,0.0000,62.1270,42.8469,6.4833,12.8650,8.0936,13.9686,30.3333,0.0000,12.5622,19.9906,24.2187,0.0000,7.7714,2.7233,0.0000,0.0000,6.3562,0.0000,0.0000,0.0000,15.8861,0.0000,0.0000,0.0000,0.0000,15.7511,9.7879,12.9316,8.0805,5.9398,2.8043,15.1666,8.5953,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.9324,4.8200,0.0000,0.0000,200.0000,3.9200,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1153,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,6.0210,0.0000,0.0000,5.1009
7,56EnNDPL2025/05/12,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.5713,57.8400,0.0000,0.0000,0.0000,0.0000,27.6734,394.4441,35.8828,0.0000,65.2500,0.0000,0.0000,107.0000,0.0000,272.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2989,0.0000,0.0000,6.3814,28.2259,36.4397,0.0000,62.1270,42.8469,6.4833,12.8650,8.0936,13.9686,30.3333,0.0000,12.5622,19.9906,24.2187,0.0000,7.7714,2.7233,0.0000,0.0000,6.3562,0.0000,0.0000,0.0000,15.8861,0.0000,0.0000,0.0000,0.0000,15.7511,9.7879,12.9316,8.0805,5.9398,2.8043,15.1666,8.5953,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.9324,4.8200,0.0000,0.0000,200.0000,3.9200,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1153,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,6.0210,0.0000,0.0000,5.1009
8,56EnNDPL2025/05/12,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.5713,57.8400,0.0000,0.0000,0.0000,0.0000,27.6734,394.4441,35.8828,0.0000,65.2500,0.0000,0.0000,107.0000,0.0000,272.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2989,0.0000,0.0000,6.3814,28.2259,36.4397,0.0000,62.1270,42.8469,6.4833,12.8650,8.0936,13.9686,30.3333,0.0000,12.5622,19.9906,24.2187,0.0000,7.7714,2.7233,0.0000,0.0000,6.3562,0.0000,0.0000,0.0000,15.8861,0.0000,0.0000,0.0000,0.0000,15.7511,9.7879,12.9316,8.0805,5.9398,2.8043,15.1666,8.5953,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.9324,4.8200,0.0000,0.0000,200.0000,3.9200,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1153,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,6.0210,0.0000,0.0000,5.1009
9,56EnNDPL2025/05/12,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.5713,57.8400,0.0000,0.0000,0.0000,0.0000,27.6734,394.4441,35.8828,0.0000,65.2500,0.0000,0.0000,107.0000,0.0000,272.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2989,0.0000,0.0000,6.3814,28.2259,36.4397,0.0000,62.1270,42.8469,6.4833,12.8650,8.0936,13.9686,30.3333,0.0000,12.7243,19.9906,24.2187,0.0000,7.7714,2.7233,0.0000,0.0000,6.3562,0.0000,0.0000,0.0000,15.8861,0.0000,0.0000,0.0000,0.0000,15.7511,9.7879,12.9316,8.0805,5.9398,2.8043,15.1666,8.5953,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.9324,4.6600,0.0000,0.0000,200.0000,3.7800,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1153,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000,0.0000,6.0210,0.0000,0.0000,5.1009
10,56EnNDPL2025/05/12,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,11.5713,57.8400,0.0000,0.0000,0.0000,0.0000,27.6734,394.4441,35.8828,0.0000,65.2500,0.0000,0.0000,107.0000,0.0000,272.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2989,0.0000,0.0000,6.3814,28.2259,36.4397,0.0000,62.1270,42.8469,6.4833,12.8650,8.0936,13.9686,30.3333,0.0000,12.7243,19.9906,24.2187,0.0000,7.7714,2.7233,0.0000,0.0000,6.3562,0.0000,0.0000,0.0000,15.8861,0.0000,0.0000,0.0000,0.0000,15.7511,9.7879,12.9316,8.0805,5.9398,2.8043,15.1666,8.5953,0.0000,1.9236,4.0007,0.0000,0.0000,0.0000,208.8000,0.0000,0.9324,4.6600,0.0000,0.0000,200.0000,3.7800,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1153,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000,0.0000,6.0210,0.0000,0.0000,5.1009
