Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-76.00,-37.00,-1.80,4.04,-20.00
00:15 - 00:30,-72.00,-26.00,-1.80,3.75,-45.00
00:30 - 00:45,-30.00,-33.00,-1.80,3.56,-45.00
00:45 - 01:00,-42.00,-35.00,-1.80,3.46,-50.00
01:00 - 01:15,-41.00,-26.00,-1.80,3.37,-45.00
01:15 - 01:30,-37.00,-26.00,-1.80,3.27,-45.00
01:30 - 01:45,-16.00,-31.00,-1.80,3.08,-25.00
01:45 - 02:00,-26.00,-36.00,-1.80,3.08,-25.00
02:00 - 02:15,-7.00,0.00,-1.80,3.08,-25.00
02:15 - 02:30,-8.00,0.00,-1.73,3.08,-25.00
02:30 - 02:45,0.00,0.00,-1.80,3.08,-30.00
02:45 - 03:00,0.00,0.00,-1.80,3.08,-35.00
03:00 - 03:15,0.00,0.00,-1.80,3.08,-40.00
03:15 - 03:30,0.00,0.00,-1.80,3.08,-40.00
03:30 - 03:45,0.00,0.00,-1.80,3.08,-45.00
03:45 - 04:00,0.00,0.00,-1.80,3.27,-45.00
04:00 - 04:15,0.00,0.00,-1.80,3.56,-60.00
04:15 - 04:30,0.00,0.00,-1.80,4.14,-55.00
04:30 - 04:45,22.12,4.81,-1.80,4.33,-45.00
04:45 - 05:00,16.35,4.81,-1.80,5.77,-45.00
05:00 - 05:15,46.16,0.00,-1.80,4.81,-10.00
05:15 - 05:30,52.90,0.00,-1.80,8.17,-30.00
05:30 - 05:45,11.54,14.43,-1.80,0.77,-7.00
05:45 - 06:00,11.53,9.62,-1.80,2.89,-55.00
06:00 - 06:15,0.00,-3.00,-1.80,6.25,-105.00
06:15 - 06:30,0.00,-7.00,-1.80,7.21,19.24
06:30 - 06:45,0.00,-68.00,-1.80,8.17,-20.00
06:45 - 07:00,0.00,-136.00,-1.80,9.62,-65.00
07:00 - 07:15,-20.00,-86.00,-1.80,10.58,-15.00
07:15 - 07:30,-29.00,-74.00,-1.80,10.58,-105.00
07:30 - 07:45,-31.00,-40.00,-1.80,10.58,-135.00
07:45 - 08:00,-52.00,-41.00,-1.80,10.58,-170.00
08:00 - 08:15,-74.00,-37.00,-1.80,12.50,-160.00
08:15 - 08:30,-59.00,-35.00,-1.80,12.50,-165.00
08:30 - 08:45,0.00,-57.00,-1.80,21.73,-140.00
08:45 - 09:00,0.00,-76.00,-1.80,21.16,-140.00
09:00 - 09:15,29.81,-97.00,-1.10,17.31,-25.00
09:15 - 09:30,89.44,-35.00,-1.10,17.31,28.85
09:30 - 09:45,124.06,10.58,-1.10,17.31,24.04
09:45 - 10:00,117.32,-61.00,-1.10,15.68,0.00
