Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-28.00,11.54,17.31,-33.00,24.05
00:15 - 00:30,-44.00,11.54,17.31,-33.00,14.43
00:30 - 00:45,-97.00,0.00,17.31,-35.00,24.05
00:45 - 01:00,-146.00,0.00,17.31,-36.00,24.05
01:00 - 01:15,-150.00,9.62,17.31,-37.00,28.85
01:15 - 01:30,-102.00,9.62,17.31,-37.00,33.66
01:30 - 01:45,-65.00,0.00,17.31,-37.00,43.28
01:45 - 02:00,0.00,-5.00,16.83,-37.00,43.28
02:00 - 02:15,12.50,20.20,16.54,-39.00,28.86
02:15 - 02:30,29.82,15.39,16.35,-39.00,28.85
02:30 - 02:45,32.70,-9.00,16.06,-39.00,43.28
02:45 - 03:00,-20.00,-9.00,15.87,-40.00,76.94
03:00 - 03:15,67.33,28.85,15.58,-39.00,67.33
03:15 - 03:30,40.40,38.47,15.58,-40.00,67.32
03:30 - 03:45,61.56,38.47,15.39,-43.00,72.13
03:45 - 04:00,58.67,24.05,15.00,-44.00,91.37
04:00 - 04:15,50.01,62.52,14.43,-44.00,72.13
04:15 - 04:30,46.17,57.71,13.75,-44.00,48.09
04:30 - 04:45,39.43,64.44,13.47,-41.00,43.28
04:45 - 05:00,16.35,53.86,13.47,-41.00,48.09
05:00 - 05:15,-20.00,23.08,13.47,-40.00,57.71
05:15 - 05:30,39.43,0.00,13.47,-41.00,76.94
05:30 - 05:45,66.36,7.69,13.47,-44.00,88.49
05:45 - 06:00,69.25,6.73,13.75,-48.00,93.30
06:00 - 06:15,141.39,7.69,13.75,-47.00,110.61
06:15 - 06:30,110.61,0.00,13.75,-46.00,110.61
06:30 - 06:45,51.94,0.00,13.85,-47.00,129.84
06:45 - 07:00,15.39,0.00,14.23,-46.00,120.23
07:00 - 07:15,32.70,-16.00,15.00,-44.00,125.04
07:15 - 07:30,24.04,-25.00,15.58,-43.00,24.05
07:30 - 07:45,105.80,-32.00,16.83,-42.00,28.85
07:45 - 08:00,126.96,-28.00,18.27,-42.00,33.66
08:00 - 08:15,110.61,0.00,15.39,-41.00,43.28
08:15 - 08:30,100.99,7.69,16.35,-38.00,48.09
08:30 - 08:45,37.51,16.35,18.27,-22.00,48.10
08:45 - 09:00,33.66,46.17,19.04,-4.00,43.28
