Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-76.00,-63.00,-0.50,9.66,-47.00,144.92
00:15 - 00:30,-79.00,-82.00,-0.50,9.66,-47.00,130.42
00:30 - 00:45,-85.00,-95.00,-0.50,9.66,-47.00,149.75
00:45 - 01:00,-83.00,-116.00,-0.50,9.66,-48.00,120.76
01:00 - 01:15,-92.00,-107.00,-0.50,8.69,-46.00,106.28
01:15 - 01:30,-103.00,-128.00,-0.50,8.69,-46.00,86.95
01:30 - 01:45,-50.00,-118.00,-0.50,8.69,-46.00,101.45
01:45 - 02:00,-49.00,-132.00,-0.50,8.69,-47.00,57.97
02:00 - 02:15,126.56,-131.00,-0.50,8.69,-51.00,82.12
02:15 - 02:30,134.28,-124.00,-0.50,7.73,-52.00,57.97
02:30 - 02:45,67.63,3.86,-0.50,7.73,-52.00,67.63
02:45 - 03:00,59.89,7.73,-0.50,7.73,-52.00,57.97
03:00 - 03:15,61.83,27.05,-0.50,7.73,-52.00,53.14
03:15 - 03:30,57.00,10.63,-0.50,7.73,-52.00,33.81
03:30 - 03:45,80.19,-9.00,-0.50,7.73,-53.00,9.66
03:45 - 04:00,68.59,-18.00,-0.50,7.73,-52.00,19.32
04:00 - 04:15,62.80,-17.00,-0.10,7.73,-52.00,38.64
04:15 - 04:30,41.55,-17.00,-0.10,6.76,-52.00,24.15
04:30 - 04:45,85.99,9.66,-0.10,6.76,-52.00,24.15
04:45 - 05:00,62.80,6.76,-0.10,6.76,-52.00,24.15
05:00 - 05:15,85.02,17.39,-0.10,6.76,-52.00,28.98
05:15 - 05:30,108.20,18.36,-0.10,7.73,-53.00,28.98
05:30 - 05:45,91.78,0.00,-0.10,7.73,-53.00,28.98
05:45 - 06:00,54.10,0.00,-0.10,7.73,-53.00,28.98
06:00 - 06:15,23.19,22.22,-0.10,7.73,-53.00,24.15
06:15 - 06:30,-14.00,42.51,-0.10,7.73,-52.00,43.47
06:30 - 06:45,-74.00,22.22,-0.09,7.73,-53.00,28.98
06:45 - 07:00,-98.00,19.32,0.00,8.69,-53.00,43.48
07:00 - 07:15,-103.00,8.69,-0.10,8.69,-52.00,33.82
07:15 - 07:30,-105.00,-15.00,-0.10,9.66,-52.00,38.65
07:30 - 07:45,-99.00,-15.00,-0.10,10.63,-59.00,48.30
07:45 - 08:00,-105.00,-120.00,-0.10,11.59,-61.00,57.97
08:00 - 08:15,-147.00,-143.00,-0.10,3.86,-60.00,67.63
08:15 - 08:30,-141.00,-150.00,-0.02,4.83,-60.00,67.63
08:30 - 08:45,-215.45,-192.00,0.00,3.86,-46.81,-229.99
08:45 - 09:00,-224.49,-201.00,0.00,3.86,-48.78,-255.00
09:00 - 09:15,-332.70,-144.00,0.00,0.97,-40.28,-240.00
09:15 - 09:30,-328.75,-104.00,0.00,0.97,-41.59,-210.00
09:30 - 09:45,-332.14,-62.00,0.00,1.35,-30.63,-175.00
09:45 - 10:00,-312.19,-32.00,0.00,1.93,-29.17,-145.00
10:00 - 10:15,-239.57,-21.00,0.00,0.00,-28.02,-140.00
10:15 - 10:30,-229.52,-3.00,0.00,0.00,-24.77,-130.00
10:30 - 10:45,-233.52,-29.00,0.00,0.00,-25.67,-100.00
10:45 - 11:00,-229.33,-17.00,0.00,0.00,-18.80,-95.00
11:00 - 11:15,-170.20,29.95,0.00,0.00,-36.88,-75.00
11:15 - 11:30,-147.59,51.20,0.00,1.45,-49.90,-69.00
11:30 - 11:45,-152.75,61.83,0.00,1.45,-57.73,-30.00
11:45 - 12:00,-140.93,73.42,0.00,1.45,-65.52,-17.00
12:00 - 12:15,-97.00,78.26,0.00,1.93,-72.00,4.83
12:15 - 12:30,-72.00,98.55,0.00,1.93,-71.00,28.98
12:30 - 12:45,-64.00,104.34,0.00,1.93,-71.00,46.37
12:45 - 13:00,-53.00,96.61,0.00,1.93,-71.00,49.27
13:00 - 13:15,-40.97,56.04,0.00,1.93,-65.70,-21.00
13:15 - 13:30,-33.00,34.78,0.00,1.93,-70.37,-27.00
13:30 - 13:45,29.95,42.51,-0.10,1.93,-71.00,42.51
13:45 - 14:00,34.78,35.75,-0.10,1.93,-72.00,87.91
14:00 - 14:15,34.78,36.71,-0.10,2.90,-71.00,38.64
14:15 - 14:30,72.46,38.64,-0.10,2.90,-71.00,74.39
14:30 - 14:45,61.83,4.83,-0.10,2.90,-71.00,114.97
14:45 - 15:00,87.92,29.95,-0.10,2.90,-71.00,111.09
15:00 - 15:15,145.88,23.19,-0.10,5.80,-69.00,125.59
15:15 - 15:30,161.34,41.54,-0.10,5.80,-68.00,134.29
15:30 - 15:45,39.61,29.95,-0.10,5.80,-68.00,117.86
15:45 - 16:00,43.47,36.71,-0.10,5.80,-68.00,69.56
16:00 - 16:15,93.71,-31.00,-0.10,6.76,-68.00,74.39
16:15 - 16:30,72.46,-38.00,-0.10,6.76,-67.00,62.80
16:30 - 16:45,92.74,28.02,-0.10,6.76,-65.00,70.53
16:45 - 17:00,114.00,38.64,-0.10,6.76,-69.00,107.24
17:00 - 17:15,38.64,23.19,-0.10,11.59,-67.00,86.95
17:15 - 17:30,38.64,15.46,-0.10,10.63,-67.00,86.95
17:30 - 17:45,-199.99,-20.00,-0.10,9.66,-67.00,-41.00
17:45 - 18:00,-150.00,-15.00,-0.06,8.69,-67.00,-51.00
18:00 - 18:15,-234.70,-23.00,0.00,8.69,-31.34,-200.00
18:15 - 18:30,-205.89,12.56,0.00,9.66,-66.12,-208.00
18:30 - 18:45,0.00,7.73,-0.10,10.63,-69.00,-122.00
18:45 - 19:00,-38.00,-70.00,-0.10,11.59,-69.00,-133.00
19:00 - 19:15,28.98,0.00,-0.10,12.08,-10.00,-30.00
19:15 - 19:30,51.20,67.62,-0.10,12.56,-10.00,48.31
19:30 - 19:45,7.73,33.81,-0.10,12.85,-10.00,212.54
19:45 - 20:00,36.71,33.81,-0.10,13.24,-10.00,212.54
20:00 - 20:15,12.56,-62.00,-0.10,12.56,-10.00,62.80
