Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,61.91,91.90,3.10,-59.00,212.83
00:15 - 00:30,27.09,72.56,3.10,-59.00,193.47
00:30 - 00:45,0.97,47.40,3.10,-57.00,125.76
00:45 - 01:00,15.48,47.40,3.10,-53.00,96.74
01:00 - 01:15,29.99,32.89,3.10,-56.00,82.23
01:15 - 01:30,41.60,30.96,2.90,-56.00,58.04
01:30 - 01:45,20.32,0.00,2.90,-56.00,48.37
01:45 - 02:00,-16.00,0.00,2.90,-57.00,24.19
02:00 - 02:15,-49.00,68.68,2.23,-29.00,12.58
02:15 - 02:30,40.63,68.68,2.23,-48.00,14.51
02:30 - 02:45,35.79,59.01,2.23,-46.00,14.51
02:45 - 03:00,5.80,59.02,1.93,-47.00,-3.00
03:00 - 03:15,-34.00,27.08,1.26,-46.00,-15.00
03:15 - 03:30,-26.00,29.99,1.26,-44.00,9.67
03:30 - 03:45,-65.00,25.15,1.26,-45.00,19.35
03:45 - 04:00,-66.00,29.02,0.97,-45.00,9.67
04:00 - 04:15,-121.00,43.53,0.00,-47.00,56.11
04:15 - 04:30,-93.00,39.66,0.00,-50.00,38.70
04:30 - 04:45,-29.00,63.85,0.00,-52.00,19.35
04:45 - 05:00,-17.00,59.98,0.00,-53.00,9.67
05:00 - 05:15,-112.00,48.38,5.80,-48.00,9.67
05:15 - 05:30,-153.00,40.63,5.80,-47.00,16.45
05:30 - 05:45,-93.00,39.66,0.00,-48.00,12.58
05:45 - 06:00,-119.00,42.56,0.00,-50.00,15.48
06:00 - 06:15,-146.00,32.89,0.00,-48.00,0.00
06:15 - 06:30,-154.00,31.93,0.00,-49.00,9.67
06:30 - 06:45,-149.00,55.15,0.00,-51.00,5.80
06:45 - 07:00,-170.00,52.24,0.00,-49.00,9.67
07:00 - 07:15,-155.00,57.08,0.00,-40.00,9.67
07:15 - 07:30,-150.00,60.94,0.97,-35.00,19.35
07:30 - 07:45,-48.00,78.36,0.97,-32.00,29.02
07:45 - 08:00,-14.00,86.10,2.90,-30.00,29.02
08:00 - 08:15,15.48,87.06,0.00,-31.00,38.70
08:15 - 08:30,21.28,86.10,0.00,-31.00,43.53
08:30 - 08:45,23.22,89.00,0.00,-24.00,36.76
08:45 - 09:00,16.45,122.85,0.00,-20.00,30.96
09:00 - 09:15,7.74,7.74,4.84,0.00,29.02
09:15 - 09:30,7.74,18.38,4.64,0.00,53.21
09:30 - 09:45,36.76,-39.00,5.80,0.00,72.56
09:45 - 10:00,35.79,-25.00,6.77,0.00,95.78
10:00 - 10:15,28.05,0.00,10.64,0.00,91.91
10:15 - 10:30,38.70,14.51,10.64,0.00,91.90
10:30 - 10:45,9.67,62.88,12.58,0.00,48.37
10:45 - 11:00,19.35,82.23,12.58,0.00,87.06
11:00 - 11:15,0.00,78.37,13.54,0.00,77.39
11:15 - 11:30,-14.00,83.20,13.54,0.00,91.90
11:30 - 11:45,-21.00,75.46,13.54,0.00,96.74
11:45 - 12:00,-9.00,81.26,13.54,0.00,116.09
12:00 - 12:15,-27.00,22.25,11.61,0.00,77.39
12:15 - 12:30,-38.00,20.32,10.64,0.00,91.90
12:30 - 12:45,-69.00,85.13,11.61,0.00,101.58
12:45 - 13:00,-74.00,94.80,10.64,0.00,72.56
13:00 - 13:15,-56.00,121.89,10.64,0.00,-5.00
13:15 - 13:30,-53.00,120.93,10.64,0.00,-20.00
13:30 - 13:45,16.45,138.33,12.58,0.00,48.37
13:45 - 14:00,0.00,143.17,12.58,0.00,82.23
14:00 - 14:15,84.16,97.71,16.06,0.00,43.53
14:15 - 14:30,97.71,135.43,15.38,0.00,53.21
14:30 - 14:45,24.19,77.39,14.32,0.00,77.39
14:45 - 15:00,17.41,116.09,14.51,0.00,111.25
15:00 - 15:15,-91.00,42.57,15.48,0.00,62.88
15:15 - 15:30,-104.00,53.21,15.48,0.00,43.53
15:30 - 15:45,-177.00,81.26,15.48,0.00,-60.00
15:45 - 16:00,-177.00,83.19,15.48,0.00,-60.00
16:00 - 16:15,-136.00,104.47,8.71,-17.00,4.84
16:15 - 16:30,-130.00,107.39,8.22,-27.00,9.67
16:30 - 16:45,18.38,93.84,5.80,-27.00,82.23
16:45 - 17:00,23.22,97.70,5.80,-27.00,72.56
17:00 - 17:15,25.15,67.72,9.67,-13.00,111.26
17:15 - 17:30,33.86,52.24,8.71,-21.00,111.25
17:30 - 17:45,67.72,10.64,6.77,-30.00,106.42
17:45 - 18:00,58.04,17.41,5.80,-26.00,106.43
18:00 - 18:15,180.89,11.61,4.84,-26.00,120.93
18:15 - 18:30,152.84,19.35,3.87,-23.00,101.58
18:30 - 18:45,98.68,19.35,2.90,-25.00,43.53
18:45 - 19:00,89.97,25.15,2.90,-26.00,19.35
