Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-57.00,0.00,2.02,-30.00,0.00,0.00,-56.00
00:15 - 00:30,-114.00,0.00,1.83,-30.00,0.00,0.00,-23.00
00:30 - 00:45,4.82,0.00,1.54,-30.00,0.00,0.00,-16.00
00:45 - 01:00,-81.00,0.00,1.25,-30.00,0.00,0.00,-16.00
01:00 - 01:15,-25.00,0.00,1.06,-45.00,0.00,0.00,-15.00
01:15 - 01:30,-29.00,0.00,0.87,-48.00,0.00,0.00,-19.00
01:30 - 01:45,0.00,0.00,0.58,-51.00,0.00,0.00,-33.00
01:45 - 02:00,0.00,0.00,0.39,-53.00,0.00,0.00,-40.00
02:00 - 02:15,-22.00,-8.00,0.10,-63.00,0.00,0.00,-53.00
02:15 - 02:30,25.05,-17.00,0.10,-62.00,0.00,0.00,-53.00
02:30 - 02:45,26.98,-10.00,0.00,-64.00,0.00,0.00,-58.00
02:45 - 03:00,66.48,-15.00,0.00,-65.00,0.00,0.00,-49.00
03:00 - 03:15,129.11,0.00,-2.00,-67.00,0.00,0.00,-27.00
03:15 - 03:30,168.61,0.00,-2.00,-65.00,0.00,0.00,16.38
03:30 - 03:45,209.08,10.60,-2.00,-67.00,0.00,0.00,19.27
03:45 - 04:00,184.99,13.49,-2.00,-67.00,0.00,0.00,55.88
04:00 - 04:15,158.98,43.36,-3.00,-69.00,0.00,0.00,14.45
04:15 - 04:30,140.68,17.34,-3.30,-70.00,0.00,0.00,5.78
04:30 - 04:45,153.19,33.72,-4.10,-68.00,0.00,0.00,9.64
04:45 - 05:00,132.96,36.61,-4.10,-69.00,0.00,0.00,12.53
05:00 - 05:15,131.03,-25.00,-4.10,-69.00,0.00,0.00,9.64
05:15 - 05:30,122.36,-39.00,-4.10,-69.00,0.00,0.00,13.49
05:30 - 05:45,131.03,-33.00,-4.10,-70.00,0.00,0.00,9.64
05:45 - 06:00,135.85,-28.00,-4.10,-70.00,0.00,0.00,15.42
06:00 - 06:15,156.09,33.72,4.82,-69.00,0.00,0.00,27.94
