Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-38.00,-10.00,-1.00,9.90,0.00,-46.00
00:15 - 00:30,-57.00,-25.00,-1.00,9.22,0.00,-58.00
00:30 - 00:45,-49.00,36.51,-0.10,9.03,0.00,-61.00
00:45 - 01:00,-51.00,25.94,-0.10,8.55,0.00,-62.00
01:00 - 01:15,-51.00,39.39,-0.10,7.97,0.00,-67.00
01:15 - 01:30,-54.00,32.66,-0.10,7.69,0.00,-66.00
01:30 - 01:45,-38.00,28.82,-0.10,7.59,0.00,-68.00
01:45 - 02:00,-33.00,20.18,-0.10,7.49,0.00,-69.00
02:00 - 02:15,-17.00,0.00,-0.10,7.49,0.00,-62.00
02:15 - 02:30,-19.00,0.00,-0.10,7.49,0.00,-63.00
02:30 - 02:45,-14.00,0.00,-0.10,7.49,0.00,-65.00
02:45 - 03:00,-16.00,-9.00,-0.10,7.49,0.00,-67.00
03:00 - 03:15,-105.00,-20.00,-0.10,7.49,0.00,-58.00
03:15 - 03:30,-99.00,-18.00,-0.10,7.78,0.00,-58.00
03:30 - 03:45,-87.00,-14.00,-0.10,8.07,0.00,-53.00
03:45 - 04:00,-79.00,-15.00,-0.10,8.17,0.00,-51.00
04:00 - 04:15,-73.00,-19.00,-0.10,8.55,0.00,-53.00
04:15 - 04:30,-71.00,-22.00,-0.10,8.84,0.00,-52.00
04:30 - 04:45,-86.00,-27.00,-0.10,9.13,0.00,-44.00
04:45 - 05:00,-95.00,-30.00,-0.10,10.28,0.00,-44.00
05:00 - 05:15,-81.00,-26.00,-1.00,5.28,0.00,-41.00
05:15 - 05:30,-70.00,-23.00,-1.00,7.88,0.00,4.80
05:30 - 05:45,-40.00,-10.00,-1.00,10.57,0.00,-36.00
05:45 - 06:00,-25.00,-5.00,-1.00,13.35,0.00,-77.00
06:00 - 06:15,29.78,-23.00,-1.00,17.10,0.00,-59.00
06:15 - 06:30,-3.00,4.80,-1.00,20.37,0.00,-3.00
06:30 - 06:45,-61.00,19.21,-1.00,22.20,0.00,-15.00
06:45 - 07:00,113.36,27.86,-1.00,24.02,0.00,31.70
07:00 - 07:15,11.19,-41.00,-1.00,16.60,0.00,0.00
07:15 - 07:30,-14.00,0.00,-1.00,7.86,0.00,-37.00
07:30 - 07:45,-23.00,0.86,-1.00,3.55,0.00,-62.00
07:45 - 08:00,-26.00,2.47,-1.00,3.51,0.00,-84.00
08:00 - 08:15,-16.00,-43.00,-1.00,3.06,0.00,-78.00
08:15 - 08:30,-10.00,-46.00,-1.00,2.78,0.24,-66.00
08:30 - 08:45,20.00,-59.00,-1.00,3.61,0.42,-59.00
08:45 - 09:00,-25.00,-95.00,-1.00,4.48,0.34,-75.00
09:00 - 09:15,28.57,-160.00,-1.00,6.92,0.00,-113.00
09:15 - 09:30,0.00,-160.00,-1.00,7.22,0.99,-180.00
09:30 - 09:45,-24.00,-165.00,-0.10,19.69,1.06,-230.00
09:45 - 10:00,-55.00,-180.00,-0.10,19.50,0.00,-276.00
10:00 - 10:15,-89.00,-208.00,-0.10,17.77,0.00,-113.00
10:15 - 10:30,-23.00,-161.00,-0.10,17.48,0.00,-91.00
10:30 - 10:45,-16.00,-120.00,-0.10,17.58,0.00,-80.00
10:45 - 11:00,10.57,-130.00,-0.10,16.33,0.00,-5.00
11:00 - 11:15,-170.00,-95.00,-0.10,13.45,0.00,-171.00
11:15 - 11:30,-188.00,-95.00,-0.10,11.91,0.00,-73.00
11:30 - 11:45,-171.00,-87.00,-0.10,10.47,0.00,-86.00
11:45 - 12:00,-169.00,-99.00,-0.10,10.28,0.00,-83.00
12:00 - 12:15,-108.00,-99.00,-0.10,7.69,0.00,-81.00
12:15 - 12:30,-118.00,-80.00,-0.10,6.72,0.00,-88.00
12:30 - 12:45,-39.00,-92.00,-0.10,5.76,0.00,14.41
12:45 - 13:00,-12.00,-72.00,-0.10,4.80,0.00,-61.00
13:00 - 13:15,-2.00,-92.00,-0.10,4.80,0.00,-63.00
13:15 - 13:30,-40.00,-71.00,-0.10,3.84,0.00,-86.00
13:30 - 13:45,-2.00,-61.00,-0.10,3.84,0.00,-68.00
13:45 - 14:00,-13.00,-57.00,-0.10,3.36,0.00,-37.00
14:00 - 14:15,0.00,-44.00,-0.10,3.36,0.00,-45.00
14:15 - 14:30,0.00,-44.00,-0.10,2.88,0.00,-46.00
14:30 - 14:45,-8.00,-35.00,-0.10,0.96,0.00,-40.00
14:45 - 15:00,-45.00,-35.00,-0.10,0.00,0.00,-40.00
15:00 - 15:15,-106.00,19.21,-0.10,0.00,0.00,-39.00
15:15 - 15:30,-88.00,24.02,-0.10,0.00,0.00,-33.00
15:30 - 15:45,-54.00,7.69,-0.10,0.96,0.00,-25.00
15:45 - 16:00,-12.00,7.69,-0.10,0.96,0.00,-35.00
16:00 - 16:15,-33.00,-38.00,-0.10,2.88,0.00,0.00
